,siteName,siteLat,siteLon,siteLandCover,H_DCA,H_insitu,H_Tbh,H_Tbv,H_Teff,MI_dca_insitu,MI_hv_dca,MI_hv_temp_insitu,U_h,U_v,S,R_s,corrSM,corrHV,mean_LAI,std_LAI,numPoints,range
0,AL_Gadsden_19_N,34.29,-85.96,Croplands,0.36692809206893995,0.3643194164082347,0.33038371425497426,0.33132064150750673,0.3538816980484381,0.09916580860878454,0.11243158048336066,0.1429820157987951,0.004193390585555998,0.004354600153714791,0.007462438246292349,0.09642115149779752,0.8766881419076645,0.9899640342351512,1.7419447432762836,0.8022083129584351,1576,15.640528596597274
1,GA_Newton_11_SW,31.19,-84.45,Mixed,0.37576286461403424,0.3378756272894512,0.3432272149058986,0.3507334475358494,0.3805402820190234,0.08858155374695809,0.11966012945446847,0.16526791814672515,0.015233511052029927,0.004964624136560916,0.00953884389999464,0.08992315036588298,0.8043327432417885,0.9902570843936076,1.3035627450980394,0.7364254901960783,799,16.651664858019547
2,GA_Newton_8_W,31.31,-84.47,Mixed,0.36853850780548575,0.3513501344128861,0.3461379420610636,0.3557767192592721,0.3688375497297742,0.07919505029397,0.10494840885017886,0.15970340295923668,0.01040143795672363,0.005374289173879693,0.009921743587468473,0.07925093813210707,0.7874655837186575,0.9905599599328951,1.4419710706150348,0.8516227790432804,1652,16.930106636398353
3,IA_Des_Moines_17_E,41.56,-93.29,Croplands,0.4020446667888934,0.3778948132469365,0.3614520519134732,0.3493621615027522,0.3374400271954529,0.05016868852537526,0.08991528830672912,0.1561051316288642,0.014894604838272554,0.019795866557164934,0.019352623695364043,0.03587219321592759,0.613792682092233,0.979681070566264,0.991917119565217,0.41850217391304356,1279,23.444092154782485
4,IL_Shabbona_5_NNE,41.84,-88.85,Croplands,0.3889934262590833,0.37081567813139893,0.3567992915160479,0.35591587046954865,0.33323355154313594,0.051024921788131006,0.11373271595339529,0.15651430555845758,0.014733851241579346,0.012245334657608367,0.01528204154515643,0.07147148850905115,0.6612804627448212,0.9763845764725627,0.808999689440994,0.3242288819875776,1102,24.7013707238836
5,IN_Bedford_5_WNW,38.89,-86.57,Croplands,0.3994103091470658,0.4050776513835177,0.384639054665774,0.40435837746329406,0.3639050085454907,0.04617404978474782,0.1129049894681835,0.2440918947062467,0.029080920709953266,0.03232746246627082,0.026074974768921517,0.025421631523037898,0.4469675878549043,0.9512437216656415,1.7382780821917814,0.8467115068493148,734,15.271172567674185
6,MN_Goodridge_12_NNW,48.31,-95.87,Croplands,0.40043366247653145,0.39730249772753656,0.40325271635773574,0.3924217995128975,0.36595931793206476,0.0997434499059392,0.18015675941132903,0.24521313567103376,0.037145461061104904,0.012648750674663492,0.014925674124069796,0.11543687355149083,0.8258168870103562,0.974005106572488,1.3854140221402211,0.6577970479704802,899,23.083663074803166
7,MO_Chillicothe_22_ENE,39.87,-93.15,Croplands,0.37339033925032417,0.3546627731997473,0.3654504806051025,0.3582662544264223,0.3383379321394702,0.07013378769192546,0.10883478071938868,0.14637128218625228,0.009908701143476084,0.010782321627890279,0.014521015517279245,0.07362274243074307,0.7743232885658538,0.9838211007683493,1.0586714987714987,0.40662972972972944,1420,22.6549770516409
8,MO_Joplin_24_N,37.43,-94.58,Mixed,0.3833419357010023,0.36615128211707665,0.38400649088816025,0.36910575507178583,0.3446450757758775,0.06631526332422144,0.12272201520549231,0.17339624721846558,0.011015337401551376,0.014663872830821503,0.015967845740368233,0.0810749592327512,0.7116352553270102,0.9842013086230657,1.219122897196261,0.5564434579439248,1534,25.27116314466494
9,MS_Holly_Springs_4_N,34.82,-89.43,Croplands,0.3452724195969963,0.3722145833376826,0.3282516521239635,0.32530536394488313,0.35156286571838175,0.08502016405754498,0.12909443710548318,0.13240961435107335,0.006421733753132375,0.003907055350048982,0.006784225968182844,0.11198142203411898,0.8306229687494974,0.9900662816959195,2.0118662531017386,0.8142843672456582,1361,15.086223571463423
10,ND_Northgate_5_ESE,48.97,-102.17,Croplands,0.3946555550150549,0.37018641708542943,0.3825771095811862,0.3683547079411811,0.36716655442736434,0.0996584716099429,0.13988508249987985,0.20629982339794595,0.017622697655123976,0.008528997967016505,0.012088946846876503,0.10164444003086287,0.8243367015342056,0.9829186114016611,1.0517861702127667,0.45869645390070907,1197,24.925585384257356
11,SD_Aberdeen_35_WNW,45.71,-99.13,Croplands,0.3905109447865107,0.3350017243507871,0.3744379170190691,0.3737468680142029,0.3600289031681657,0.06405725743967283,0.13565656343907484,0.18636578101328416,0.018007675754239283,0.020678533201707483,0.0191264944551654,0.07784386002796267,0.7018964828680634,0.9737194507018925,1.0970726384364826,0.4358394136807816,1310,27.58973095144024
12,SD_Sioux_Falls_14_NNE,43.73,-96.62,Croplands,0.4057349920879115,0.3859054647046902,0.3724949392396697,0.38155880084876626,0.38066323963182014,0.05672532456546664,0.13650597493680783,0.20196381772476435,0.025567987862202962,0.013456479443488517,0.01812058225687138,0.07936092537424497,0.5681753794171374,0.9783915172445464,1.1786683333333334,0.41167111111111093,593,23.900931733052605
13,AZ_Williams_35_NNW,35.76,-112.34,Grasslands,0.3777592369656094,0.388692869286378,0.38571772516696196,0.3915968028054823,0.37284723498449257,0.04262282284640029,0.14196688432309468,0.18197739467878626,0.04977352062182523,0.026590292130420815,0.029452860993945215,0.036150210576903416,0.4596707282456156,0.9702318247342618,0.23758022988505753,0.0671740229885057,939,16.712306728505226
