USCRN sites,Latitude,Longitude
AL_Gadsden_19_N,34.29,-85.96
GA_Newton_11_SW,31.19,-84.45
GA_Newton_8_W,31.31,-84.47
IA_Des_Moines_17_E,41.56,-93.29
IL_Shabbona_5_NNE,41.84,-88.85
IN_Bedford_5_WNW,38.89,-86.57
MN_Goodridge_12_NNW,48.31,-95.87
MO_Chillicothe_22_ENE,39.87,-93.15
MO_Joplin_24_N,37.43,-94.58
MS_Holly_Springs_4_N,34.82,-89.43
ND_Northgate_5_ESE,48.97,-102.17
SD_Aberdeen_35_WNW,45.71,-99.13
SD_Sioux_Falls_14_NNE,43.73,-96.62
AZ_Williams_35_NNW,35.76,-112.34
AZ_Yuma_27_ENE,32.84,-114.19
CA_Merced_23_WSW,37.24,-120.88
ID_Arco_17_SW,43.46,-113.56
ID_Murphy_10_W,43.2,-116.75
NV_Baker_5_W,39.01,-114.21
NV_Denio_52_WSW,41.85,-119.64
NV_Mercury_3_SSW,36.62,-116.02
OR_John_Day_35_WNW,44.56,-119.65
OR_Riley_10_WSW,43.47,-119.69
UT_Brigham_City_28_WNW,41.62,-112.54
WA_Spokane_17_SSW,47.42,-117.53
OH_Coshocton_8_NNE,40.37,-81.78
OH_Wooster_3_SSE,40.76,-81.91
SC_Blackville_3_W,33.36,-81.33
CO_La_Junta_17_WSW,37.86,-103.82
CO_Montrose_11_ENE,38.54,-107.69
CO_Nunn_7_NNE,40.81,-104.76
KS_Oakley_19_SSW,38.87,-100.96
MT_Wolf_Point_29_ENE,48.31,-105.1
MT_Wolf_Point_34_NE,48.49,-105.21
NE_Harrison_20_SSE,42.42,-103.74
NE_Whitman_5_ENE,42.07,-101.44
NM_Las_Cruces_20_N,32.61,-106.74
NM_Socorro_20_N,34.36,-106.89
OK_Goodwell_2_E,36.6,-101.59
OK_Goodwell_2_SE,36.57,-101.61
OK_Stillwater_2_W,36.12,-97.09
OK_Stillwater_5_WNW,36.13,-97.11
SD_Buffalo_13_ESE,45.52,-103.3
SD_Pierre_24_S,44.02,-100.35
TX_Bronte_11_NNE,32.04,-100.25
TX_Monahans_6_ENE,31.62,-102.81
TX_Muleshoe_19_S,33.96,-102.77
TX_Panther_Junction_2_N,29.35,-103.21
WY_Sundance_8_NNW,44.52,-104.44
TX_Austin_33_NW,30.62,-98.08
TX_Edinburg_17_NNE,26.53,-98.06
TX_Palestine_6_WNW,31.78,-95.72
CO_Cortez_8_SE,37.26,-108.5
CO_Dinosaur_2_E,40.24,-108.97
WY_Lander_11_SSE,42.68,-108.67
ND_Medora_7_E,46.89,-103.38
MT_Dillon_18_WSW,45.16,-113.01
MT_St._Mary_1_SSW,48.74,-113.43
