date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015017,2015-01-17,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015021,2015-01-21,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015025,2015-01-25,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015029,2015-01-29,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015033,2015-02-02,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015037,2015-02-06,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015041,2015-02-10,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015045,2015-02-14,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.6000,1642.3898,1.5000,0.4552,0.0440,0.2097,5329,3608,67.71
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.4000,1433.6002,1.3000,0.3923,0.0376,0.1940,5329,3654,68.57
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.4000,801.1955,2.3000,0.3342,0.0596,0.2441,5329,2397,44.98
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.3000,2431.0178,2.2000,0.6642,0.0799,0.2826,5329,3660,68.68
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.1000,2279.0977,2.0000,0.6230,0.0687,0.2622,5329,3658,68.64
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,2.0000,2316.0059,1.9000,0.6340,0.0748,0.2735,5329,3653,68.55
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.6000,1899.7845,1.5000,0.5029,0.0542,0.2328,5329,3778,70.90
