date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.4000,3593.9006,2.3000,0.7021,0.0371,0.1927,5329,5119,96.06
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.2000,3201.7063,2.1000,0.6256,0.0406,0.2014,5329,5118,96.04
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.0000,3140.4302,1.9000,0.6141,0.0430,0.2075,5329,5114,95.97
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.3000,3290.5068,2.2000,0.6428,0.0370,0.1923,5329,5119,96.06
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.2000,3306.4019,2.1000,0.6459,0.0368,0.1919,5329,5119,96.06
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.2000,3449.3911,2.1000,0.6740,0.0397,0.1991,5329,5118,96.04
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.7000,2674.5095,1.6000,0.5225,0.0284,0.1686,5329,5119,96.06
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.4000,3047.6963,2.3000,0.5954,0.0279,0.1669,5329,5119,96.06
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,4.6000,3528.5984,4.5000,0.6893,0.0784,0.2799,5329,5119,96.06
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.2000,2.5000,3522.1555,2.3000,0.6881,0.0347,0.1861,5329,5119,96.06
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.2000,2.5000,3494.2805,2.3000,0.6827,0.0528,0.2297,5329,5118,96.04
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,3.6000,3094.8760,3.5000,0.6079,0.0369,0.1920,5329,5091,95.53
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.4000,117.7993,0.3000,0.1590,0.0037,0.0607,5329,741,13.91
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,3.0000,1367.0125,2.9000,0.4032,0.0582,0.2413,5329,3390,63.61
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.1000,159.2999,1.0000,0.2116,0.0263,0.1621,5329,753,14.13
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.2000,3.3000,4487.7524,3.1000,0.8767,0.0513,0.2265,5329,5119,96.06
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.6000,79.3998,0.5000,0.1575,0.0040,0.0632,5329,504,9.46
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.2000,3.4000,5096.4937,3.2000,0.9956,0.0611,0.2472,5329,5119,96.06
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.8000,1831.6992,1.7000,0.4325,0.0849,0.2914,5329,4235,79.47
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.3000,6.4000,5852.2153,6.1000,1.1432,0.1088,0.3299,5329,5119,96.06
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.3000,4.1000,7353.3188,3.8000,1.4365,0.1896,0.4355,5329,5119,96.06
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,6.8000,7354.5103,6.6000,1.4376,0.1718,0.4145,5329,5116,96.00
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.3000,5.3000,7079.8208,5.0000,1.3833,0.1565,0.3956,5329,5118,96.04
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,4.8000,7371.2397,4.6000,1.4710,0.2077,0.4557,5329,5011,94.03
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,4.0000,6546.6226,3.9000,1.2984,0.1494,0.3865,5329,5042,94.61
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.1000,54.8000,1.0000,0.4000,0.0498,0.2231,5329,137,2.57
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.5000,6.8000,12961.9355,6.3000,2.5426,1.1452,1.0702,5329,5098,95.67
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,6.7000,4908.1021,6.6000,1.9539,1.0146,1.0073,5329,2512,47.14
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.8000,10808.6152,6.7000,2.3155,1.1289,1.0625,5329,4668,87.60
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.5000,6.9000,16433.9277,6.4000,3.2236,1.9408,1.3931,5329,5098,95.67
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.2000,6.9000,16081.1123,6.7000,3.2799,2.4715,1.5721,5329,4903,92.01
