date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.8000,4492.3135,2.7000,0.8528,0.2101,0.4583,5329,5268,98.86
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.3000,2570.2466,2.2000,0.4910,0.0761,0.2758,5329,5235,98.24
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,3.1000,4162.2461,3.0000,0.7912,0.2073,0.4553,5329,5261,98.72
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,3.2000,4379.0103,3.1000,0.8312,0.2117,0.4601,5329,5268,98.86
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.6000,3820.2351,2.5000,0.7257,0.1251,0.3537,5329,5264,98.78
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,3.1000,4520.1147,3.0000,0.8580,0.2027,0.4503,5329,5268,98.86
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,3.2000,4854.7109,3.1000,0.9215,0.2869,0.5356,5329,5268,98.86
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,3.6000,4253.4258,3.5000,0.8074,0.2075,0.4555,5329,5268,98.86
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,5.0000,5567.5420,4.9000,1.0569,0.2581,0.5081,5329,5268,98.86
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,4.1000,5691.9043,4.0000,1.0805,0.3481,0.5900,5329,5268,98.86
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,3.9000,5153.4272,3.8000,0.9783,0.2170,0.4659,5329,5268,98.86
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.0000,4914.4180,3.9000,0.9329,0.3338,0.5777,5329,5268,98.86
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.5000,335.3998,2.4000,0.3955,0.1053,0.3246,5329,848,15.91
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,4.1000,5235.1353,4.0000,0.9938,0.3047,0.5520,5329,5268,98.86
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.4000,1936.3977,3.3000,0.4917,0.1373,0.3705,5329,3938,73.90
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,3.9000,5849.6958,3.8000,1.1104,0.2925,0.5408,5329,5268,98.86
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.2000,236.3007,1.1000,0.1731,0.0104,0.1020,5329,1365,25.61
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.2000,4.0000,6064.5044,3.8000,1.1512,0.3116,0.5582,5329,5268,98.86
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,4.1000,3913.6172,4.0000,0.7518,0.1389,0.3726,5329,5206,97.69
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.2000,6.7000,6515.1353,6.5000,1.2775,0.3941,0.6278,5329,5100,95.70
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,5.9000,9065.6045,5.7000,1.7215,0.4724,0.6873,5329,5266,98.82
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,6.6000,8724.1963,6.4000,1.6668,0.6136,0.7833,5329,5234,98.22
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.3000,6.8000,9427.4297,6.5000,1.7919,0.8805,0.9383,5329,5261,98.72
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,6.6000,6514.7080,6.5000,1.3767,0.8307,0.9114,5329,4732,88.80
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,5.5000,11226.5840,5.3000,2.1408,0.5277,0.7264,5329,5244,98.40
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,6.2000,395.5006,6.1000,0.5547,0.3175,0.5635,5329,713,13.38
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,6.9000,16353.0244,6.8000,3.2008,2.0583,1.4347,5329,5109,95.87
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.3000,6.8000,8749.5312,6.5000,2.8252,2.6585,1.6305,5329,3097,58.12
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.9000,17288.6875,6.8000,3.3800,2.1533,1.4674,5329,5115,95.98
