date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.8000,2878.9075,1.7000,0.5433,0.0268,0.1637,5329,5299,99.44
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.5000,2715.9270,1.4000,0.5125,0.0180,0.1342,5329,5299,99.44
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.2000,2983.8018,2.1000,0.5631,0.0233,0.1525,5329,5299,99.44
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.6000,2781.9106,1.5000,0.5250,0.0223,0.1494,5329,5299,99.44
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.6000,2865.6931,1.5000,0.5408,0.0236,0.1535,5329,5299,99.44
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.0000,2943.3953,1.9000,0.5555,0.0215,0.1465,5329,5299,99.44
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.5000,2883.3958,1.4000,0.5441,0.0213,0.1459,5329,5299,99.44
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.6000,3110.9749,1.5000,0.5871,0.0238,0.1541,5329,5299,99.44
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.3000,3017.2905,1.2000,0.5694,0.0234,0.1531,5329,5299,99.44
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.2000,1.7000,3155.7954,1.5000,0.5955,0.0255,0.1596,5329,5299,99.44
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.1000,3365.4099,2.0000,0.6353,0.0389,0.1973,5329,5297,99.40
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.4000,1909.8879,1.3000,0.3977,0.0281,0.1675,5329,4802,90.11
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.2000,2654.1162,1.1000,0.5091,0.0176,0.1325,5329,5213,97.82
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.7000,2873.6033,1.6000,0.5425,0.0274,0.1656,5329,5297,99.40
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.2000,40.5000,1.1000,0.2956,0.1026,0.3203,5329,137,2.57
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.4000,2749.3018,1.3000,0.6281,0.0492,0.2218,5329,4377,82.14
