date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.9000,1296.2006,1.8000,0.2470,0.0415,0.2037,5329,5248,98.48
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.1000,1194.9988,2.0000,0.2279,0.0394,0.1985,5329,5243,98.39
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.2000,1252.9984,2.1000,0.2388,0.0435,0.2085,5329,5248,98.48
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.9000,1253.1987,1.8000,0.2388,0.0453,0.2127,5329,5248,98.48
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.4000,1245.6993,2.3000,0.2374,0.0463,0.2152,5329,5248,98.48
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.3000,1131.3005,1.2000,0.2156,0.0261,0.1616,5329,5248,98.48
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.6000,727.5994,1.5000,0.1524,0.0115,0.1074,5329,4774,89.59
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.3000,1356.8995,2.2000,0.2586,0.0518,0.2277,5329,5248,98.48
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.6000,1438.1007,2.5000,0.2740,0.0604,0.2458,5329,5248,98.48
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.0000,1599.7952,1.9000,0.3048,0.0607,0.2464,5329,5248,98.48
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.7000,1443.3960,2.6000,0.2750,0.0711,0.2666,5329,5248,98.48
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,2.3000,1624.4971,2.2000,0.3095,0.0680,0.2608,5329,5248,98.48
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.7000,1784.7985,2.6000,0.3401,0.0779,0.2791,5329,5248,98.48
