date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.0000,780.0017,0.9000,0.1743,0.0053,0.0727,5329,4474,83.96
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.0000,866.7061,0.9000,0.1937,0.0054,0.0737,5329,4474,83.96
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.1000,930.8027,1.0000,0.2080,0.0066,0.0809,5329,4474,83.96
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.2000,840.5005,1.1000,0.1879,0.0069,0.0830,5329,4474,83.96
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.2000,890.9053,1.1000,0.1991,0.0068,0.0822,5329,4474,83.96
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.3000,899.4038,1.2000,0.2010,0.0057,0.0753,5329,4474,83.96
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.4000,664.5844,1.3000,0.1511,0.0065,0.0806,5329,4399,82.55
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.4000,1055.3153,1.3000,0.2359,0.0079,0.0888,5329,4474,83.96
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.9000,1154.7991,1.8000,0.2581,0.0120,0.1094,5329,4474,83.96
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.0000,1227.9871,1.9000,0.2745,0.0137,0.1169,5329,4474,83.96
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.2000,1249.1860,2.1000,0.2798,0.0160,0.1265,5329,4465,83.79
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.5000,1271.6747,1.4000,0.2842,0.0117,0.1082,5329,4474,83.96
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.7000,1485.8901,1.6000,0.3321,0.0197,0.1402,5329,4474,83.96
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.7000,1530.8950,1.6000,0.3422,0.0193,0.1390,5329,4474,83.96
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.7000,1662.4106,1.6000,0.3716,0.0249,0.1577,5329,4474,83.96
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.2000,1603.7129,1.1000,0.3585,0.0194,0.1394,5329,4474,83.96
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.4000,1487.2855,1.3000,0.3324,0.0200,0.1414,5329,4474,83.96
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.8000,1561.6060,1.7000,0.3495,0.0202,0.1422,5329,4468,83.84
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.1000,1591.4280,2.0000,0.3557,0.0232,0.1524,5329,4474,83.96
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.6000,1464.2073,2.5000,0.3274,0.0215,0.1467,5329,4472,83.92
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,2.5000,1371.2985,2.4000,0.3071,0.0236,0.1535,5329,4466,83.81
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,2.3000,1358.1975,2.2000,0.3039,0.0188,0.1373,5329,4469,83.86
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.9000,1269.4025,1.8000,0.2840,0.0128,0.1130,5329,4470,83.88
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.7000,1279.5986,1.6000,0.2864,0.0135,0.1164,5329,4468,83.84
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,3.2000,1259.5084,3.1000,0.2815,0.0190,0.1378,5329,4474,83.96
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.2000,1232.3013,2.1000,0.2761,0.0130,0.1142,5329,4464,83.77
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,1.7000,1206.4962,1.6000,0.2700,0.0114,0.1068,5329,4468,83.84
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.9000,1296.7014,1.8000,0.2905,0.0258,0.1607,5329,4464,83.77
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,1.9000,1199.4059,1.8000,0.2681,0.0184,0.1357,5329,4474,83.96
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,2.9000,1173.2006,2.8000,0.2625,0.0152,0.1234,5329,4470,83.88
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,1.4000,1202.7023,1.3000,0.2694,0.0129,0.1138,5329,4465,83.79
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,1.4000,1088.4143,1.3000,0.2433,0.0080,0.0897,5329,4474,83.96
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,1.7000,1114.7112,1.6000,0.2492,0.0097,0.0987,5329,4474,83.96
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,1.1000,1096.1106,1.0000,0.2450,0.0061,0.0780,5329,4474,83.96
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,1.3000,1098.4128,1.2000,0.2456,0.0080,0.0893,5329,4473,83.94
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,1.4000,1102.0093,1.3000,0.2463,0.0104,0.1021,5329,4474,83.96
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,1.5000,1087.4131,1.4000,0.2431,0.0089,0.0945,5329,4474,83.96
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,1.4000,1031.7207,1.3000,0.2306,0.0064,0.0801,5329,4474,83.96
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,1.9000,1045.9186,1.8000,0.2339,0.0088,0.0940,5329,4472,83.92
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,1.9000,1153.7054,1.8000,0.2579,0.0150,0.1227,5329,4474,83.96
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,1.2000,1073.5139,1.1000,0.2399,0.0083,0.0912,5329,4474,83.96
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.1000,0.8000,1059.2147,0.7000,0.2367,0.0054,0.0738,5329,4474,83.96
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.1000,1.2000,1043.8184,1.1000,0.2333,0.0061,0.0783,5329,4474,83.96
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,1.4000,1035.7218,1.3000,0.2315,0.0069,0.0829,5329,4474,83.96
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,1.7000,1051.7186,1.6000,0.2351,0.0098,0.0991,5329,4474,83.96
