date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.7000,529.3187,0.6000,0.1144,0.0022,0.0471,5329,4626,86.81
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.4000,566.7126,0.3000,0.1066,0.0008,0.0278,5329,5317,99.77
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.6000,602.7073,0.5000,0.1131,0.0015,0.0388,5329,5327,99.96
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,541.2169,0.2000,0.1016,0.0002,0.0128,5329,5327,99.96
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.7000,593.5101,0.6000,0.1114,0.0013,0.0366,5329,5327,99.96
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.6000,579.2117,0.5000,0.1087,0.0010,0.0318,5329,5327,99.96
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.5000,580.0048,1.4000,0.1089,0.0018,0.0429,5329,5327,99.96
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.3000,563.5145,0.2000,0.1058,0.0006,0.0247,5329,5327,99.96
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.3000,942.2214,0.2000,0.1769,0.0020,0.0451,5329,5327,99.96
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.3000,641.5068,0.2000,0.1204,0.0017,0.0410,5329,5327,99.96
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.3000,1132.4087,0.2000,0.2126,0.0019,0.0434,5329,5327,99.96
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.3000,808.3087,0.2000,0.1517,0.0026,0.0511,5329,5327,99.96
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.8000,959.2147,0.7000,0.1810,0.0019,0.0436,5329,5299,99.44
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.0000,375.1104,0.9000,0.1207,0.0030,0.0544,5329,3109,58.34
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.9000,1016.8237,0.8000,0.1943,0.0020,0.0450,5329,5232,98.18
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.3000,1090.2203,0.2000,0.2047,0.0017,0.0410,5329,5327,99.96
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.9000,979.3180,0.8000,0.1838,0.0023,0.0479,5329,5327,99.96
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.5000,1061.1260,0.4000,0.1992,0.0013,0.0361,5329,5327,99.96
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.7000,1066.7328,0.6000,0.2003,0.0005,0.0222,5329,5327,99.96
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.3000,1089.6256,0.2000,0.2045,0.0007,0.0258,5329,5327,99.96
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,0.7000,1090.0297,0.5000,0.2046,0.0005,0.0230,5329,5327,99.96
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,1.3000,1120.9222,1.1000,0.2104,0.0015,0.0391,5329,5327,99.96
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,0.6000,1203.8108,0.4000,0.2260,0.0020,0.0447,5329,5327,99.96
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,0.5000,1120.5216,0.3000,0.2103,0.0010,0.0311,5329,5327,99.96
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,1.1000,1171.1169,0.9000,0.2198,0.0021,0.0458,5329,5327,99.96
