date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.3000,696.5074,2.2000,0.1474,0.0274,0.1655,5329,4726,88.68
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.1000,664.9070,2.0000,0.1406,0.0168,0.1296,5329,4730,88.76
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,3.6000,739.6071,3.5000,0.1564,0.0372,0.1928,5329,4730,88.76
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.8000,716.7074,2.7000,0.1515,0.0313,0.1770,5329,4730,88.76
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,5.8000,765.2067,5.7000,0.1628,0.0460,0.2144,5329,4699,88.18
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.0000,744.7063,1.9000,0.1575,0.0322,0.1794,5329,4729,88.74
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.0000,823.6061,1.9000,0.1746,0.0412,0.2031,5329,4717,88.52
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,6.6000,1141.5065,6.5000,0.2413,0.1394,0.3734,5329,4730,88.76
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,4.8000,1361.3049,4.7000,0.2878,0.1754,0.4189,5329,4730,88.76
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,6.5000,1278.7037,6.4000,0.2705,0.2060,0.4538,5329,4728,88.72
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,5.9000,1158.1055,5.8000,0.2465,0.1104,0.3323,5329,4699,88.18
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,3.8000,1134.3086,3.7000,0.2401,0.1049,0.3239,5329,4724,88.65
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,5.1000,1440.4058,5.0000,0.3048,0.2335,0.4832,5329,4726,88.68
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,6.1000,1436.4033,6.0000,0.3045,0.2230,0.4723,5329,4718,88.53
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,6.7000,1601.9055,6.6000,0.3390,0.3057,0.5529,5329,4726,88.68
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,6.7000,1509.4056,6.6000,0.3212,0.3170,0.5630,5329,4700,88.20
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,6.5000,1458.8076,6.4000,0.3095,0.2555,0.5054,5329,4713,88.44
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,6.0000,1353.7076,5.9000,0.2911,0.1789,0.4230,5329,4650,87.26
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,3.3000,1382.6075,3.2000,0.2943,0.1714,0.4140,5329,4698,88.16
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,5.4000,1510.9048,5.3000,0.3220,0.1995,0.4467,5329,4692,88.05
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,6.5000,1551.1008,6.4000,0.3300,0.1573,0.3966,5329,4701,88.22
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,4.3000,1516.9044,4.2000,0.3212,0.1517,0.3895,5329,4723,88.63
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,2.8000,1417.0959,2.7000,0.3004,0.1016,0.3188,5329,4718,88.53
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,3.6000,1462.5024,3.5000,0.3106,0.1464,0.3827,5329,4709,88.37
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,2.7000,1535.6002,2.6000,0.3249,0.1414,0.3760,5329,4727,88.70
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.8000,1400.5039,2.7000,0.2976,0.1189,0.3448,5329,4706,88.31
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,2.3000,1337.7974,2.2000,0.2846,0.0685,0.2616,5329,4701,88.22
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.9000,1139.0060,1.8000,0.2461,0.0576,0.2400,5329,4629,86.86
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,2.6000,1452.1978,2.5000,0.3075,0.1063,0.3261,5329,4722,88.61
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,3.3000,1296.6046,3.2000,0.2755,0.0953,0.3087,5329,4706,88.31
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,2.0000,1229.9009,1.9000,0.2640,0.0506,0.2249,5329,4658,87.41
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,3.2000,1254.1068,3.1000,0.2668,0.0977,0.3125,5329,4701,88.22
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,2.9000,1180.6062,2.8000,0.2513,0.0651,0.2552,5329,4698,88.16
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,2.2000,1191.8046,2.1000,0.2571,0.0568,0.2382,5329,4636,87.00
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,2.2000,1266.4999,2.1000,0.2710,0.0497,0.2229,5329,4673,87.69
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,2.3000,1182.8048,2.2000,0.2535,0.0609,0.2468,5329,4666,87.56
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,2.3000,1281.9064,2.2000,0.2730,0.0648,0.2546,5329,4695,88.10
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,1.9000,1280.5015,1.8000,0.2746,0.0598,0.2444,5329,4664,87.52
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,1.9000,1133.5068,1.8000,0.2447,0.0358,0.1892,5329,4633,86.94
