date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.2000,2.5000,3307.7024,2.3000,0.6626,0.0833,0.2887,5329,4992,93.68
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,3.5000,2014.3010,3.4000,0.4222,0.0872,0.2953,5329,4771,89.53
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.7000,3478.1060,2.6000,0.6967,0.0988,0.3144,5329,4992,93.68
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.1000,2827.0234,2.0000,0.5663,0.0677,0.2602,5329,4992,93.68
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.2000,2.5000,3902.0906,2.3000,0.7817,0.0953,0.3087,5329,4992,93.68
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.3000,2.5000,3499.7046,2.2000,0.7013,0.0769,0.2774,5329,4990,93.64
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.2000,2.7000,4008.7896,2.5000,0.8034,0.0882,0.2969,5329,4990,93.64
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.3000,3.1000,4297.9927,2.8000,0.8610,0.1524,0.3904,5329,4992,93.68
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.3000,3.4000,4514.4028,3.1000,0.9043,0.1076,0.3281,5329,4992,93.68
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.3000,3.3000,4650.2939,3.0000,0.9315,0.1333,0.3651,5329,4992,93.68
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.3000,4.0000,5444.8965,3.7000,1.0907,0.1099,0.3315,5329,4992,93.68
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.2000,2.8000,4589.2168,2.6000,0.9193,0.1077,0.3282,5329,4992,93.68
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.3000,3.0000,5603.2930,2.7000,1.1225,0.1082,0.3289,5329,4992,93.68
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.6000,4966.3926,2.5000,0.9973,0.0617,0.2484,5329,4980,93.45
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.2000,3.3000,5747.5010,3.1000,1.1523,0.1143,0.3381,5329,4988,93.60
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.3000,3.2000,5599.5977,2.9000,1.1217,0.1255,0.3543,5329,4992,93.68
