date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,5.6000,3779.2056,5.5000,0.7179,0.2688,0.5185,5329,5264,98.78
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,5.1000,3949.9966,5.0000,0.7548,0.2840,0.5329,5329,5233,98.20
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,6.5000,3356.1143,6.4000,0.7205,0.3878,0.6228,5329,4658,87.41
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.6000,110.0000,1.5000,0.5314,0.1401,0.3743,5329,207,3.88
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,6.6000,1593.3937,6.5000,0.5930,0.3319,0.5761,5329,2687,50.42
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,5.6000,3236.2192,5.5000,0.6782,0.3513,0.5927,5329,4772,89.55
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,6.8000,5650.9883,6.7000,1.1065,0.9986,0.9993,5329,5107,95.83
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,6.6000,4085.9805,6.5000,0.7767,0.3100,0.5568,5329,5261,98.72
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,6.8000,6680.1240,6.7000,1.2951,1.8390,1.3561,5329,5158,96.79
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,6.8000,7877.6060,6.7000,1.5299,1.9419,1.3935,5329,5149,96.62
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,6.8000,8822.8076,6.7000,1.7337,2.4025,1.5500,5329,5089,95.50
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,6.9000,6735.0293,6.8000,1.4040,1.4729,1.2136,5329,4797,90.02
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,6.8000,7942.6216,6.7000,1.5734,1.7912,1.3383,5329,5048,94.73
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,6.8000,5359.1084,6.7000,1.1320,0.6229,0.7892,5329,4734,88.83
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,6.8000,8635.8184,6.7000,1.6769,1.6405,1.2808,5329,5150,96.64
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,6.9000,9428.7715,6.8000,1.7966,1.9462,1.3951,5329,5248,98.48
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,6.7000,7832.4966,6.6000,1.5144,1.1327,1.0643,5329,5172,97.05
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.2000,6.6000,5660.9897,6.4000,1.1139,0.3226,0.5679,5329,5082,95.36
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.2000,6.6000,7432.5107,6.4000,1.4302,0.8521,0.9231,5329,5197,97.52
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.2000,6.8000,6639.6821,6.6000,1.2637,0.6060,0.7785,5329,5254,98.59
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,6.7000,6992.3926,6.5000,1.3393,0.6075,0.7794,5329,5221,97.97
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,3.5000,5505.5083,3.3000,1.0515,0.1646,0.4057,5329,5236,98.25
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,6.5000,5435.0000,6.3000,1.0337,0.2837,0.5326,5329,5258,98.67
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,5.4000,5969.6016,5.3000,1.1319,0.3093,0.5561,5329,5274,98.97
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,6.7000,5654.3115,6.5000,1.0727,0.3224,0.5678,5329,5271,98.91
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,4.2000,5326.7158,4.0000,1.0085,0.2026,0.4501,5329,5282,99.12
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,6.2000,4954.8013,6.0000,0.9395,0.2064,0.4543,5329,5274,98.97
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.2000,4.3000,4956.8101,4.1000,0.9384,0.2231,0.4723,5329,5282,99.12
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.8000,4820.3940,6.7000,0.9130,0.2445,0.4945,5329,5280,99.08
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.2000,6.4000,4602.0010,6.2000,0.8713,0.1756,0.4190,5329,5282,99.12
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.2000,3.1000,4266.7881,2.9000,0.8083,0.1428,0.3778,5329,5279,99.06
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,2.8000,4359.3950,2.6000,0.8256,0.1824,0.4271,5329,5280,99.08
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,4.5000,4212.6001,4.4000,0.8004,0.1922,0.4384,5329,5263,98.76
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.2000,2.8000,4228.2061,2.6000,0.8008,0.1709,0.4133,5329,5280,99.08
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,3.4000,4380.0977,3.2000,0.8322,0.2040,0.4517,5329,5263,98.76
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,3.0000,4198.6118,2.9000,0.7955,0.1677,0.4095,5329,5278,99.04
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.2000,4.0000,4121.4990,3.8000,0.7803,0.1800,0.4242,5329,5282,99.12
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,3.1000,4261.4102,2.9000,0.8068,0.1619,0.4023,5329,5282,99.12
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,5.1000,4260.4893,4.9000,0.8077,0.1913,0.4374,5329,5275,98.99
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,4.8000,4458.6138,4.6000,0.8441,0.1809,0.4254,5329,5282,99.12
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,4.3000,4529.5044,4.1000,0.8590,0.2093,0.4575,5329,5273,98.95
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.2000,2.7000,4302.6167,2.5000,0.8146,0.1379,0.3713,5329,5282,99.12
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,6.7000,4427.9009,6.5000,0.8391,0.1939,0.4404,5329,5277,99.02
