date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.4000,274.7075,0.3000,0.1004,0.0001,0.0081,5329,2737,51.36
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.4000,263.0068,0.3000,0.1002,0.0000,0.0068,5329,2624,49.24
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.4000,281.4079,0.3000,0.1004,0.0001,0.0086,5329,2803,52.60
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.4000,248.8059,0.3000,0.1002,0.0001,0.0085,5329,2482,46.58
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.5000,278.3077,0.4000,0.1003,0.0001,0.0087,5329,2774,52.05
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.7000,282.3079,0.6000,0.1007,0.0002,0.0152,5329,2804,52.62
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.3000,281.4080,0.2000,0.1001,0.0000,0.0046,5329,2810,52.73
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.6000,282.0079,0.5000,0.1005,0.0002,0.0141,5329,2806,52.66
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.3000,279.9078,0.2000,0.1004,0.0001,0.0071,5329,2789,52.34
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.4000,282.3080,0.3000,0.1003,0.0001,0.0073,5329,2814,52.81
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.4000,286.7079,0.3000,0.1019,0.0002,0.0151,5329,2814,52.81
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.8000,299.9084,0.7000,0.1066,0.0009,0.0306,5329,2814,52.81
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.5000,287.6078,0.4000,0.1027,0.0004,0.0200,5329,2800,52.54
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.7000,294.9082,0.6000,0.1048,0.0006,0.0245,5329,2814,52.81
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.6000,295.3081,0.5000,0.1049,0.0007,0.0257,5329,2814,52.81
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.7000,312.9088,0.6000,0.1112,0.0012,0.0339,5329,2814,52.81
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.7000,315.2084,0.6000,0.1120,0.0012,0.0351,5329,2814,52.81
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.5000,297.7084,0.4000,0.1058,0.0006,0.0243,5329,2814,52.81
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.9000,319.3089,0.8000,0.1135,0.0014,0.0374,5329,2814,52.81
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.6000,324.2091,0.5000,0.1152,0.0014,0.0372,5329,2814,52.81
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,0.9000,339.4095,0.8000,0.1206,0.0019,0.0441,5329,2814,52.81
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,0.3000,410.5122,0.2000,0.1459,0.0030,0.0549,5329,2814,52.81
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,0.3000,387.8112,0.2000,0.1378,0.0024,0.0486,5329,2814,52.81
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,0.6000,386.5114,0.5000,0.1374,0.0027,0.0518,5329,2814,52.81
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,0.7000,379.0105,0.6000,0.1347,0.0027,0.0524,5329,2814,52.81
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,0.5000,388.6116,0.4000,0.1381,0.0028,0.0527,5329,2814,52.81
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,0.4000,373.8109,0.3000,0.1328,0.0023,0.0477,5329,2814,52.81
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,0.7000,369.9098,0.6000,0.1315,0.0026,0.0510,5329,2814,52.81
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,0.5000,374.6098,0.4000,0.1331,0.0027,0.0516,5329,2814,52.81
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,0.3000,361.6105,0.2000,0.1285,0.0022,0.0466,5329,2814,52.81
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,0.5000,367.2101,0.4000,0.1305,0.0026,0.0508,5329,2814,52.81
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,0.3000,348.4098,0.2000,0.1238,0.0018,0.0430,5329,2814,52.81
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,0.9000,350.3101,0.8000,0.1245,0.0030,0.0548,5329,2814,52.81
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,0.3000,314.8080,0.2000,0.1119,0.0011,0.0327,5329,2814,52.81
