date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,5.7000,4599.4180,5.6000,0.8908,0.4257,0.6525,5329,5163,96.88
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,5.5000,3814.7151,5.4000,0.7357,0.2016,0.4490,5329,5185,97.30
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,5.7000,4950.2163,5.6000,0.9409,0.4574,0.6763,5329,5261,98.72
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,6.0000,4639.2964,5.9000,0.8800,0.3490,0.5908,5329,5272,98.93
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,5.5000,5001.3018,5.4000,0.9476,0.4076,0.6384,5329,5278,99.04
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,6.4000,4971.9839,6.3000,0.9490,0.3775,0.6144,5329,5239,98.31
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,6.5000,4851.2012,6.4000,0.9162,0.3852,0.6206,5329,5295,99.36
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,4.7000,4370.3032,4.6000,0.8232,0.2112,0.4596,5329,5309,99.62
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,3.0000,2468.7056,2.9000,0.5369,0.1041,0.3226,5329,4598,86.28
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,6.1000,5477.5161,6.0000,1.0364,0.4376,0.6615,5329,5285,99.17
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,5.3000,5271.7124,5.2000,0.9954,0.3598,0.5998,5329,5296,99.38
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.5000,5660.7983,4.4000,1.0647,0.2968,0.5448,5329,5317,99.77
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,5.8000,5684.9185,5.7000,1.0712,0.4047,0.6362,5329,5307,99.59
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,3.5000,5308.7305,3.4000,1.0137,0.2784,0.5276,5329,5237,98.27
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,6.4000,6066.0166,6.3000,1.1993,0.3422,0.5850,5329,5058,94.91
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,4.3000,6594.8052,4.2000,1.2410,0.3148,0.5611,5329,5314,99.72
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,4.2000,6374.6328,4.1000,1.2009,0.2226,0.4718,5329,5308,99.61
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,3.1000,6127.9272,3.0000,1.1516,0.1969,0.4438,5329,5321,99.85
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,4.4000,6492.4136,4.3000,1.2206,0.2194,0.4684,5329,5319,99.81
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,3.0000,5953.6235,2.9000,1.1187,0.1915,0.4376,5329,5322,99.87
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,5.0000,6976.0122,4.9000,1.3100,0.2913,0.5397,5329,5325,99.92
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,6.4000,7626.0093,6.3000,1.4318,0.4599,0.6782,5329,5326,99.94
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,3.8000,6545.0000,3.7000,1.2291,0.1884,0.4340,5329,5325,99.92
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,4.3000,6063.4214,4.2000,1.2781,0.3534,0.5944,5329,4744,89.02
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,4.4000,7473.3169,4.3000,1.4034,0.2043,0.4520,5329,5325,99.92
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,4.6000,8393.8145,4.5000,1.5757,0.3311,0.5754,5329,5327,99.96
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,4.4000,6624.7061,4.3000,1.3108,0.2567,0.5066,5329,5054,94.84
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,5.8000,5908.6167,5.7000,1.2658,0.4522,0.6724,5329,4668,87.60
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,4.6000,7964.5146,4.5000,1.4951,0.2459,0.4959,5329,5327,99.96
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,4.8000,8686.6055,4.7000,1.6322,0.3439,0.5864,5329,5322,99.87
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,5.3000,7500.9033,5.2000,1.4105,0.2594,0.5094,5329,5318,99.79
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.7000,8866.4082,6.6000,1.6657,0.4614,0.6793,5329,5323,99.89
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,4.8000,4017.5125,4.7000,1.0349,0.4098,0.6401,5329,3882,72.85
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,4.4000,2903.0093,4.3000,0.9419,0.4029,0.6347,5329,3082,57.83
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,6.6000,6327.0996,6.5000,1.3761,0.4579,0.6767,5329,4598,86.28
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,5.4000,7835.6987,5.3000,1.4782,0.3390,0.5822,5329,5301,99.47
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,5.1000,8308.9121,5.0000,1.5598,0.3129,0.5593,5329,5327,99.96
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,6.6000,8868.1045,6.5000,1.6669,0.4790,0.6921,5329,5320,99.83
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,5.8000,7665.4019,5.7000,1.4576,0.3956,0.6289,5329,5259,98.69
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.7000,8935.4951,6.6000,1.6872,0.5812,0.7624,5329,5296,99.38
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,6.8000,8313.8936,6.6000,1.5607,0.4272,0.6536,5329,5327,99.96
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.2000,6.8000,8802.4678,6.6000,1.6524,0.5363,0.7324,5329,5327,99.96
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,6.4000,8203.0967,6.2000,1.5399,0.4226,0.6501,5329,5327,99.96
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.2000,6.5000,7507.0093,6.3000,1.4423,0.4023,0.6343,5329,5205,97.67
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,6.7000,7623.4736,6.5000,1.4397,0.4252,0.6521,5329,5295,99.36
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,6.4000,8249.2168,6.3000,1.5803,0.4768,0.6905,5329,5220,97.95
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.1000,5.6000,6189.5039,5.5000,1.3091,0.3781,0.6149,5329,4728,88.72
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,5.7000,8838.7783,5.5000,1.6592,0.5123,0.7157,5329,5327,99.96
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.2000,5.4000,7683.9800,5.2000,1.4430,0.3953,0.6287,5329,5325,99.92
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.1000,6.4000,6876.0010,6.3000,1.4448,0.4646,0.6816,5329,4759,89.30
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.2000,5.5000,7950.5103,5.3000,1.4950,0.4058,0.6370,5329,5318,99.79
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.2000,6.5000,8152.0884,6.3000,1.5303,0.3922,0.6263,5329,5327,99.96
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.2000,4.7000,7519.6997,4.5000,1.4137,0.3216,0.5671,5329,5319,99.81
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.1000,6.6000,7132.4653,6.5000,1.3985,0.4163,0.6452,5329,5100,95.70
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.2000,4.3000,7468.9185,4.1000,1.4021,0.2971,0.5451,5329,5327,99.96
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.2000,3.8000,7871.5898,3.6000,1.4777,0.3501,0.5917,5329,5327,99.96
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.2000,4.7000,7302.2109,4.5000,1.3716,0.2993,0.5471,5329,5324,99.91
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.2000,6.8000,7905.6860,6.6000,1.4841,0.4415,0.6645,5329,5327,99.96
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.2000,3.3000,6994.0166,3.1000,1.3129,0.2572,0.5071,5329,5327,99.96
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.2000,4.4000,7639.2812,4.2000,1.4341,0.3655,0.6045,5329,5327,99.96
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.2000,5.3000,6657.9014,5.1000,1.2498,0.3022,0.5497,5329,5327,99.96
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.2000,5.3000,7566.1040,5.1000,1.4203,0.3968,0.6299,5329,5327,99.96
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.2000,6.1000,6458.6050,5.9000,1.2209,0.4095,0.6400,5329,5290,99.27
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.1000,5.9000,6073.0249,5.8000,1.1400,0.2987,0.5465,5329,5327,99.96
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.2000,4.4000,6236.6128,4.2000,1.1708,0.2859,0.5347,5329,5327,99.96
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.2000,4.4000,6552.9067,4.2000,1.2301,0.3531,0.5943,5329,5327,99.96
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.1000,2.4000,4685.6963,2.3000,0.8796,0.1289,0.3590,5329,5327,99.96
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,4.2000,6288.2910,4.1000,1.1813,0.3429,0.5855,5329,5323,99.89
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.1000,3.9000,5797.6006,3.8000,1.0883,0.2564,0.5063,5329,5327,99.96
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.2000,3.3000,6045.3242,3.1000,1.1348,0.2949,0.5431,5329,5327,99.96
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.1000,3.8000,5226.0078,3.7000,0.9810,0.2569,0.5068,5329,5327,99.96
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.1000,4.9000,4991.0054,4.8000,0.9474,0.2720,0.5215,5329,5268,98.86
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.1000,4.4000,5229.2910,4.3000,0.9817,0.3035,0.5509,5329,5327,99.96
A2015297,2015-10-24,MCD15A3H,Lai_500m,0.1000,3.0000,4424.0991,2.9000,0.8307,0.1917,0.4379,5329,5326,99.94
A2015301,2015-10-28,MCD15A3H,Lai_500m,0.1000,5.0000,5070.2871,4.9000,0.9518,0.2641,0.5139,5329,5327,99.96
A2015305,2015-11-01,MCD15A3H,Lai_500m,0.1000,2.2000,3903.8137,2.1000,0.7338,0.1445,0.3801,5329,5320,99.83
A2015309,2015-11-05,MCD15A3H,Lai_500m,0.1000,4.7000,4300.3091,4.6000,0.8432,0.2765,0.5259,5329,5100,95.70
A2015313,2015-11-09,MCD15A3H,Lai_500m,0.1000,3.7000,3719.4106,3.6000,0.7487,0.1865,0.4319,5329,4968,93.23
A2015317,2015-11-13,MCD15A3H,Lai_500m,0.1000,4.4000,4245.2085,4.3000,0.8477,0.2296,0.4791,5329,5008,93.98
A2015321,2015-11-17,MCD15A3H,Lai_500m,0.1000,2.9000,3939.8074,2.8000,0.7496,0.1723,0.4151,5329,5256,98.63
A2015325,2015-11-21,MCD15A3H,Lai_500m,0.1000,3.5000,3888.3042,3.4000,0.7446,0.1711,0.4136,5329,5222,97.99
A2015329,2015-11-25,MCD15A3H,Lai_500m,0.1000,4.1000,2736.5144,4.0000,0.5927,0.0990,0.3146,5329,4617,86.64
A2015333,2015-11-29,MCD15A3H,Lai_500m,0.1000,2.9000,3417.2209,2.8000,0.6982,0.1335,0.3654,5329,4894,91.84
A2015337,2015-12-03,MCD15A3H,Lai_500m,0.1000,3.4000,3744.8040,3.3000,0.7311,0.1527,0.3908,5329,5122,96.12
A2015341,2015-12-07,MCD15A3H,Lai_500m,0.1000,0.6000,834.7977,0.5000,0.2300,0.0070,0.0838,5329,3629,68.10
A2015345,2015-12-11,MCD15A3H,Lai_500m,0.1000,5.1000,2222.4094,5.0000,0.5199,0.1181,0.3436,5329,4275,80.22
A2015349,2015-12-15,MCD15A3H,Lai_500m,0.1000,3.2000,3000.0120,3.1000,0.6567,0.1649,0.4061,5329,4568,85.72
A2015353,2015-12-19,MCD15A3H,Lai_500m,0.1000,1.1000,231.6003,1.0000,0.2024,0.0352,0.1877,5329,1144,21.47
A2015357,2015-12-23,MCD15A3H,Lai_500m,0.1000,4.9000,1713.7894,4.8000,0.4248,0.0819,0.2861,5329,4034,75.70
A2015361,2015-12-27,MCD15A3H,Lai_500m,0.1000,2.7000,2533.8062,2.6000,0.5897,0.1241,0.3522,5329,4297,80.63
A2015365,2015-12-31,MCD15A3H,Lai_500m,0.1000,3.5000,2849.3003,3.4000,0.6687,0.1642,0.4052,5329,4261,79.96
A2016001,2016-01-01,MCD15A3H,Lai_500m,0.1000,3.5000,2336.0930,3.4000,0.6310,0.1636,0.4044,5329,3702,69.47
A2016005,2016-01-05,MCD15A3H,Lai_500m,0.1000,2.4000,1048.6936,2.3000,0.3768,0.0674,0.2595,5329,2783,52.22
A2016009,2016-01-09,MCD15A3H,Lai_500m,0.1000,4.3000,2173.5923,4.2000,0.5542,0.1206,0.3473,5329,3922,73.60
A2016013,2016-01-13,MCD15A3H,Lai_500m,0.1000,2.2000,1936.3865,2.1000,0.5125,0.0964,0.3104,5329,3778,70.90
A2016017,2016-01-17,MCD15A3H,Lai_500m,0.1000,1.9000,1804.0911,1.8000,0.4171,0.0545,0.2334,5329,4325,81.16
A2016021,2016-01-21,MCD15A3H,Lai_500m,0.1000,4.6000,2739.2148,4.5000,0.6113,0.1462,0.3824,5329,4481,84.09
A2016025,2016-01-25,MCD15A3H,Lai_500m,0.1000,4.4000,3096.5120,4.3000,0.7115,0.1893,0.4351,5329,4352,81.67
A2016029,2016-01-29,MCD15A3H,Lai_500m,0.1000,1.7000,917.7932,1.6000,0.3342,0.0517,0.2274,5329,2746,51.53
A2016033,2016-02-02,MCD15A3H,Lai_500m,0.1000,6.1000,2409.5996,6.0000,0.5893,0.1042,0.3228,5329,4089,76.73
A2016037,2016-02-06,MCD15A3H,Lai_500m,0.1000,3.5000,3509.8164,3.4000,0.7298,0.1556,0.3944,5329,4809,90.24
A2016041,2016-02-10,MCD15A3H,Lai_500m,0.1000,2.6000,3270.1101,2.5000,0.7217,0.1456,0.3816,5329,4531,85.03
A2016045,2016-02-14,MCD15A3H,Lai_500m,0.1000,2.9000,3838.7178,2.8000,0.7931,0.1631,0.4039,5329,4840,90.82
A2016057,2016-02-26,MCD15A3H,Lai_500m,0.1000,4.2000,4441.3184,4.1000,0.9624,0.1960,0.4427,5329,4615,86.60
A2016061,2016-03-01,MCD15A3H,Lai_500m,0.1000,2.5000,3856.1260,2.4000,0.7820,0.1136,0.3371,5329,4931,92.53
A2016065,2016-03-05,MCD15A3H,Lai_500m,0.1000,2.2000,3184.8955,2.1000,0.8223,0.1253,0.3540,5329,3873,72.68
A2016069,2016-03-09,MCD15A3H,Lai_500m,0.1000,4.5000,2347.7034,4.4000,0.6805,0.1839,0.4288,5329,3450,64.74
