date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.9000,2190.0952,2.8000,0.6002,0.1581,0.3976,5329,3649,68.47
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,3.8000,1827.4860,3.7000,0.4944,0.1129,0.3361,5329,3696,69.36
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.1000,2331.6025,2.0000,0.5889,0.1368,0.3698,5329,3959,74.29
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.1000,2276.1978,2.0000,0.5990,0.1250,0.3536,5329,3800,71.31
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.7000,1056.4913,3.6000,0.3916,0.0828,0.2878,5329,2698,50.63
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,3.6000,2493.9873,3.5000,0.6224,0.1499,0.3872,5329,4007,75.19
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.7000,817.0853,1.6000,0.3149,0.0704,0.2653,5329,2595,48.70
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.9000,1836.1954,1.8000,0.5409,0.1145,0.3383,5329,3395,63.71
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.9000,2744.2803,2.8000,0.6575,0.1666,0.4082,5329,4174,78.33
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,4.9000,2569.6821,4.8000,0.6088,0.1465,0.3828,5329,4221,79.21
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.4000,950.7886,2.3000,0.3862,0.1276,0.3573,5329,2462,46.20
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,3.3000,1016.2930,3.2000,0.4805,0.1299,0.3604,5329,2115,39.69
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,3.4000,433.1017,3.3000,0.4470,0.0916,0.3026,5329,969,18.18
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.7000,65.6999,2.6000,0.2034,0.0503,0.2243,5329,323,6.06
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.7000,120.0998,0.6000,0.2071,0.0179,0.1339,5329,580,10.88
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.3000,1067.7893,2.2000,0.4371,0.0860,0.2933,5329,2443,45.84
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.8000,1209.0824,1.7000,0.4198,0.0729,0.2700,5329,2880,54.04
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,2.1000,2433.5901,2.0000,0.5931,0.1251,0.3536,5329,4103,76.99
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.3000,2442.8997,2.2000,0.6664,0.1397,0.3737,5329,3666,68.79
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.3000,2541.8958,2.2000,0.6628,0.1500,0.3873,5329,3835,71.96
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,2.2000,2970.5928,2.1000,0.7734,0.1812,0.4257,5329,3841,72.08
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,2.4000,3196.2808,2.3000,0.7355,0.2111,0.4595,5329,4346,81.55
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,2.5000,2962.3816,2.4000,0.7241,0.1384,0.3720,5329,4091,76.77
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,3.1000,2977.5857,3.0000,0.7615,0.1960,0.4427,5329,3910,73.37
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,2.2000,3536.0845,2.1000,0.8166,0.1874,0.4329,5329,4330,81.25
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.5000,663.3018,1.4000,0.4133,0.0829,0.2879,5329,1605,30.12
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,2.1000,910.4986,2.0000,0.3985,0.0944,0.3073,5329,2285,42.88
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,3.7000,551.0017,3.6000,0.3427,0.0757,0.2751,5329,1608,30.17
