date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.9000,1270.9943,0.8000,0.2439,0.0114,0.1068,5329,5211,97.79
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.9000,1168.5823,0.8000,0.2210,0.0090,0.0951,5329,5288,99.23
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.5000,728.0784,1.4000,0.1892,0.0097,0.0987,5329,3849,72.23
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.7000,1008.9675,0.6000,0.2071,0.0093,0.0967,5329,4871,91.41
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.6000,1138.0685,0.5000,0.2175,0.0091,0.0954,5329,5233,98.20
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.6000,1123.9744,0.5000,0.2119,0.0080,0.0893,5329,5305,99.55
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,532.3143,0.4000,0.1356,0.0041,0.0644,5329,3926,73.67
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.6000,1051.5756,0.5000,0.1983,0.0073,0.0853,5329,5303,99.51
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,1326.6150,0.4000,0.2500,0.0059,0.0768,5329,5307,99.59
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.9000,1294.9109,0.8000,0.2440,0.0055,0.0741,5329,5307,99.59
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.7000,1298.6062,0.6000,0.2447,0.0053,0.0727,5329,5307,99.59
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.7000,1481.7311,0.6000,0.2792,0.0070,0.0836,5329,5307,99.59
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.5000,164.4011,0.4000,0.1072,0.0011,0.0331,5329,1534,28.79
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.1000,16.4000,0.0000,0.1000,0.0000,0.0000,5329,164,3.08
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.1000,906.0922,2.0000,0.2391,0.0230,0.1517,5329,3790,71.12
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.2000,1440.3091,1.1000,0.2849,0.0144,0.1198,5329,5056,94.88
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.1000,990.9998,1.0000,0.1877,0.0077,0.0879,5329,5281,99.10
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.4000,1789.9520,1.3000,0.3373,0.0103,0.1013,5329,5307,99.59
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.8000,1519.4073,2.7000,0.2863,0.0162,0.1274,5329,5307,99.59
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.6000,2075.0518,1.5000,0.3910,0.0148,0.1219,5329,5307,99.59
