date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.4000,595.6932,1.3000,0.1478,0.0075,0.0865,5329,4031,75.64
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.2000,224.8039,1.1000,0.1189,0.0054,0.0733,5329,1890,35.47
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.4000,574.3982,1.3000,0.1448,0.0097,0.0984,5329,3968,74.46
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.8000,650.5823,0.7000,0.1446,0.0067,0.0820,5329,4500,84.44
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.8000,812.9630,0.7000,0.1660,0.0070,0.0838,5329,4898,91.91
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,817.7562,0.4000,0.1588,0.0057,0.0758,5329,5149,96.62
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.9000,853.1586,0.8000,0.1670,0.0068,0.0827,5329,5108,95.85
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.7000,942.5883,0.6000,0.1807,0.0056,0.0750,5329,5216,97.88
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,1076.5839,0.4000,0.2034,0.0062,0.0789,5329,5294,99.34
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.6000,1132.6921,0.5000,0.2132,0.0053,0.0725,5329,5313,99.70
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.7000,1086.0890,0.6000,0.2045,0.0064,0.0798,5329,5312,99.68
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.0000,1154.5017,0.9000,0.2170,0.0055,0.0744,5329,5321,99.85
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.6000,1121.8992,0.5000,0.2145,0.0048,0.0693,5329,5230,98.14
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.9000,1251.2795,1.8000,0.2370,0.0091,0.0952,5329,5279,99.06
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.8000,972.0989,1.7000,0.2196,0.0142,0.1192,5329,4426,83.05
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.6000,1349.8877,0.5000,0.2619,0.0059,0.0769,5329,5155,96.73
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.9000,1344.2886,0.8000,0.2542,0.0081,0.0901,5329,5289,99.25
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.6000,1321.2906,0.5000,0.2483,0.0048,0.0694,5329,5321,99.85
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.8000,1488.9922,0.7000,0.2798,0.0064,0.0802,5329,5321,99.85
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.3000,1449.9718,1.2000,0.2725,0.0104,0.1021,5329,5321,99.85
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.5000,1628.3037,1.4000,0.3060,0.0103,0.1016,5329,5321,99.85
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.2000,1580.8868,1.1000,0.2971,0.0113,0.1064,5329,5321,99.85
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,2.4000,1625.3011,2.3000,0.3055,0.0146,0.1207,5329,5321,99.85
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,2.9000,1681.8994,2.8000,0.3161,0.0195,0.1396,5329,5321,99.85
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,2.9000,1618.5891,2.8000,0.3042,0.0184,0.1358,5329,5321,99.85
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.6000,1403.4736,1.5000,0.2701,0.0181,0.1346,5329,5196,97.50
