date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.3000,623.4050,0.2000,0.1170,0.0015,0.0383,5329,5329,100.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.5000,661.4022,0.4000,0.1241,0.0021,0.0460,5329,5329,100.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.7000,754.7099,0.6000,0.1416,0.0028,0.0533,5329,5329,100.00
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,697.6014,0.2000,0.1309,0.0024,0.0493,5329,5329,100.00
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.3000,208.9032,0.2000,0.1058,0.0006,0.0241,5329,1974,37.04
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,672.3006,0.4000,0.1262,0.0022,0.0468,5329,5329,100.00
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.3000,547.7141,0.2000,0.1028,0.0003,0.0167,5329,5329,100.00
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.7000,659.3055,0.6000,0.1237,0.0020,0.0444,5329,5329,100.00
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.7000,708.5083,0.6000,0.1330,0.0025,0.0496,5329,5329,100.00
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.7000,713.3058,0.6000,0.1339,0.0025,0.0501,5329,5329,100.00
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.7000,868.4233,0.6000,0.1630,0.0029,0.0539,5329,5329,100.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.7000,1069.6296,0.6000,0.2007,0.0008,0.0287,5329,5329,100.00
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.6000,314.7086,0.5000,0.1111,0.0018,0.0419,5329,2832,53.14
A2015057,2015-02-26,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.7000,627.9042,0.6000,0.1182,0.0017,0.0410,5329,5310,99.64
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.9000,1094.8289,0.8000,0.2054,0.0010,0.0317,5329,5329,100.00
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.8000,1082.0284,0.7000,0.2030,0.0007,0.0269,5329,5329,100.00
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.9000,1024.1357,0.8000,0.1922,0.0016,0.0406,5329,5329,100.00
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.1000,1124.9164,1.0000,0.2111,0.0017,0.0413,5329,5329,100.00
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.8000,1095.7249,0.7000,0.2056,0.0012,0.0353,5329,5329,100.00
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.6000,1121.0194,1.5000,0.2104,0.0027,0.0520,5329,5329,100.00
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.4000,1156.9083,1.3000,0.2171,0.0030,0.0548,5329,5329,100.00
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,2.0000,1255.0006,1.9000,0.2355,0.0066,0.0810,5329,5329,100.00
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,1.8000,1227.6063,1.6000,0.2304,0.0053,0.0731,5329,5329,100.00
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,1.1000,1341.3033,0.9000,0.2517,0.0053,0.0726,5329,5329,100.00
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,1.8000,1614.2195,1.6000,0.3029,0.0142,0.1192,5329,5329,100.00
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,1.7000,1619.3318,1.5000,0.3039,0.0126,0.1123,5329,5329,100.00
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.6000,1619.5101,1.5000,0.3039,0.0132,0.1147,5329,5329,100.00
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,1.7000,1738.7367,1.5000,0.3263,0.0171,0.1309,5329,5329,100.00
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.2000,2.0000,1856.2472,1.8000,0.3483,0.0160,0.1267,5329,5329,100.00
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,2.3000,2371.3257,2.2000,0.4450,0.0291,0.1705,5329,5329,100.00
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,1.4000,2737.9080,1.2000,0.5138,0.0176,0.1326,5329,5329,100.00
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.2000,2.2000,2323.4275,2.0000,0.4360,0.0195,0.1395,5329,5329,100.00
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.2000,2.3000,2299.3359,2.1000,0.4315,0.0232,0.1524,5329,5329,100.00
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,2.5000,2856.0032,2.3000,0.5359,0.0264,0.1624,5329,5329,100.00
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.2000,1.9000,3142.3145,1.7000,0.5897,0.0259,0.1611,5329,5329,100.00
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.2000,2.3000,3529.8857,2.1000,0.6624,0.0392,0.1979,5329,5329,100.00
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,2.1000,3550.8916,1.9000,0.6663,0.0367,0.1916,5329,5329,100.00
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,2.3000,3798.8252,2.1000,0.7149,0.0411,0.2027,5329,5314,99.72
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,3.3000,4089.0215,3.1000,0.7673,0.0464,0.2153,5329,5329,100.00
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,2.1000,4079.1050,1.9000,0.7655,0.0392,0.1981,5329,5329,100.00
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.3000,3.0000,3866.0774,2.7000,0.7255,0.0380,0.1950,5329,5329,100.00
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.3000,2.3000,3675.8604,2.0000,0.6898,0.0272,0.1649,5329,5329,100.00
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.2000,2.2000,3468.9404,2.0000,0.6510,0.0337,0.1835,5329,5329,100.00
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,1.5000,2935.7922,1.3000,0.5509,0.0182,0.1348,5329,5329,100.00
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.2000,2.0000,2728.6833,1.8000,0.5120,0.0272,0.1651,5329,5329,100.00
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.2000,3.0000,2779.5786,2.8000,0.5216,0.0332,0.1823,5329,5329,100.00
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,3.4000,2579.6128,3.2000,0.4841,0.0295,0.1718,5329,5329,100.00
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.2000,2.8000,2289.2332,2.6000,0.4296,0.0258,0.1605,5329,5329,100.00
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.2000,4.1000,2534.6755,3.9000,0.4756,0.0384,0.1960,5329,5329,100.00
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.2000,4.9000,2420.5081,4.7000,0.4542,0.0515,0.2269,5329,5329,100.00
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.1000,3.0000,2402.9050,2.9000,0.4510,0.0360,0.1897,5329,5328,99.98
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.2000,1.7000,2194.0457,1.5000,0.4117,0.0230,0.1517,5329,5329,100.00
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.2000,2.9000,2139.7549,2.7000,0.4015,0.0313,0.1769,5329,5329,100.00
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.2000,2.1000,2097.7532,1.9000,0.3936,0.0311,0.1765,5329,5329,100.00
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.2000,3.9000,2178.7383,3.7000,0.4088,0.0361,0.1900,5329,5329,100.00
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.2000,2.1000,2197.4355,1.9000,0.4124,0.0336,0.1833,5329,5329,100.00
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.2000,2.6000,1924.4348,2.4000,0.3611,0.0294,0.1714,5329,5329,100.00
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.2000,2.9000,1835.6333,2.7000,0.3445,0.0235,0.1534,5329,5329,100.00
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.2000,2.8000,1967.2354,2.6000,0.3692,0.0308,0.1755,5329,5329,100.00
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.1000,1.6000,1431.2579,1.5000,0.2686,0.0133,0.1153,5329,5329,100.00
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.2000,1.6000,1441.8551,1.4000,0.2706,0.0156,0.1248,5329,5329,100.00
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.2000,1.9000,1453.9521,1.7000,0.2728,0.0173,0.1314,5329,5329,100.00
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.2000,1.8000,1370.8618,1.6000,0.2572,0.0141,0.1188,5329,5329,100.00
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.2000,1.6000,1301.4717,1.4000,0.2442,0.0095,0.0974,5329,5329,100.00
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.2000,1.7000,1339.8621,1.5000,0.2514,0.0092,0.0960,5329,5329,100.00
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.2000,1.6000,1320.5736,1.4000,0.2478,0.0087,0.0934,5329,5329,100.00
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,2.7000,1248.2837,2.6000,0.2342,0.0079,0.0891,5329,5329,100.00
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.1000,2.8000,1245.9792,2.7000,0.2338,0.0087,0.0931,5329,5329,100.00
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.2000,2.5000,1223.0835,2.3000,0.2295,0.0088,0.0936,5329,5329,100.00
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.2000,3.5000,1225.7903,3.3000,0.2300,0.0089,0.0941,5329,5329,100.00
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.1000,1.5000,1134.6147,1.4000,0.2129,0.0041,0.0641,5329,5329,100.00
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.1000,2.5000,1090.8051,2.4000,0.2047,0.0087,0.0935,5329,5329,100.00
A2015297,2015-10-24,MCD15A3H,Lai_500m,0.1000,1.7000,897.3954,1.6000,0.1684,0.0061,0.0779,5329,5329,100.00
A2015301,2015-10-28,MCD15A3H,Lai_500m,0.1000,0.9000,797.6780,0.8000,0.1497,0.0048,0.0692,5329,5329,100.00
A2015305,2015-11-01,MCD15A3H,Lai_500m,0.1000,1.2000,736.9832,1.1000,0.1383,0.0049,0.0697,5329,5329,100.00
A2015309,2015-11-05,MCD15A3H,Lai_500m,0.1000,1.0000,688.7886,0.9000,0.1293,0.0034,0.0580,5329,5329,100.00
A2015313,2015-11-09,MCD15A3H,Lai_500m,0.1000,0.7000,730.7869,0.6000,0.1371,0.0032,0.0568,5329,5329,100.00
A2015317,2015-11-13,MCD15A3H,Lai_500m,0.1000,0.8000,651.2982,0.7000,0.1222,0.0025,0.0501,5329,5329,100.00
A2015321,2015-11-17,MCD15A3H,Lai_500m,0.1000,0.6000,725.5903,0.5000,0.1362,0.0030,0.0545,5329,5329,100.00
A2015325,2015-11-21,MCD15A3H,Lai_500m,0.1000,0.5000,670.4937,0.4000,0.1258,0.0023,0.0481,5329,5329,100.00
A2015329,2015-11-25,MCD15A3H,Lai_500m,0.1000,0.4000,547.7134,0.3000,0.1028,0.0004,0.0193,5329,5329,100.00
A2015333,2015-11-29,MCD15A3H,Lai_500m,0.1000,0.5000,595.3065,0.4000,0.1124,0.0015,0.0381,5329,5298,99.42
A2015337,2015-12-03,MCD15A3H,Lai_500m,0.1000,0.4000,619.0057,0.3000,0.1162,0.0016,0.0398,5329,5329,100.00
A2015341,2015-12-07,MCD15A3H,Lai_500m,0.1000,0.3000,555.7159,0.2000,0.1043,0.0004,0.0204,5329,5329,100.00
A2015345,2015-12-11,MCD15A3H,Lai_500m,0.1000,0.3000,312.0077,0.2000,0.1079,0.0008,0.0275,5329,2891,54.25
A2015349,2015-12-15,MCD15A3H,Lai_500m,0.1000,0.5000,566.8105,0.4000,0.1068,0.0008,0.0290,5329,5308,99.61
A2015353,2015-12-19,MCD15A3H,Lai_500m,0.1000,0.3000,597.9072,0.2000,0.1122,0.0011,0.0333,5329,5329,100.00
A2015357,2015-12-23,MCD15A3H,Lai_500m,0.1000,0.3000,587.6099,0.2000,0.1103,0.0010,0.0318,5329,5329,100.00
A2015361,2015-12-27,MCD15A3H,Lai_500m,0.1000,0.3000,596.0075,0.2000,0.1118,0.0011,0.0329,5329,5329,100.00
A2015365,2015-12-31,MCD15A3H,Lai_500m,0.1000,0.3000,568.7139,0.2000,0.1067,0.0006,0.0255,5329,5329,100.00
A2016001,2016-01-01,MCD15A3H,Lai_500m,0.1000,0.3000,575.2121,0.2000,0.1079,0.0008,0.0276,5329,5329,100.00
A2016005,2016-01-05,MCD15A3H,Lai_500m,0.1000,0.3000,533.1171,0.2000,0.1014,0.0001,0.0119,5329,5259,98.69
A2016009,2016-01-09,MCD15A3H,Lai_500m,0.1000,0.5000,521.7175,0.4000,0.1091,0.0011,0.0337,5329,4783,89.75
A2016013,2016-01-13,MCD15A3H,Lai_500m,0.1000,0.3000,563.3131,0.2000,0.1057,0.0006,0.0237,5329,5329,100.00
A2016017,2016-01-17,MCD15A3H,Lai_500m,0.1000,0.5000,566.7124,0.4000,0.1065,0.0007,0.0268,5329,5321,99.85
