date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.3000,337.9099,0.2000,0.1087,0.0009,0.0292,5329,3109,58.34
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.2000,3.9000,0.1000,0.1219,0.0017,0.0413,5329,32,0.60
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.3000,600.9998,0.2000,0.1189,0.0016,0.0396,5329,5055,94.86
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.4000,723.1929,0.3000,0.1358,0.0024,0.0489,5329,5324,99.91
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.5000,718.2969,0.4000,0.1349,0.0025,0.0496,5329,5324,99.91
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.3000,681.8046,0.2000,0.1281,0.0021,0.0457,5329,5324,99.91
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,656.5861,0.4000,0.1233,0.0019,0.0441,5329,5324,99.91
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.5000,650.6006,0.4000,0.1222,0.0018,0.0424,5329,5322,99.87
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,774.2022,0.4000,0.1454,0.0027,0.0515,5329,5324,99.91
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.5000,807.3049,0.4000,0.1516,0.0027,0.0523,5329,5324,99.91
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.7000,531.5162,0.6000,0.1137,0.0016,0.0394,5329,4674,87.71
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.3000,697.9049,0.2000,0.1311,0.0022,0.0472,5329,5324,99.91
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.5000,438.9090,0.4000,0.1643,0.0026,0.0506,5329,2672,50.14
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.2000,173.3003,1.1000,0.1294,0.0060,0.0777,5329,1339,25.13
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.5000,809.7287,2.4000,0.1789,0.0044,0.0665,5329,4525,84.91
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.5000,1094.1244,0.4000,0.2055,0.0007,0.0258,5329,5324,99.91
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.5000,1088.4260,0.4000,0.2044,0.0005,0.0232,5329,5324,99.91
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.6000,1116.2198,0.5000,0.2097,0.0012,0.0341,5329,5324,99.91
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.8000,1111.3201,0.7000,0.2087,0.0014,0.0370,5329,5324,99.91
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.8000,1108.7189,0.7000,0.2082,0.0016,0.0405,5329,5324,99.91
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,0.8000,1156.1074,0.7000,0.2172,0.0024,0.0487,5329,5324,99.91
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,0.9000,1166.2032,0.8000,0.2190,0.0026,0.0514,5329,5324,99.91
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.9000,1249.8896,1.8000,0.2348,0.0070,0.0839,5329,5324,99.91
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.3000,1242.2964,1.2000,0.2333,0.0064,0.0799,5329,5324,99.91
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.4000,1235.8960,1.3000,0.2321,0.0057,0.0756,5329,5324,99.91
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.4000,1417.2712,1.3000,0.2667,0.0089,0.0944,5329,5315,99.74
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,1.4000,1391.8937,1.3000,0.2614,0.0080,0.0894,5329,5324,99.91
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.2000,1159.0020,1.1000,0.2256,0.0071,0.0844,5329,5137,96.40
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,1.9000,1666.5154,1.8000,0.3130,0.0145,0.1202,5329,5324,99.91
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,1.0000,1483.9246,0.9000,0.2898,0.0106,0.1030,5329,5120,96.08
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,1.0000,155.8995,0.9000,0.1602,0.0090,0.0951,5329,973,18.26
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,3.4000,1878.6372,3.3000,0.3529,0.0289,0.1700,5329,5324,99.91
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,1.2000,2529.0972,1.1000,0.4754,0.0160,0.1264,5329,5320,99.83
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,2.2000,1697.6981,2.1000,0.3670,0.0350,0.1870,5329,4626,86.81
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,1.5000,609.4025,1.4000,0.2486,0.0238,0.1542,5329,2451,45.99
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,2.6000,3321.4114,2.5000,0.6239,0.0264,0.1624,5329,5324,99.91
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.3000,2.8000,4063.8726,2.5000,0.7633,0.0267,0.1633,5329,5324,99.91
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,3.4000,4666.8682,3.2000,0.8766,0.0445,0.2110,5329,5324,99.91
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.5000,3.1000,5285.4751,2.6000,0.9928,0.0452,0.2125,5329,5324,99.91
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,3.5000,5879.0942,3.4000,1.1045,0.1016,0.3188,5329,5323,99.89
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.4000,3.1000,7010.4927,2.7000,1.3168,0.0600,0.2449,5329,5324,99.91
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.5000,4.0000,6681.0601,3.5000,1.2549,0.0780,0.2792,5329,5324,99.91
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.5000,2.7000,6352.6597,2.2000,1.1932,0.0673,0.2594,5329,5324,99.91
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.5000,2.8000,6489.6724,2.3000,1.2189,0.0709,0.2664,5329,5324,99.91
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.5000,4.7000,6442.8486,4.2000,1.2102,0.0738,0.2717,5329,5324,99.91
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.5000,5.5000,5614.6162,5.0000,1.0550,0.0787,0.2805,5329,5322,99.87
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.2000,6.4000,5759.1440,6.2000,1.0817,0.0910,0.3017,5329,5324,99.91
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.4000,4.0000,5828.1382,3.6000,1.0947,0.0679,0.2605,5329,5324,99.91
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.4000,6.6000,5914.4844,6.2000,1.1109,0.0979,0.3130,5329,5324,99.91
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.3000,6.0000,5538.2251,5.7000,1.0402,0.0944,0.3072,5329,5324,99.91
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.3000,6.4000,4937.7876,6.1000,0.9275,0.0797,0.2823,5329,5324,99.91
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.3000,4.5000,4455.1704,4.2000,0.8370,0.0447,0.2114,5329,5323,99.89
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.2000,6.6000,3983.9250,6.4000,0.7487,0.0704,0.2653,5329,5321,99.85
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.3000,6.5000,3735.8081,6.2000,0.7018,0.0480,0.2192,5329,5323,99.89
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.3000,5.6000,3686.2100,5.3000,0.6925,0.0509,0.2257,5329,5323,99.89
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.2000,6.7000,3376.7019,6.5000,0.6342,0.0505,0.2247,5329,5324,99.91
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.2000,3.4000,3675.7014,3.2000,0.6914,0.0374,0.1933,5329,5316,99.76
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.2000,4.5000,2883.3892,4.3000,0.5416,0.0383,0.1957,5329,5324,99.91
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.2000,3.0000,2771.2043,2.8000,0.5208,0.0182,0.1347,5329,5321,99.85
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.2000,6.6000,2513.8154,6.4000,0.4723,0.0416,0.2039,5329,5322,99.87
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.2000,3.7000,2422.3157,3.5000,0.4551,0.0244,0.1561,5329,5323,99.89
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.2000,2.5000,2325.2380,2.3000,0.4367,0.0188,0.1370,5329,5324,99.91
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.2000,2.4000,1978.1879,2.2000,0.3716,0.0129,0.1136,5329,5324,99.91
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.2000,3.0000,1840.1641,2.8000,0.3456,0.0148,0.1215,5329,5324,99.91
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.2000,2.0000,1968.6849,1.8000,0.3698,0.0107,0.1034,5329,5324,99.91
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.2000,1.6000,1704.0535,1.4000,0.3201,0.0073,0.0857,5329,5324,99.91
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.2000,1.4000,1685.3396,1.2000,0.3166,0.0096,0.0982,5329,5324,99.91
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,0.5000,858.2841,0.4000,0.1769,0.0061,0.0783,5329,4853,91.07
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.1000,1.1000,1397.5074,1.0000,0.2625,0.0045,0.0673,5329,5324,99.91
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.1000,2.5000,1330.1910,2.4000,0.2498,0.0077,0.0877,5329,5324,99.91
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.1000,3.1000,1365.2825,3.0000,0.2564,0.0072,0.0850,5329,5324,99.91
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.1000,1.6000,1177.0919,1.5000,0.2211,0.0043,0.0655,5329,5324,99.91
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.1000,0.9000,876.3823,0.8000,0.1661,0.0041,0.0642,5329,5277,99.02
A2015297,2015-10-24,MCD15A3H,Lai_500m,0.1000,3.2000,876.0637,3.1000,0.1645,0.0082,0.0906,5329,5324,99.91
A2015301,2015-10-28,MCD15A3H,Lai_500m,0.1000,2.1000,792.0850,2.0000,0.1488,0.0049,0.0703,5329,5324,99.91
A2015305,2015-11-01,MCD15A3H,Lai_500m,0.1000,2.0000,908.4985,1.9000,0.1706,0.0045,0.0675,5329,5324,99.91
A2015309,2015-11-05,MCD15A3H,Lai_500m,0.1000,3.2000,865.6819,3.1000,0.1626,0.0087,0.0931,5329,5324,99.91
A2015313,2015-11-09,MCD15A3H,Lai_500m,0.1000,2.5000,718.6820,2.4000,0.1350,0.0043,0.0656,5329,5324,99.91
A2015317,2015-11-13,MCD15A3H,Lai_500m,0.1000,2.0000,661.6937,1.9000,0.1243,0.0039,0.0625,5329,5324,99.91
A2015321,2015-11-17,MCD15A3H,Lai_500m,0.1000,1.4000,778.1914,1.3000,0.1462,0.0046,0.0678,5329,5324,99.91
A2015325,2015-11-21,MCD15A3H,Lai_500m,0.1000,0.7000,715.7949,0.6000,0.1344,0.0029,0.0541,5329,5324,99.91
A2015329,2015-11-25,MCD15A3H,Lai_500m,0.1000,1.1000,586.0067,1.0000,0.1146,0.0021,0.0459,5329,5114,95.97
A2015333,2015-11-29,MCD15A3H,Lai_500m,0.1000,1.0000,574.1100,0.9000,0.1079,0.0012,0.0350,5329,5323,99.89
A2015337,2015-12-03,MCD15A3H,Lai_500m,0.1000,0.5000,649.0982,0.4000,0.1219,0.0021,0.0457,5329,5324,99.91
A2015341,2015-12-07,MCD15A3H,Lai_500m,0.1000,0.2000,470.7195,0.1000,0.1001,0.0000,0.0025,5329,4704,88.27
A2015345,2015-12-11,MCD15A3H,Lai_500m,0.1000,0.7000,637.0992,0.6000,0.1203,0.0019,0.0440,5329,5298,99.42
A2015349,2015-12-15,MCD15A3H,Lai_500m,0.1000,0.1000,2.0000,0.0000,0.1000,0.0000,0.0000,5329,20,0.38
A2015353,2015-12-19,MCD15A3H,Lai_500m,0.1000,0.8000,150.5000,0.7000,0.1023,0.0008,0.0285,5329,1471,27.60
A2015357,2015-12-23,MCD15A3H,Lai_500m,0.1000,0.5000,193.3007,0.4000,0.1138,0.0021,0.0456,5329,1698,31.86
A2015361,2015-12-27,MCD15A3H,Lai_500m,0.1000,0.3000,18.7000,0.2000,0.1317,0.0036,0.0598,5329,142,2.66
A2015365,2015-12-31,MCD15A3H,Lai_500m,0.1000,0.3000,97.5991,0.2000,0.1041,0.0004,0.0208,5329,938,17.60
A2016001,2016-01-01,MCD15A3H,Lai_500m,0.1000,0.3000,100.2990,0.2000,0.1034,0.0004,0.0192,5329,970,18.20
A2016005,2016-01-05,MCD15A3H,Lai_500m,0.1000,0.2000,347.8120,0.1000,0.1011,0.0001,0.0103,5329,3441,64.57
A2016009,2016-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,0.1000,0.0000,0.1000,0.0000,0.0000,5329,1,0.02
A2016013,2016-01-13,MCD15A3H,Lai_500m,0.1000,1.0000,53.0998,0.9000,0.1054,0.0035,0.0590,5329,504,9.46
A2016017,2016-01-17,MCD15A3H,Lai_500m,0.1000,0.9000,387.8138,0.8000,0.1039,0.0008,0.0276,5329,3732,70.03
A2016021,2016-01-21,MCD15A3H,Lai_500m,0.1000,0.3000,483.9192,0.2000,0.1034,0.0004,0.0205,5329,4680,87.82
A2016025,2016-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,544.8149,0.4000,0.1037,0.0005,0.0225,5329,5254,98.59
A2016029,2016-01-29,MCD15A3H,Lai_500m,0.1000,0.3000,539.2158,0.2000,0.1013,0.0001,0.0116,5329,5323,99.89
A2016033,2016-02-02,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2016037,2016-02-06,MCD15A3H,Lai_500m,0.1000,0.2000,510.0218,0.1000,0.1004,0.0000,0.0064,5329,5079,95.31
A2016041,2016-02-10,MCD15A3H,Lai_500m,0.1000,0.4000,550.6143,0.3000,0.1034,0.0004,0.0197,5329,5324,99.91
A2016045,2016-02-14,MCD15A3H,Lai_500m,0.1000,0.2000,535.7164,0.1000,0.1006,0.0001,0.0078,5329,5324,99.91
A2016057,2016-02-26,MCD15A3H,Lai_500m,0.1000,1.0000,689.2073,0.9000,0.1295,0.0027,0.0517,5329,5324,99.91
A2016061,2016-03-01,MCD15A3H,Lai_500m,0.1000,0.7000,1032.0297,0.6000,0.1938,0.0020,0.0448,5329,5324,99.91
A2016065,2016-03-05,MCD15A3H,Lai_500m,0.1000,0.5000,1014.8386,0.4000,0.1906,0.0015,0.0391,5329,5324,99.91
A2016069,2016-03-09,MCD15A3H,Lai_500m,0.1000,0.7000,1129.4137,0.6000,0.2121,0.0017,0.0406,5329,5324,99.91
A2016073,2016-03-13,MCD15A3H,Lai_500m,0.1000,0.9000,1124.3152,0.8000,0.2112,0.0024,0.0490,5329,5324,99.91
A2016077,2016-03-17,MCD15A3H,Lai_500m,0.1000,0.9000,1136.1123,0.8000,0.2134,0.0025,0.0503,5329,5324,99.91
A2016081,2016-03-21,MCD15A3H,Lai_500m,0.1000,0.5000,931.8070,0.4000,0.1750,0.0027,0.0520,5329,5324,99.91
A2016085,2016-03-25,MCD15A3H,Lai_500m,0.1000,1.0000,841.0251,0.9000,0.1685,0.0050,0.0706,5329,4991,93.66
A2016089,2016-03-29,MCD15A3H,Lai_500m,0.1000,1.4000,1029.8270,1.3000,0.1934,0.0044,0.0661,5329,5324,99.91
A2016093,2016-04-02,MCD15A3H,Lai_500m,0.1000,1.6000,1181.7091,1.5000,0.2220,0.0056,0.0750,5329,5324,99.91
A2016097,2016-04-06,MCD15A3H,Lai_500m,0.1000,1.7000,1249.2998,1.6000,0.2347,0.0058,0.0759,5329,5324,99.91
A2016101,2016-04-10,MCD15A3H,Lai_500m,0.1000,1.7000,1339.9155,1.6000,0.2660,0.0141,0.1189,5329,5037,94.52
A2016105,2016-04-14,MCD15A3H,Lai_500m,0.1000,1.3000,1530.2277,1.2000,0.2874,0.0091,0.0954,5329,5324,99.91
A2016109,2016-04-18,MCD15A3H,Lai_500m,0.2000,1.7000,1662.1361,1.5000,0.3122,0.0117,0.1081,5329,5324,99.91
A2016113,2016-04-22,MCD15A3H,Lai_500m,0.1000,2.8000,1846.8433,2.7000,0.3469,0.0182,0.1348,5329,5324,99.91
A2016117,2016-04-26,MCD15A3H,Lai_500m,0.1000,4.8000,2015.9554,4.7000,0.3787,0.0201,0.1417,5329,5324,99.91
A2016121,2016-04-30,MCD15A3H,Lai_500m,0.2000,4.0000,2252.2271,3.8000,0.4230,0.0187,0.1366,5329,5324,99.91
A2016125,2016-05-04,MCD15A3H,Lai_500m,0.2000,1.2000,2108.2493,1.0000,0.3960,0.0128,0.1131,5329,5324,99.91
