date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.3000,6.9000,8859.5176,6.6000,1.8538,2.8291,1.6820,5329,4779,89.68
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.3000,6.9000,8138.5840,6.6000,1.7044,2.0543,1.4333,5329,4775,89.60
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,6.9000,6587.1719,6.8000,1.4674,1.7535,1.3242,5329,4489,84.24
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.3000,6.9000,9370.1641,6.6000,1.9640,3.0718,1.7526,5329,4771,89.53
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,6.7000,7672.1206,6.6000,1.6686,2.6964,1.6421,5329,4598,86.28
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.3000,6.9000,9913.1562,6.6000,2.0743,3.2680,1.8078,5329,4779,89.68
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.3000,6.6000,10883.5371,6.3000,2.2774,3.3205,1.8222,5329,4779,89.68
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.3000,6.9000,9977.7715,6.6000,2.0883,3.7862,1.9458,5329,4778,89.66
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,6.5000,6493.5806,6.4000,1.4031,1.4756,1.2147,5329,4628,86.85
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.4000,6.9000,11508.3447,6.5000,2.4081,3.9830,1.9957,5329,4779,89.68
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.3000,6.7000,11154.7148,6.4000,2.3341,3.6530,1.9113,5329,4779,89.68
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.4000,6.7000,11431.1279,6.3000,2.3919,3.8486,1.9618,5329,4779,89.68
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.3000,6.9000,9851.0342,6.6000,2.0783,3.0264,1.7396,5329,4740,88.95
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,6.6000,4258.3110,6.5000,1.0830,1.3468,1.1605,5329,3932,73.78
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.2000,6.9000,10512.5371,6.7000,2.2071,3.5105,1.8736,5329,4763,89.38
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,6.8000,10595.5303,6.7000,2.2669,3.5992,1.8972,5329,4674,87.71
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,6.9000,9479.5205,6.8000,2.0417,3.5999,1.8973,5329,4643,87.13
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,6.8000,10748.5049,6.7000,2.2937,2.9529,1.7184,5329,4686,87.93
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.5000,6.8000,13599.5615,6.3000,2.8457,4.0677,2.0168,5329,4779,89.68
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.5000,6.9000,13692.5059,6.4000,2.8736,3.9623,1.9905,5329,4765,89.42
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,6.6000,13273.2246,6.5000,2.8097,4.1707,2.0422,5329,4724,88.65
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.5000,6.8000,14040.7832,6.3000,2.9380,4.1512,2.0374,5329,4779,89.68
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,6.8000,13130.8447,6.7000,2.7661,4.0833,2.0207,5329,4747,89.08
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,6.8000,11103.8223,6.7000,2.4045,3.6325,1.9059,5329,4618,86.66
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,6.7000,10610.2188,6.6000,2.3335,3.5561,1.8858,5329,4547,85.33
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.3000,6.8000,12685.6328,6.5000,2.7211,3.3286,1.8244,5329,4662,87.48
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,6.7000,12627.9023,6.6000,2.7023,3.6628,1.9138,5329,4673,87.69
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.5000,6.9000,14234.9561,6.4000,2.9899,3.6178,1.9020,5329,4761,89.34
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.6000,7906.9141,6.5000,1.8257,1.3974,1.1821,5329,4331,81.27
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,6.8000,10992.1143,6.7000,2.3508,2.6304,1.6218,5329,4676,87.75
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.3000,6.7000,13075.1338,6.4000,2.7649,3.6063,1.8990,5329,4729,88.74
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.7000,14561.6084,6.6000,3.0617,4.1418,2.0352,5329,4756,89.25
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,6.7000,10217.3125,6.6000,2.2328,2.6076,1.6148,5329,4576,85.87
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.8000,11486.1025,6.7000,2.5019,3.2674,1.8076,5329,4591,86.15
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,6.8000,14423.6885,6.7000,3.0346,3.7625,1.9397,5329,4753,89.19
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.7000,10002.8018,6.6000,2.2303,2.6261,1.6205,5329,4485,84.16
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.7000,9679.2832,6.6000,2.1134,2.5605,1.6002,5329,4580,85.94
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,6.8000,5974.4985,6.7000,1.6413,2.7158,1.6480,5329,3640,68.31
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,6.8000,12371.8105,6.7000,2.6267,3.6271,1.9045,5329,4710,88.38
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.7000,7927.2373,6.6000,1.9264,2.5646,1.6014,5329,4115,77.22
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,6.7000,8840.7119,6.6000,2.0254,2.7843,1.6686,5329,4365,81.91
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.1000,6.6000,13341.0234,6.5000,2.8169,3.5679,1.8889,5329,4736,88.87
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.1000,6.7000,13573.9844,6.6000,2.8746,4.0266,2.0067,5329,4722,88.61
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.3000,6.7000,13587.2715,6.4000,2.8605,3.3242,1.8232,5329,4750,89.13
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,6.7000,9506.7041,6.6000,2.1814,3.1814,1.7837,5329,4358,81.78
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,6.7000,7446.7046,6.6000,1.6936,2.3278,1.5257,5329,4397,82.51
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.1000,6.7000,12867.0186,6.6000,2.7100,3.7914,1.9472,5329,4748,89.10
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.1000,6.7000,11464.1475,6.6000,2.4628,2.7763,1.6662,5329,4655,87.35
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.1000,6.7000,13126.8926,6.6000,2.8630,4.3320,2.0813,5329,4585,86.04
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.1000,6.6000,13050.6357,6.5000,2.7406,3.5416,1.8819,5329,4762,89.36
