date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.3000,2.9000,4645.8560,2.6000,0.8749,0.1940,0.4405,5329,5310,99.64
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.8000,4127.2788,2.7000,0.7774,0.1315,0.3627,5329,5309,99.62
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.9000,3077.9094,1.8000,0.5944,0.0651,0.2550,5329,5178,97.17
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.2000,2.9000,4806.8535,2.7000,0.9052,0.2001,0.4473,5329,5310,99.64
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.3000,2.9000,4480.4673,2.6000,0.8438,0.1797,0.4240,5329,5310,99.64
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.9000,4343.0884,2.8000,0.8182,0.1952,0.4418,5329,5308,99.61
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,3.1000,3569.2009,3.0000,0.6725,0.1193,0.3454,5329,5307,99.59
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.3000,3.2000,4739.4575,2.9000,0.8926,0.1771,0.4209,5329,5310,99.64
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.2000,2.8000,4475.4585,2.6000,0.8428,0.1892,0.4350,5329,5310,99.64
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.3000,3.4000,5985.0337,3.1000,1.1271,0.1788,0.4229,5329,5310,99.64
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.3000,3.9000,5154.8550,3.6000,0.9708,0.3025,0.5500,5329,5310,99.64
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.2000,4.7000,3574.5410,4.5000,0.6732,0.1890,0.4348,5329,5310,99.64
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.1000,15.9000,1.0000,0.2373,0.0298,0.1726,5329,67,1.26
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.2000,4.1000,6149.9019,3.9000,1.1582,0.2672,0.5169,5329,5310,99.64
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.3000,4.1000,5918.3145,3.8000,1.1188,0.2503,0.5003,5329,5290,99.27
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.3000,3.4000,6345.3076,3.1000,1.1950,0.1842,0.4292,5329,5310,99.64
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,4.0000,3249.9958,3.9000,0.7595,0.1835,0.4284,5329,4279,80.30
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.3000,4.6000,7147.9292,4.3000,1.3461,0.3278,0.5726,5329,5310,99.64
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.4000,4.7000,7106.1118,4.3000,1.3383,0.2772,0.5265,5329,5310,99.64
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,5.9000,4447.6045,5.8000,0.8594,0.2250,0.4743,5329,5175,97.11
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.3000,5.2000,8055.9346,4.9000,1.5171,0.4118,0.6417,5329,5310,99.64
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.5000,6.2000,9065.2139,5.7000,1.7072,0.3338,0.5777,5329,5310,99.64
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.7000,6.5000,9183.2852,5.8000,1.7298,0.4748,0.6891,5329,5309,99.62
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,6.4000,8841.9160,6.3000,1.6932,0.6624,0.8139,5329,5222,97.99
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.4000,6.2000,9773.4072,5.8000,1.8406,0.4401,0.6634,5329,5310,99.64
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,3.4000,19.0000,3.3000,0.5429,0.5756,0.7587,5329,35,0.66
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.9000,6.8000,17072.2793,5.9000,3.2157,1.1713,1.0823,5329,5309,99.62
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.7000,6.8000,19234.8418,6.1000,3.6292,1.5054,1.2269,5329,5300,99.46
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.3000,6.8000,15442.5010,6.5000,3.1515,2.6954,1.6418,5329,4900,91.95
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.6000,6.8000,22463.6172,6.2000,4.2634,1.6560,1.2869,5329,5269,98.87
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.6000,6.9000,21544.4492,6.3000,4.1432,1.8202,1.3491,5329,5200,97.58
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,6.9000,19150.6719,6.7000,3.7847,2.5432,1.5947,5329,5060,94.95
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.6000,6.9000,18599.9707,6.3000,3.7334,1.8753,1.3694,5329,4982,93.49
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.9000,20123.3574,6.8000,3.8938,2.1795,1.4763,5329,5168,96.98
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.5000,6.9000,18498.0312,6.4000,3.6221,2.5175,1.5867,5329,5107,95.83
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.6000,1426.9015,6.5000,1.1280,1.5442,1.2426,5329,1265,23.74
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.9000,12522.4873,6.8000,2.6089,2.0396,1.4282,5329,4800,90.07
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,6.9000,13218.9033,6.8000,2.8030,2.7340,1.6535,5329,4716,88.50
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,6.9000,13344.5049,6.8000,2.9073,3.5265,1.8779,5329,4590,86.13
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.9000,14177.4844,6.8000,3.0915,3.1830,1.7841,5329,4586,86.06
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.7000,6.9000,21133.8613,6.2000,4.0807,2.1947,1.4814,5329,5179,97.19
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.5000,6.8000,18809.9277,6.3000,3.6853,2.3884,1.5454,5329,5104,95.78
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.9000,6.9000,20505.7051,6.0000,3.8792,1.9648,1.4017,5329,5286,99.19
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,6.9000,20831.1055,6.8000,4.1855,1.8806,1.3713,5329,4977,93.39
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,6.8000,8537.4326,6.7000,2.0013,2.0899,1.4456,5329,4266,80.05
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,6.8000,15585.3994,6.7000,3.0856,2.0926,1.4466,5329,5051,94.78
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.9000,6.9000,20411.6172,6.0000,3.8440,1.5644,1.2508,5329,5310,99.64
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,6.9000,11498.7256,6.7000,2.7005,3.2039,1.7900,5329,4258,79.90
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.7000,6.9000,18393.7734,6.2000,3.5156,2.5999,1.6124,5329,5232,98.18
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.1000,6.9000,20023.8691,6.8000,3.9094,1.8837,1.3725,5329,5122,96.12
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.1000,6.9000,19212.5977,6.8000,3.8448,2.0276,1.4240,5329,4997,93.77
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.1000,6.9000,20148.4570,6.8000,4.0745,1.9958,1.4127,5329,4945,92.79
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.3000,6.9000,18525.4473,6.6000,3.5833,2.1344,1.4609,5329,5170,97.02
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.1000,6.8000,9596.6094,6.7000,2.0549,1.8808,1.3714,5329,4670,87.63
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.1000,6.9000,14560.5977,6.8000,2.9309,2.8318,1.6828,5329,4968,93.23
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.2000,6.9000,19279.3125,6.7000,3.8651,1.5803,1.2571,5329,4988,93.60
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,6.8000,5704.8184,6.7000,1.6360,2.1798,1.4764,5329,3487,65.43
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.1000,6.8000,15803.8877,6.7000,3.1025,1.4794,1.2163,5329,5094,95.59
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.2000,6.9000,19297.1367,6.7000,3.7217,1.5292,1.2366,5329,5185,97.30
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.1000,6.8000,11422.3086,6.7000,2.5767,2.4809,1.5751,5329,4433,83.19
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.3000,6.8000,14966.3037,6.5000,2.8688,1.4679,1.2116,5329,5217,97.90
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.1000,6.9000,11694.0957,6.8000,2.3749,1.8890,1.3744,5329,4924,92.40
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.1000,6.6000,12364.5215,6.5000,2.4330,0.7984,0.8935,5329,5082,95.36
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.9000,6.9000,19661.5879,6.0000,3.7055,0.9885,0.9943,5329,5306,99.57
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.7000,6.8000,14926.4072,6.1000,2.8286,1.2469,1.1166,5329,5277,99.02
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.1000,6.8000,5475.1045,6.7000,1.6621,1.5348,1.2389,5329,3294,61.81
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.1000,0.7000,76.7999,0.6000,0.2518,0.0191,0.1382,5329,305,5.72
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,6.9000,8177.7104,6.8000,1.9960,0.9771,0.9885,5329,4097,76.88
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.6000,6.1000,12778.4688,5.5000,2.4215,0.6159,0.7848,5329,5277,99.02
