date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.1000,0.7000,0.0000,0.1000,0.0000,0.0000,5329,7,0.13
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,66.4996,0.0000,0.1000,0.0000,0.0000,5329,665,12.48
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.3000,391.3141,0.2000,0.1023,0.0003,0.0161,5329,3824,71.76
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.6000,935.3943,0.5000,0.1870,0.0071,0.0845,5329,5001,93.84
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.8000,773.0891,0.7000,0.1541,0.0062,0.0790,5329,5017,94.15
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.7000,896.1847,0.6000,0.1784,0.0083,0.0912,5329,5023,94.26
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,688.0918,0.4000,0.1372,0.0047,0.0684,5329,5016,94.13
A2015033,2015-02-02,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.1000,0.9000,0.0000,0.1000,0.0000,0.0000,5329,9,0.17
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.1000,28.4001,0.0000,0.1000,0.0000,0.0000,5329,284,5.33
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.2000,37.5000,0.1000,0.1005,0.0001,0.0073,5329,373,7.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.5000,97.6992,0.4000,0.1084,0.0014,0.0379,5329,901,16.91
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.4000,112.3989,0.3000,0.1058,0.0008,0.0279,5329,1062,19.93
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.3000,9.6000,0.2000,0.1116,0.0020,0.0442,5329,86,1.61
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.1000,301.6050,1.0000,0.1296,0.0083,0.0912,5329,2327,43.67
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.6000,1135.3052,0.5000,0.2262,0.0052,0.0723,5329,5019,94.18
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.7000,1222.0973,0.6000,0.2433,0.0057,0.0753,5329,5022,94.24
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.6000,1195.6060,0.5000,0.2376,0.0056,0.0748,5329,5031,94.41
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.7000,1247.8053,0.6000,0.2480,0.0059,0.0768,5329,5031,94.41
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.0000,1138.4982,0.9000,0.2265,0.0071,0.0845,5329,5027,94.33
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.7000,1483.7146,1.6000,0.2949,0.0104,0.1019,5329,5031,94.41
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.1000,1649.0306,1.0000,0.3278,0.0145,0.1205,5329,5031,94.41
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.8000,1745.7279,1.7000,0.3470,0.0221,0.1488,5329,5031,94.41
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.6000,2105.4248,1.5000,0.4190,0.0376,0.1940,5329,5025,94.30
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.9000,2164.6274,1.8000,0.4303,0.0376,0.1938,5329,5031,94.41
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,5.8000,2706.0979,5.7000,0.5379,0.0816,0.2856,5329,5031,94.41
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,1.7000,2920.2957,1.6000,0.5805,0.0546,0.2338,5329,5031,94.41
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,2.7000,3386.8000,2.6000,0.6740,0.1088,0.3299,5329,5025,94.30
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,2.5000,3644.0769,2.4000,0.7243,0.1089,0.3300,5329,5031,94.41
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,2.0000,3539.1851,1.9000,0.7035,0.1045,0.3233,5329,5031,94.41
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,2.1000,1428.2002,2.0000,0.3335,0.0443,0.2106,5329,4282,80.35
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,6.3000,4716.0894,6.1000,0.9374,0.2477,0.4976,5329,5031,94.41
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,3.9000,4076.6768,3.8000,0.8135,0.1397,0.3738,5329,5011,94.03
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.2000,6.3000,4236.2900,6.1000,0.8434,0.2891,0.5376,5329,5023,94.26
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,5.7000,4980.3853,5.5000,0.9899,0.3458,0.5880,5329,5031,94.41
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.2000,5908.0171,6.1000,1.1746,0.5110,0.7148,5329,5030,94.39
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.4000,5932.6108,6.3000,1.1797,0.4845,0.6961,5329,5029,94.37
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,1.2000,693.5012,1.1000,0.2810,0.0145,0.1202,5329,2468,46.31
