date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.1000,0.9000,0.0000,0.1000,0.0000,0.0000,5329,9,0.17
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,0.5000,0.0000,0.1000,0.0000,0.0000,5329,5,0.09
A2015013,2015-01-13,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.5000,496.1207,0.4000,0.1010,0.0003,0.0162,5329,4910,92.14
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.8000,372.5124,0.7000,0.1049,0.0011,0.0326,5329,3550,66.62
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.6000,11.9000,0.5000,0.1123,0.0037,0.0610,5329,106,1.99
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.2000,334.2112,0.1000,0.1005,0.0001,0.0073,5329,3324,62.38
A2015033,2015-02-02,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015037,2015-02-06,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015041,2015-02-10,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015045,2015-02-14,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015053,2015-02-22,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015057,2015-02-26,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015061,2015-03-02,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.1000,7.5000,0.0000,0.1000,0.0000,0.0000,5329,75,1.41
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.3000,585.3111,0.2000,0.1105,0.0010,0.0313,5329,5299,99.44
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.7000,685.9977,0.6000,0.1294,0.0036,0.0603,5329,5301,99.47
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.9000,1010.2186,0.8000,0.1905,0.0062,0.0785,5329,5302,99.49
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.5000,575.3131,0.4000,0.1163,0.0020,0.0446,5329,4946,92.81
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,0.7000,1070.9166,0.6000,0.2021,0.0053,0.0726,5329,5298,99.42
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,0.9000,1096.6167,0.8000,0.2068,0.0044,0.0661,5329,5302,99.49
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,0.9000,1297.3069,0.8000,0.2447,0.0060,0.0775,5329,5302,99.49
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.0000,939.7776,0.9000,0.1780,0.0107,0.1032,5329,5281,99.10
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.5000,1489.9165,1.4000,0.2810,0.0146,0.1209,5329,5302,99.49
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.4000,1396.1039,1.3000,0.2633,0.0117,0.1084,5329,5302,99.49
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,1.6000,1027.5887,1.5000,0.2212,0.0254,0.1595,5329,4646,87.18
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,2.0000,1875.0363,1.9000,0.3536,0.0308,0.1755,5329,5302,99.49
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,2.0000,2130.3486,1.8000,0.4018,0.0398,0.1995,5329,5302,99.49
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,2.0000,1961.8372,1.9000,0.3700,0.0382,0.1956,5329,5302,99.49
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,1.7000,1826.2025,1.6000,0.3444,0.0482,0.2195,5329,5302,99.49
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,2.5000,1081.2902,2.4000,0.2621,0.0340,0.1843,5329,4126,77.43
