date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.0000,2130.2310,0.9000,0.4091,0.0206,0.1434,5329,5207,97.71
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.9000,2179.9431,0.8000,0.4141,0.0191,0.1383,5329,5264,98.78
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.4000,2257.9565,1.3000,0.4289,0.0207,0.1440,5329,5264,98.78
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.9000,2281.0576,0.8000,0.4333,0.0191,0.1382,5329,5264,98.78
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.5000,1515.7959,1.4000,0.3090,0.0233,0.1525,5329,4905,92.04
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.6000,1824.7240,0.5000,0.3466,0.0170,0.1303,5329,5264,98.78
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.8000,1949.0276,0.7000,0.3712,0.0194,0.1394,5329,5251,98.54
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.9000,2129.2271,0.8000,0.4045,0.0193,0.1388,5329,5264,98.78
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.7000,2059.0339,0.6000,0.3912,0.0190,0.1377,5329,5263,98.76
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.8000,2125.3513,0.7000,0.4038,0.0162,0.1271,5329,5264,98.78
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.8000,1594.8004,0.7000,0.3521,0.0195,0.1396,5329,4529,84.99
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.4000,73.0999,4.3000,0.4275,0.2826,0.5316,5329,171,3.21
