date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.9000,616.0967,0.8000,0.1184,0.0022,0.0474,5329,5205,97.67
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.5000,768.1870,0.4000,0.1442,0.0035,0.0591,5329,5329,100.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.5000,1058.3090,0.4000,0.1986,0.0035,0.0595,5329,5329,100.00
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.5000,1055.2101,0.4000,0.1980,0.0035,0.0592,5329,5329,100.00
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.5000,1082.3152,0.4000,0.2031,0.0029,0.0536,5329,5329,100.00
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,998.3939,0.4000,0.1874,0.0046,0.0681,5329,5329,100.00
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,1036.3124,0.4000,0.1945,0.0033,0.0572,5329,5329,100.00
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.5000,871.8856,0.4000,0.1636,0.0040,0.0636,5329,5329,100.00
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,1102.1079,0.4000,0.2068,0.0028,0.0526,5329,5329,100.00
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.5000,958.9892,0.4000,0.1800,0.0044,0.0663,5329,5329,100.00
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.6000,1121.0096,0.5000,0.2104,0.0032,0.0562,5329,5329,100.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.6000,1146.2117,0.5000,0.2151,0.0029,0.0541,5329,5329,100.00
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.3000,136.8993,0.2000,0.1051,0.0005,0.0231,5329,1302,24.43
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.3000,370.9125,0.2000,0.1069,0.0007,0.0266,5329,3471,65.13
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.5000,1146.9142,0.4000,0.2152,0.0017,0.0416,5329,5329,100.00
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.2000,0.5000,1186.8029,0.3000,0.2227,0.0022,0.0472,5329,5329,100.00
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.2000,0.6000,1274.5923,0.4000,0.2392,0.0049,0.0700,5329,5329,100.00
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.7000,1249.0918,0.6000,0.2344,0.0048,0.0691,5329,5329,100.00
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.9000,1439.6635,0.8000,0.2702,0.0127,0.1127,5329,5329,100.00
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.9000,1410.7616,0.8000,0.2647,0.0121,0.1100,5329,5329,100.00
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,1.2000,1542.1558,1.0000,0.2894,0.0186,0.1365,5329,5329,100.00
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,1.4000,1669.3506,1.2000,0.3133,0.0265,0.1627,5329,5329,100.00
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,1.6000,1980.4307,1.4000,0.3716,0.0302,0.1739,5329,5329,100.00
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,1.5000,1853.5134,1.3000,0.3478,0.0311,0.1763,5329,5329,100.00
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,1.3000,2009.5490,1.1000,0.3771,0.0224,0.1498,5329,5329,100.00
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,2.1000,2446.0271,1.9000,0.4590,0.0533,0.2308,5329,5329,100.00
