date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.0000,2276.8345,0.9000,0.4310,0.0228,0.1509,5329,5283,99.14
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.1000,2623.9077,1.0000,0.4965,0.0213,0.1459,5329,5285,99.17
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.2000,2548.5115,1.1000,0.4822,0.0219,0.1481,5329,5285,99.17
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.2000,1.1000,2704.7935,0.9000,0.5118,0.0224,0.1497,5329,5285,99.17
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.0000,2225.0154,0.9000,0.4215,0.0209,0.1445,5329,5279,99.06
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.9000,2060.0588,0.8000,0.3908,0.0129,0.1137,5329,5271,98.91
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.7000,1921.6483,1.6000,0.3766,0.0237,0.1540,5329,5102,95.74
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.2000,1.2000,2735.9976,1.0000,0.5177,0.0246,0.1570,5329,5285,99.17
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.2000,1.1000,2606.3118,0.9000,0.4932,0.0220,0.1483,5329,5285,99.17
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.2000,1.7000,2592.4038,1.5000,0.4905,0.0248,0.1574,5329,5285,99.17
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.2000,2045.1820,1.1000,0.4299,0.0307,0.1753,5329,4757,89.27
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.4000,251.3002,1.3000,0.4034,0.0603,0.2455,5329,623,11.69
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.7000,174.6002,0.6000,0.3140,0.0240,0.1551,5329,556,10.43
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.7000,551.9975,0.6000,0.3112,0.0357,0.1888,5329,1774,33.29
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.8000,662.3014,0.7000,0.2625,0.0205,0.1432,5329,2523,47.34
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.6000,376.1050,1.5000,0.2249,0.0224,0.1495,5329,1672,31.38
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.8000,2736.7205,1.7000,0.5640,0.0434,0.2082,5329,4852,91.05
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.5000,3527.7932,1.4000,0.6675,0.0251,0.1584,5329,5285,99.17
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.1000,2551.0156,1.0000,0.5181,0.0335,0.1829,5329,4924,92.40
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.3000,4185.2495,4.2000,0.7933,0.0418,0.2045,5329,5276,99.01
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,1.9000,4475.3359,1.7000,0.8468,0.0319,0.1787,5329,5285,99.17
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.3000,5.3000,4593.0278,5.0000,0.8691,0.0504,0.2245,5329,5285,99.17
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,3.0000,4520.5112,2.8000,0.8553,0.0579,0.2406,5329,5285,99.17
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.9000,2664.1907,1.8000,0.8095,0.1004,0.3168,5329,3291,61.76
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,4.7000,6386.7861,4.5000,1.2085,0.0917,0.3028,5329,5285,99.17
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,4.8000,6442.5137,4.6000,1.2318,0.1694,0.4116,5329,5230,98.14
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.5000,5.1000,6510.7222,4.6000,1.3930,0.2638,0.5136,5329,4674,87.71
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.5000,6.0000,10579.4072,5.5000,2.0018,0.5750,0.7583,5329,5285,99.17
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.5000,6.7000,14563.3047,6.2000,2.7561,1.7935,1.3392,5329,5284,99.16
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.5000,6.8000,14233.4150,6.3000,2.7849,2.0393,1.4280,5329,5111,95.91
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.2000,6.8000,14184.2539,6.6000,3.0762,2.7624,1.6621,5329,4611,86.53
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,6.8000,6033.7222,6.6000,2.0106,2.6523,1.6286,5329,3001,56.31
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.3000,6.9000,17201.1582,6.6000,3.6559,2.8342,1.6835,5329,4705,88.29
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.3000,6.8000,8252.6279,6.5000,2.8350,3.3333,1.8257,5329,2911,54.63
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.5000,6.9000,18427.0098,6.4000,3.9198,3.0009,1.7323,5329,4701,88.22
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.8000,562.7004,6.7000,0.8820,0.9024,0.9500,5329,638,11.97
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.8000,4638.8169,6.7000,2.0355,2.3144,1.5213,5329,2279,42.77
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.3000,6.9000,7117.2100,6.6000,2.6636,2.9881,1.7286,5329,2672,50.14
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.6000,6.9000,15318.3047,6.3000,3.5517,3.0059,1.7337,5329,4313,80.93
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,6.8000,12180.4111,6.6000,3.0068,2.8795,1.6969,5329,4051,76.02
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,6.8000,8251.6094,6.7000,2.4464,3.0078,1.7343,5329,3373,63.30
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.3000,6.8000,6360.9219,6.5000,2.0440,2.0977,1.4484,5329,3112,58.40
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.3000,6.6000,2068.3892,6.3000,1.1686,0.6316,0.7947,5329,1770,33.21
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.5000,6.9000,17856.9023,6.4000,3.6031,2.7171,1.6484,5329,4956,93.00
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,6.8000,11302.0342,6.7000,2.8965,2.4981,1.5805,5329,3902,73.22
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.2000,6.8000,2152.0989,6.6000,2.3598,3.1298,1.7691,5329,912,17.11
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.2000,6.8000,6856.5098,6.6000,2.5134,2.9889,1.7288,5329,2728,51.19
