date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.4000,2077.3469,2.3000,0.4355,0.0830,0.2881,5329,4770,89.51
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.6000,330.1069,0.5000,0.1169,0.0035,0.0588,5329,2824,52.99
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.4000,1464.1145,1.3000,0.3077,0.0305,0.1746,5329,4758,89.29
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.5000,2075.1555,2.4000,0.4350,0.0875,0.2957,5329,4770,89.51
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.4000,1974.1479,2.3000,0.4140,0.0764,0.2764,5329,4769,89.49
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.5000,2339.3577,2.4000,0.4909,0.0923,0.3038,5329,4765,89.42
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.2000,2206.2402,2.1000,0.4625,0.0740,0.2721,5329,4770,89.51
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.5000,2357.2490,2.4000,0.4942,0.1117,0.3342,5329,4770,89.51
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.7000,2588.1296,2.6000,0.5426,0.0910,0.3017,5329,4770,89.51
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.8000,2855.6521,2.7000,0.5987,0.1082,0.3289,5329,4770,89.51
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.5000,2049.2100,2.4000,0.4328,0.0716,0.2676,5329,4735,88.85
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.9000,2085.8289,1.8000,0.4373,0.0415,0.2037,5329,4770,89.51
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,3.6000,2601.8074,3.5000,0.5577,0.1079,0.3285,5329,4665,87.54
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.7000,2277.2498,2.6000,0.4774,0.0560,0.2366,5329,4770,89.51
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.9000,869.6880,2.8000,0.2133,0.0344,0.1856,5329,4078,76.52
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.7000,2973.4146,2.6000,0.6234,0.0786,0.2803,5329,4770,89.51
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.4000,620.1973,2.3000,0.2326,0.0422,0.2054,5329,2666,50.03
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,4.1000,2860.0259,4.0000,0.5996,0.0998,0.3160,5329,4770,89.51
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,6.6000,1195.8906,6.5000,0.3237,0.1059,0.3255,5329,3695,69.34
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.7000,3692.4265,4.6000,0.7769,0.2384,0.4883,5329,4753,89.19
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,6.6000,5553.4126,6.5000,1.1642,1.0042,1.0021,5329,4770,89.51
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,6.6000,5346.7969,6.5000,1.1275,1.0178,1.0088,5329,4742,88.98
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,6.6000,3040.7214,6.5000,0.6960,0.4440,0.6663,5329,4369,81.99
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,5.9000,3122.9060,5.8000,0.7000,0.2706,0.5202,5329,4461,83.71
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,6.6000,4053.2913,6.5000,0.9187,0.6553,0.8095,5329,4412,82.79
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,6.8000,3156.5852,6.7000,0.8131,0.4051,0.6365,5329,3882,72.85
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.3000,6.8000,7307.8003,6.5000,1.5359,1.7834,1.3355,5329,4758,89.29
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,6.6000,2892.7939,6.5000,0.6840,0.3214,0.5669,5329,4229,79.36
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,6.7000,6495.7432,6.5000,1.3721,1.3384,1.1569,5329,4734,88.83
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,6.9000,6747.0654,6.8000,1.4337,1.4897,1.2206,5329,4706,88.31
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,6.8000,4268.1055,6.7000,0.9930,0.9780,0.9890,5329,4298,80.65
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.6000,3652.7976,6.5000,0.8168,0.6226,0.7890,5329,4472,83.92
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,6.7000,4602.9902,6.6000,1.0044,0.6993,0.8363,5329,4583,86.00
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.6000,3979.8843,6.5000,1.0265,0.7651,0.8747,5329,3877,72.75
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,6.6000,2038.0988,6.5000,0.5198,0.3459,0.5881,5329,3921,73.58
