date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,5.8000,6143.5293,5.7000,1.1885,0.6537,0.8085,5329,5169,97.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.9000,751.7919,2.8000,0.3071,0.0533,0.2310,5329,2448,45.94
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,3.1000,4722.0024,3.0000,0.9091,0.4223,0.6499,5329,5194,97.47
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,4.5000,5952.2173,4.4000,1.1601,0.5769,0.7596,5329,5131,96.28
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.9000,5282.4194,2.8000,1.0182,0.4142,0.6436,5329,5188,97.35
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,5.1000,6428.7266,5.0000,1.2459,0.6706,0.8189,5329,5160,96.83
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,3.3000,3413.8984,3.2000,0.7095,0.2689,0.5185,5329,4812,90.30
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,3.6000,6627.0977,3.5000,1.2713,0.6078,0.7796,5329,5213,97.82
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,3.3000,5968.7217,3.2000,1.1450,0.5262,0.7254,5329,5213,97.82
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,4.1000,6689.1079,4.0000,1.2832,0.7261,0.8521,5329,5213,97.82
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,5.4000,6265.3784,5.3000,1.2019,0.5021,0.7086,5329,5213,97.82
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.1000,6659.8789,4.0000,1.2780,0.6543,0.8089,5329,5211,97.79
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.2000,21.5000,1.1000,0.1405,0.0236,0.1536,5329,153,2.87
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,5.5000,6054.9277,5.4000,1.2820,1.4565,1.2068,5329,4723,88.63
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,4.1000,5637.7437,4.0000,1.1787,0.8047,0.8970,5329,4783,89.75
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,4.5000,6906.0703,4.4000,1.3555,1.0544,1.0269,5329,5095,95.61
A2015069,2015-03-10,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,3.6000,1401.4026,3.5000,0.3913,0.0406,0.2014,5329,3581,67.20
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.3000,1.2000,0.2000,0.2400,0.0064,0.0800,5329,5,0.09
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.9000,8329.9854,4.8000,1.6777,1.3054,1.1425,5329,4965,93.17
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,6.2000,6507.0020,6.1000,1.2807,1.0260,1.0129,5329,5081,95.35
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,6.7000,6407.8154,6.6000,1.2724,0.9044,0.9510,5329,5036,94.50
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,6.2000,8665.0088,6.1000,1.9187,1.9603,1.4001,5329,4516,84.74
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,5.4000,1364.9894,5.3000,0.7351,0.6729,0.8203,5329,1857,34.85
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,6.6000,10713.5342,6.5000,2.4135,3.3136,1.8203,5329,4439,83.30
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,6.8000,10715.5391,6.7000,2.5513,3.7093,1.9260,5329,4200,78.81
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,6.8000,17347.5156,6.7000,3.3580,3.4790,1.8652,5329,5166,96.94
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,6.8000,13644.5195,6.7000,2.9585,3.3255,1.8236,5329,4612,86.55
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.8000,18148.6660,6.7000,3.6067,3.2612,1.8059,5329,5032,94.43
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,6.8000,19960.2461,6.7000,3.9015,3.2890,1.8136,5329,5116,96.00
