date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.2000,262.5000,2.1000,0.6220,0.1770,0.4207,5329,422,7.92
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,3.5000,682.7999,3.4000,0.6316,0.1639,0.4048,5329,1081,20.29
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,5.5000,1152.6960,5.4000,0.6785,0.1446,0.3803,5329,1699,31.88
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,4.9000,723.0992,4.8000,0.5676,0.1762,0.4198,5329,1274,23.91
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,4.8000,1658.8854,4.7000,0.7014,0.3101,0.5568,5329,2365,44.38
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,3.5000,1443.7921,3.4000,0.6965,0.2100,0.4583,5329,2073,38.90
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,4.3000,399.8008,4.2000,0.5845,0.1151,0.3392,5329,684,12.84
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,5.0000,572.9982,4.9000,0.3792,0.1320,0.3633,5329,1511,28.35
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,6.7000,760.1987,6.6000,0.5777,0.2105,0.4588,5329,1316,24.70
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,4.7000,590.7010,4.6000,0.6933,0.2094,0.4576,5329,852,15.99
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,6.3000,638.3004,6.2000,0.5198,0.2108,0.4591,5329,1228,23.04
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,6.5000,63.7000,6.4000,0.8608,0.9262,0.9624,5329,74,1.39
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,4.6000,214.0005,4.5000,0.4155,0.3681,0.6067,5329,515,9.66
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,6.1000,835.8981,6.0000,0.7072,0.3063,0.5534,5329,1182,22.18
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,5.7000,644.0993,5.6000,0.6158,0.4709,0.6862,5329,1046,19.63
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,5.9000,276.3000,5.8000,0.7718,0.6146,0.7840,5329,358,6.72
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,5.5000,401.2007,5.4000,0.8324,0.3548,0.5957,5329,482,9.04
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.4000,116.3000,1.3000,0.6497,0.0994,0.3152,5329,179,3.36
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.7000,28.1000,1.6000,0.6244,0.1410,0.3754,5329,45,0.84
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.9000,153.4999,1.8000,0.6190,0.1044,0.3232,5329,248,4.65
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.5000,179.4001,1.4000,0.4600,0.1267,0.3559,5329,390,7.32
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,3.5000,373.2004,3.4000,0.5155,0.1029,0.3207,5329,724,13.59
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,2.3000,188.2999,2.2000,0.4942,0.1195,0.3458,5329,381,7.15
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.3000,212.2001,1.2000,0.6297,0.0857,0.2928,5329,337,6.32
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.6000,524.3037,1.5000,0.3170,0.0711,0.2667,5329,1654,31.04
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.6000,1342.6614,2.5000,0.3767,0.0981,0.3132,5329,3564,66.88
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,4.2000,2778.7295,4.1000,0.5441,0.1005,0.3169,5329,5107,95.83
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.9000,68.1999,1.8000,0.4400,0.1998,0.4470,5329,155,2.91
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,5.0000,762.7867,4.9000,0.3992,0.2197,0.4687,5329,1911,35.86
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,5.0000,5786.8965,4.9000,1.0908,0.3059,0.5531,5329,5305,99.55
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,5.4000,5996.6147,5.3000,1.1317,0.3178,0.5638,5329,5299,99.44
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,5.5000,1112.8064,5.4000,0.4648,0.1124,0.3352,5329,2394,44.92
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.2000,5.9000,6489.5171,5.7000,1.2233,0.3217,0.5672,5329,5305,99.55
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.6000,1381.5994,6.5000,0.6749,0.3661,0.6051,5329,2047,38.41
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,6.1000,6667.3198,5.9000,1.3205,0.3847,0.6202,5329,5049,94.75
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.2000,5.2000,7176.4131,5.0000,1.4250,0.5012,0.7080,5329,5036,94.50
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.2000,6.8000,13540.5908,6.6000,2.5543,2.0070,1.4167,5329,5301,99.47
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,6.8000,7005.6143,6.6000,1.9315,1.7737,1.3318,5329,3627,68.06
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.3000,6.8000,14926.5264,6.5000,2.8291,2.2029,1.4842,5329,5276,99.01
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.8000,9420.9209,6.7000,2.2911,2.3525,1.5338,5329,4112,77.16
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,6.8000,20284.7832,6.6000,3.9251,2.9445,1.7160,5329,5168,96.98
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.3000,6.9000,17110.7148,6.6000,3.5610,2.9440,1.7158,5329,4805,90.17
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.3000,6.8000,11146.1230,6.5000,2.9079,2.9890,1.7289,5329,3833,71.93
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.2000,6.8000,8763.7021,6.6000,2.4283,2.7527,1.6591,5329,3609,67.72
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,6.8000,4748.5039,6.7000,2.2220,3.4071,1.8458,5329,2137,40.10
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.3000,6.8000,16907.1699,6.5000,3.6867,3.1011,1.7610,5329,4586,86.06
