date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,4.0000,2311.9971,3.9000,0.8585,0.2166,0.4654,5329,2693,50.53
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,6.5000,2122.9951,6.4000,0.8329,0.3956,0.6289,5329,2549,47.83
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,4.7000,946.9978,4.6000,0.6343,0.0897,0.2995,5329,1493,28.02
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,4.9000,4268.1899,4.8000,0.9105,0.3046,0.5519,5329,4688,87.97
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,6.8000,4453.0879,6.7000,0.9320,0.4169,0.6457,5329,4778,89.66
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,4.9000,1510.6010,4.8000,0.6503,0.1390,0.3728,5329,2323,43.59
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,4.4000,1028.7986,4.3000,0.7587,0.1102,0.3319,5329,1356,25.45
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.5000,283.3004,2.4000,0.3951,0.0350,0.1871,5329,717,13.45
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.3000,0.7000,33.8000,0.4000,0.4899,0.0131,0.1144,5329,69,1.29
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.4000,262.2001,2.3000,0.7125,0.0465,0.2157,5329,368,6.91
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.5000,361.0004,2.4000,0.7134,0.0890,0.2983,5329,506,9.50
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,3.7000,284.8000,3.6000,0.4979,0.1405,0.3748,5329,572,10.73
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,3.0000,250.4005,2.9000,0.4968,0.0906,0.3010,5329,504,9.46
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,3.6000,511.8012,3.5000,0.7593,0.0826,0.2873,5329,674,12.65
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.4000,372.2007,3.3000,0.5379,0.1169,0.3419,5329,692,12.99
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,3.2000,407.1003,3.1000,0.5399,0.1151,0.3393,5329,754,14.15
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,3.0000,708.9991,2.9000,0.4781,0.1307,0.3615,5329,1483,27.83
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.5000,0.8000,16.1000,0.3000,0.6192,0.0062,0.0785,5329,26,0.49
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,5.1000,143.0999,5.0000,0.8418,0.2831,0.5321,5329,170,3.19
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.7000,591.5001,4.6000,0.7793,0.0940,0.3066,5329,759,14.24
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,3.2000,203.7001,3.1000,0.7380,0.2197,0.4687,5329,276,5.18
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,4.3000,802.1000,4.2000,0.6596,0.1130,0.3362,5329,1216,22.82
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.4000,515.5010,1.3000,0.5946,0.0779,0.2790,5329,867,16.27
