date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.4000,706.4975,1.3000,0.4713,0.0236,0.1537,5329,1499,28.13
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.2000,640.6981,2.1000,0.4326,0.0637,0.2524,5329,1481,27.79
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.9000,1005.8964,1.8000,0.4119,0.0241,0.1552,5329,2442,45.82
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,4.1000,921.2997,4.0000,0.5455,0.0831,0.2882,5329,1689,31.69
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,6.1000,1630.7108,6.0000,0.5742,0.1919,0.4381,5329,2840,53.29
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,4.3000,793.9967,4.2000,0.4590,0.1257,0.3546,5329,1730,32.46
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.9000,157.5000,1.8000,0.4730,0.0695,0.2637,5329,333,6.25
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,3.3000,922.0947,3.2000,0.4627,0.0603,0.2456,5329,1993,37.40
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,4.4000,382.7002,4.3000,0.4790,0.1231,0.3508,5329,799,14.99
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.8000,12.6000,0.7000,0.1938,0.0175,0.1323,5329,65,1.22
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,4.5000,156.0996,4.4000,0.2214,0.0458,0.2141,5329,705,13.23
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.1000,109.5999,4.0000,0.3570,0.1445,0.3801,5329,307,5.76
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.5000,683.7958,2.4000,0.4295,0.0436,0.2087,5329,1592,29.87
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,4.6000,453.4992,4.5000,0.5386,0.1501,0.3874,5329,842,15.80
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,4.8000,937.5917,4.7000,0.4516,0.1144,0.3382,5329,2076,38.96
