date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,4.4000,174.2001,4.3000,0.4238,0.2483,0.4983,5329,411,7.71
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,4.3000,145.0994,4.2000,0.1584,0.0273,0.1652,5329,916,17.19
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,4.6000,554.2999,4.5000,0.5537,0.2183,0.4672,5329,1001,18.78
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,4.1000,461.1004,4.0000,0.4309,0.1635,0.4044,5329,1070,20.08
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.1000,156.2998,1.0000,0.2115,0.0178,0.1333,5329,739,13.87
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,4.4000,494.6002,4.3000,0.3680,0.0931,0.3051,5329,1344,25.22
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.9000,131.7998,2.8000,0.3432,0.1117,0.3342,5329,384,7.21
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,4.2000,448.4026,4.1000,0.3290,0.0836,0.2891,5329,1363,25.58
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.3000,183.0994,1.2000,0.1816,0.0227,0.1506,5329,1008,18.92
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.6000,149.5001,2.5000,0.4141,0.0739,0.2718,5329,361,6.77
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,4.3000,205.3999,4.2000,0.3839,0.1258,0.3547,5329,535,10.04
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.4000,164.2001,4.3000,0.3938,0.1976,0.4445,5329,417,7.83
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,4.3000,90.9999,4.2000,0.3808,0.2863,0.5351,5329,239,4.48
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,4.1000,309.3010,4.0000,0.3391,0.1728,0.4157,5329,912,17.11
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.9000,117.7997,1.8000,0.3850,0.1240,0.3521,5329,306,5.74
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.0000,85.5999,0.9000,0.2073,0.0319,0.1786,5329,413,7.75
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.1000,224.1001,1.0000,0.3117,0.0413,0.2032,5329,719,13.49
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.2000,644.0014,1.1000,0.3206,0.0584,0.2417,5329,2009,37.70
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.6000,1180.1024,2.5000,0.4661,0.1079,0.3285,5329,2532,47.51
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.6000,1416.8993,2.5000,0.5048,0.1049,0.3240,5329,2807,52.67
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,4.2000,1448.5991,4.1000,0.6279,0.1071,0.3273,5329,2307,43.29
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.4000,1368.5995,1.3000,0.5202,0.0919,0.3031,5329,2631,49.37
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.4000,1254.7994,1.3000,0.3425,0.0351,0.1873,5329,3664,68.76
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.8000,942.7950,1.7000,0.3779,0.0614,0.2478,5329,2495,46.82
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,3.5000,3785.8579,3.3000,0.7193,0.0453,0.2128,5329,5263,98.76
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,2.7000,3981.8650,2.5000,0.7566,0.0436,0.2089,5329,5263,98.76
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,1.7000,3084.2727,1.6000,0.5888,0.0398,0.1995,5329,5238,98.29
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.3000,3.5000,4521.0068,3.2000,0.8590,0.0562,0.2370,5329,5263,98.76
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,3.0000,4159.3647,2.8000,0.7991,0.0594,0.2438,5329,5205,97.67
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,3.6000,4844.8726,3.5000,0.9206,0.0549,0.2343,5329,5263,98.76
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.2000,4.2000,4404.3926,4.0000,0.8468,0.0629,0.2508,5329,5201,97.60
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,5.3000,10.9000,5.2000,2.1800,6.4896,2.5475,5329,5,0.09
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.3000,6.6000,6134.4014,6.3000,1.1658,0.2295,0.4790,5329,5262,98.74
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.8000,9760.1367,6.7000,1.8548,1.5315,1.2376,5329,5262,98.74
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.3000,6.8000,11876.2119,6.5000,2.2565,1.9499,1.3964,5329,5263,98.76
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.8000,9902.7861,6.7000,2.2583,1.5416,1.2416,5329,4385,82.29
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.4000,6.8000,15079.5176,6.4000,2.9395,2.1398,1.4628,5329,5130,96.27
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.3000,6.8000,14865.2051,6.5000,2.8938,1.9456,1.3948,5329,5137,96.40
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.6000,6.8000,17680.1035,6.2000,3.3838,2.0571,1.4343,5329,5225,98.05
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,5.2000,1511.2999,5.1000,1.3119,0.7243,0.8510,5329,1152,21.62
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,6.9000,17291.7461,6.7000,3.7591,2.4966,1.5801,5329,4600,86.32
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.2000,6.8000,16339.5967,6.6000,3.4869,2.2311,1.4937,5329,4686,87.93
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,6.8000,9473.2959,6.6000,2.9931,2.4434,1.5631,5329,3165,59.39
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.3000,6.9000,18551.7500,6.6000,3.9939,2.2864,1.5121,5329,4645,87.16
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.8000,6.9000,21563.6523,6.1000,4.1477,1.6983,1.3032,5329,5199,97.56
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.2000,6.8000,10865.8037,6.6000,3.2689,2.7711,1.6647,5329,3324,62.38
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.2000,6.8000,17142.1094,6.6000,3.8264,3.0360,1.7424,5329,4480,84.07
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,6.9000,13620.8086,6.7000,3.9118,2.8791,1.6968,5329,3482,65.34
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.5000,6.9000,21861.1875,6.4000,4.3574,2.0417,1.4289,5329,5017,94.15
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.4000,6.8000,21122.2285,6.4000,4.2406,2.4134,1.5535,5329,4981,93.47
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.2000,6.9000,19707.4492,6.7000,4.2065,2.2305,1.4935,5329,4685,87.92
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.3000,6.8000,19026.1855,6.5000,3.9663,2.5536,1.5980,5329,4797,90.02
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.3000,6.9000,18483.7012,6.6000,3.8468,2.6479,1.6272,5329,4805,90.17
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.1000,6.8000,12166.9102,6.7000,2.8621,2.6265,1.6207,5329,4251,79.77
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.1000,6.8000,13450.2227,6.7000,3.2990,3.3670,1.8349,5329,4077,76.51
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.3000,6.8000,16826.9863,6.5000,3.5500,2.9946,1.7305,5329,4740,88.95
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,6.8000,9710.4072,6.7000,2.5587,3.0037,1.7331,5329,3795,71.21
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.1000,6.8000,15328.5986,6.7000,3.4041,2.7890,1.6700,5329,4503,84.50
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.1000,6.8000,2273.1978,6.7000,1.2916,1.6880,1.2992,5329,1760,33.03
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.5000,6.8000,20376.1543,6.3000,3.8753,1.6768,1.2949,5329,5258,98.67
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.1000,6.8000,3738.2976,6.7000,1.1986,1.4066,1.1860,5329,3119,58.53
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.5000,6.8000,18446.1211,6.3000,3.5216,1.9129,1.3831,5329,5238,98.29
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.2000,6.8000,17338.5234,6.6000,3.3459,2.1226,1.4569,5329,5182,97.24
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.5000,6.8000,19373.7207,6.3000,3.6811,1.8093,1.3451,5329,5263,98.76
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.3000,6.8000,16632.4824,6.5000,3.1772,2.1837,1.4777,5329,5235,98.24
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.3000,6.7000,16170.8242,6.4000,3.0731,1.8330,1.3539,5329,5262,98.74
