date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.6000,349.1990,0.5000,0.2982,0.0129,0.1137,5329,1171,21.97
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,4.5000,676.9908,4.4000,0.2911,0.0522,0.2284,5329,2326,43.65
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.1000,521.6033,2.0000,0.3159,0.0524,0.2290,5329,1651,30.98
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.2000,4.7000,0.1000,0.1237,0.0018,0.0425,5329,38,0.71
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,5.8000,655.3939,5.7000,0.2402,0.1218,0.3490,5329,2728,51.19
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.3000,41.6000,0.2000,0.1020,0.0004,0.0197,5329,408,7.66
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.0000,1182.5983,0.9000,0.2926,0.0155,0.1243,5329,4042,75.85
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,4.6000,821.2989,4.5000,0.2673,0.0386,0.1966,5329,3073,57.67
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.8000,1368.3063,0.7000,0.3456,0.0168,0.1298,5329,3959,74.29
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,4.5000,61.7000,4.4000,0.3695,0.5483,0.7405,5329,167,3.13
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.1000,55.7999,1.0000,0.2122,0.0411,0.2028,5329,263,4.94
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.6000,229.4007,1.5000,0.2592,0.0282,0.1679,5329,885,16.61
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.6000,59.7998,0.5000,0.1612,0.0125,0.1118,5329,371,6.96
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.8000,128.8998,0.7000,0.1865,0.0131,0.1145,5329,691,12.97
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.7000,33.2001,0.6000,0.1262,0.0055,0.0742,5329,263,4.94
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.7000,563.9038,0.6000,0.2147,0.0116,0.1079,5329,2626,49.28
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.5000,2597.4026,1.4000,0.4899,0.0154,0.1241,5329,5302,99.49
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.3000,2996.4958,1.2000,0.5652,0.0186,0.1365,5329,5302,99.49
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.7000,2192.5620,0.6000,0.4207,0.0119,0.1089,5329,5212,97.80
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.8000,3034.2065,1.7000,0.5723,0.0185,0.1359,5329,5302,99.49
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.6000,2967.1880,1.5000,0.5601,0.0166,0.1289,5329,5298,99.42
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.2000,3188.5066,1.1000,0.6014,0.0179,0.1337,5329,5302,99.49
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.0000,3022.3086,0.9000,0.5700,0.0136,0.1166,5329,5302,99.49
