date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.2000,64.5998,1.1000,0.1154,0.0090,0.0951,5329,560,10.51
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.4000,302.5063,1.3000,0.1224,0.0064,0.0798,5329,2472,46.39
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.6000,1274.3972,0.5000,0.2399,0.0068,0.0826,5329,5313,99.70
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.6000,1346.6022,0.5000,0.2535,0.0064,0.0799,5329,5313,99.70
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.9000,1240.5894,0.8000,0.2335,0.0074,0.0861,5329,5313,99.70
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,1232.8921,0.4000,0.2321,0.0067,0.0821,5329,5313,99.70
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.6000,1142.8887,0.5000,0.2151,0.0080,0.0897,5329,5313,99.70
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.1000,2.7000,0.0000,0.1000,0.0000,0.0000,5329,27,0.51
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.6000,895.9929,0.5000,0.1719,0.0084,0.0914,5329,5212,97.80
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.1000,1162.3855,1.0000,0.2188,0.0065,0.0807,5329,5313,99.70
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.6000,897.6080,0.5000,0.1689,0.0051,0.0712,5329,5313,99.70
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.9000,622.0931,1.8000,0.1593,0.0143,0.1196,5329,3906,73.30
