date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.0000,1780.6394,0.9000,0.3405,0.0087,0.0935,5329,5230,98.14
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.1000,1721.7363,1.0000,0.3292,0.0093,0.0963,5329,5230,98.14
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.3000,1525.5363,1.2000,0.2917,0.0079,0.0887,5329,5230,98.14
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.9000,1467.6250,0.8000,0.2806,0.0091,0.0952,5329,5230,98.14
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.9000,1710.2405,0.8000,0.3270,0.0070,0.0838,5329,5230,98.14
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.1000,1623.5364,1.0000,0.3104,0.0081,0.0901,5329,5230,98.14
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.6000,1068.4901,0.5000,0.2043,0.0081,0.0902,5329,5230,98.14
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.0000,1636.9396,0.9000,0.3130,0.0087,0.0933,5329,5230,98.14
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.3000,1636.2458,1.2000,0.3129,0.0059,0.0766,5329,5230,98.14
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.9000,1678.3400,0.8000,0.3209,0.0075,0.0864,5329,5230,98.14
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.6000,1784.3396,1.5000,0.3412,0.0139,0.1179,5329,5230,98.14
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,2.5000,710.2010,2.4000,0.2143,0.0231,0.1519,5329,3314,62.19
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.0000,1662.0469,0.9000,0.3178,0.0060,0.0775,5329,5230,98.14
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.1000,1810.5562,1.0000,0.3462,0.0111,0.1054,5329,5230,98.14
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.9000,1784.9431,0.8000,0.3413,0.0076,0.0872,5329,5230,98.14
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.4000,2034.7344,1.3000,0.3891,0.0141,0.1188,5329,5230,98.14
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.2000,1.3000,2243.6233,1.1000,0.4290,0.0149,0.1220,5329,5230,98.14
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,2.4000,2645.9993,2.3000,0.5059,0.0332,0.1823,5329,5230,98.14
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.5000,812.3148,0.4000,0.1574,0.0028,0.0527,5329,5162,96.87
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.2000,3037.5154,2.1000,0.5808,0.0585,0.2418,5329,5230,98.14
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.3000,2.4000,4151.2910,2.1000,0.7937,0.0723,0.2688,5329,5230,98.14
