date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.3000,3.2000,6691.1660,2.9000,1.2606,0.4902,0.7001,5329,5308,99.61
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.2000,3258.4812,2.1000,0.6383,0.1771,0.4208,5329,5105,95.80
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.3000,3.0000,6328.3804,2.7000,1.1943,0.4357,0.6601,5329,5299,99.44
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.3000,3.2000,6321.0933,2.9000,1.1911,0.4016,0.6338,5329,5307,99.59
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.4000,4616.4312,2.3000,0.8938,0.1590,0.3988,5329,5165,96.92
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.3000,3.4000,6575.7637,3.1000,1.2388,0.4208,0.6487,5329,5308,99.61
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.3000,4.1000,6709.8726,3.8000,1.2643,0.4857,0.6969,5329,5307,99.59
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.3000,3.9000,7035.6450,3.6000,1.3255,0.3688,0.6073,5329,5308,99.61
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.3000,4.2000,7415.3237,3.9000,1.3970,0.5212,0.7220,5329,5308,99.61
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.3000,4.0000,7649.4980,3.7000,1.4411,0.6467,0.8042,5329,5308,99.61
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.3000,3.8000,7407.3413,3.5000,1.3955,0.3917,0.6259,5329,5308,99.61
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.3000,4.3000,6580.7510,4.0000,1.2428,0.6169,0.7854,5329,5295,99.36
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.3000,11.1000,0.2000,0.1156,0.0015,0.0391,5329,96,1.80
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.5000,4.2000,8686.3252,3.7000,1.6365,0.9922,0.9961,5329,5308,99.61
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.9000,4264.2178,3.8000,0.9246,0.4476,0.6690,5329,4612,86.55
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.4000,4.1000,8229.6094,3.7000,1.5504,0.7917,0.8898,5329,5308,99.61
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,3.7000,1004.4033,3.6000,0.3054,0.0860,0.2932,5329,3289,61.72
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.5000,4.7000,8938.9590,4.2000,1.6841,0.9008,0.9491,5329,5308,99.61
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.4000,6.6000,9149.2100,6.2000,1.7237,0.6963,0.8345,5329,5308,99.61
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,5.9000,5914.2109,5.8000,1.2104,0.5194,0.7207,5329,4886,91.69
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.6000,5.4000,10315.9121,4.8000,1.9435,1.3244,1.1508,5329,5308,99.61
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,6.2000,7308.6914,6.1000,1.4137,0.6823,0.8260,5329,5170,97.02
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.6000,6.5000,13448.4785,5.9000,2.5336,0.8326,0.9125,5329,5308,99.61
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,6.6000,7137.7104,6.5000,1.6661,1.6540,1.2861,5329,4284,80.39
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.6000,5.6000,14498.2852,5.0000,2.8461,0.7564,0.8697,5329,5094,95.59
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,6.8000,5038.5142,6.7000,2.7133,4.4476,2.1089,5329,1857,34.85
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.3000,6.9000,23091.8555,6.6000,4.3726,1.7381,1.3184,5329,5281,99.10
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,6.8000,15834.2480,6.7000,4.1582,3.1921,1.7866,5329,3808,71.46
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,6.9000,20734.3301,6.7000,4.2358,2.0795,1.4421,5329,4895,91.86
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.8000,6.8000,23115.1641,6.0000,4.4307,2.3603,1.5363,5329,5217,97.90
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,6.8000,22903.9961,6.7000,4.4839,3.1995,1.7887,5329,5108,95.85
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,6.8000,13945.9922,6.6000,3.6623,5.2659,2.2948,5329,3808,71.46
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,6.8000,16405.8711,6.7000,3.3190,1.6417,1.2813,5329,4943,92.76
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.8000,7598.3237,6.7000,2.2838,3.8212,1.9548,5329,3327,62.43
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.8000,6.8000,23486.8555,6.0000,4.5819,1.6621,1.2892,5329,5126,96.19
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.8000,2396.0002,6.7000,2.4676,5.1443,2.2681,5329,971,18.22
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.8000,15678.9746,6.7000,3.4346,4.0428,2.0107,5329,4565,85.66
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.3000,6.9000,19253.0547,6.6000,3.8778,2.3531,1.5340,5329,4965,93.17
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,6.9000,18599.8438,6.8000,4.0000,3.6431,1.9087,5329,4650,87.26
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.8000,14758.9336,6.7000,3.3528,3.1904,1.7862,5329,4402,82.60
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,6.9000,20505.1230,6.8000,4.0669,3.3525,1.8310,5329,5042,94.61
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.1000,6.8000,15770.8711,6.7000,3.3328,3.9044,1.9759,5329,4732,88.80
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.9000,6.8000,23818.0645,5.9000,4.5646,1.6593,1.2881,5329,5218,97.92
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,6.9000,18169.0820,6.8000,3.6426,2.4130,1.5534,5329,4988,93.60
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,6.9000,22965.1992,6.7000,4.9165,2.4285,1.5584,5329,4671,87.65
