date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,3.3000,392.9107,3.2000,0.1720,0.0401,0.2001,5329,2284,42.86
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.1000,343.8097,2.0000,0.1596,0.0260,0.1613,5329,2154,40.42
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,4.5000,708.2867,4.4000,0.2410,0.1180,0.3435,5329,2939,55.15
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,3.4000,437.1121,3.3000,0.1679,0.0473,0.2175,5329,2603,48.85
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.1000,631.1040,3.0000,0.2050,0.0688,0.2624,5329,3079,57.78
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.8000,789.2754,1.7000,0.1852,0.0421,0.2053,5329,4262,79.98
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.8000,845.6581,1.7000,0.1898,0.0443,0.2104,5329,4456,83.62
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.8000,301.9068,0.7000,0.1123,0.0026,0.0511,5329,2689,50.46
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,5.0000,827.4750,4.9000,0.1876,0.0492,0.2219,5329,4412,82.79
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.8000,623.2084,2.7000,0.1465,0.0156,0.1248,5329,4253,79.81
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.1000,1087.4614,2.0000,0.2307,0.0558,0.2362,5329,4714,88.46
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.3000,820.4847,1.2000,0.1845,0.0227,0.1506,5329,4448,83.47
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,3.6000,502.5123,3.5000,0.1661,0.0240,0.1549,5329,3025,56.76
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,3.8000,689.0940,3.7000,0.1737,0.0324,0.1799,5329,3967,74.44
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.6000,717.1879,2.5000,0.1782,0.0303,0.1741,5329,4025,75.53
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,3.0000,1074.1860,2.9000,0.2339,0.0448,0.2115,5329,4593,86.19
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.4000,1270.7021,2.3000,0.2717,0.0404,0.2011,5329,4677,87.77
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.2000,351.8122,0.1000,0.1008,0.0001,0.0091,5329,3489,65.47
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.6000,1483.7750,1.5000,0.2955,0.0408,0.2020,5329,5021,94.22
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.6000,997.3856,1.5000,0.2069,0.0262,0.1620,5329,4821,90.47
