date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.3000,7.7000,0.2000,0.1674,0.0039,0.0627,5329,46,0.86
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,3.3000,808.5959,3.2000,0.4019,0.0854,0.2922,5329,2012,37.76
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,3.9000,1016.1936,3.8000,0.4623,0.0815,0.2855,5329,2198,41.25
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.0000,1151.3793,1.9000,0.3615,0.0761,0.2759,5329,3185,59.77
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.2000,1351.2637,3.1000,0.3529,0.1023,0.3199,5329,3829,71.85
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.8000,1852.5591,1.7000,0.3746,0.0668,0.2584,5329,4946,92.81
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,4.1000,2809.9771,4.0000,0.5474,0.1367,0.3698,5329,5133,96.32
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.9000,756.7034,0.8000,0.2108,0.0232,0.1524,5329,3589,67.35
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.3000,2625.6736,2.2000,0.5138,0.1228,0.3505,5329,5110,95.89
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.9000,2760.8992,2.8000,0.5370,0.1110,0.3332,5329,5141,96.47
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,4.8000,823.6792,4.7000,0.2594,0.0664,0.2576,5329,3175,59.58
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.2000,1509.9813,1.1000,0.3566,0.0691,0.2630,5329,4234,79.45
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.4000,613.7988,2.3000,0.3237,0.0611,0.2472,5329,1896,35.58
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,3.3000,908.4991,3.2000,0.4642,0.0980,0.3130,5329,1957,36.72
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.8000,918.0991,1.7000,0.4797,0.0827,0.2875,5329,1914,35.92
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.0000,2509.4631,1.9000,0.5136,0.1297,0.3601,5329,4886,91.69
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.4000,3354.6794,2.3000,0.6430,0.1847,0.4297,5329,5217,97.90
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.5000,106.5990,0.4000,0.1215,0.0028,0.0530,5329,877,16.46
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.5000,3808.3162,2.4000,0.7232,0.2039,0.4516,5329,5266,98.82
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.2000,3605.2036,2.1000,0.6991,0.1953,0.4419,5329,5157,96.77
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,2.9000,4158.8740,2.8000,0.7837,0.2097,0.4579,5329,5307,99.59
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,3.3000,4020.6580,3.2000,0.7626,0.1934,0.4398,5329,5272,98.93
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.4000,1658.6295,1.3000,0.4135,0.0516,0.2272,5329,4011,75.27
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,5.2000,3734.0654,5.1000,0.7381,0.1872,0.4327,5329,5059,94.93
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,2.6000,3812.8958,2.5000,0.7223,0.1374,0.3707,5329,5279,99.06
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,3.2000,4517.7935,3.1000,0.8660,0.1780,0.4219,5329,5217,97.90
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,2.9000,4592.1143,2.8000,0.8845,0.2037,0.4513,5329,5192,97.43
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,2.7000,4631.6050,2.6000,0.8890,0.1557,0.3946,5329,5210,97.77
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,3.4000,5656.6831,3.3000,1.0720,0.1828,0.4276,5329,5277,99.02
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,3.1000,5500.4761,3.0000,1.0372,0.1483,0.3851,5329,5303,99.51
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,3.2000,1136.8956,3.1000,0.5335,0.0809,0.2845,5329,2131,39.99
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,5.4000,5871.0098,5.3000,1.1151,0.1939,0.4403,5329,5265,98.80
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,3.0000,3541.3096,2.9000,0.7590,0.1494,0.3866,5329,4666,87.56
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,4.4000,5207.3994,4.3000,1.0938,0.1725,0.4154,5329,4761,89.34
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,5.1000,4014.1926,5.0000,1.0269,0.1763,0.4199,5329,3909,73.35
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,4.0000,1888.4941,3.9000,0.6415,0.3279,0.5726,5329,2944,55.24
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,5.0000,5140.3032,4.9000,1.1221,0.3167,0.5627,5329,4581,85.96
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,6.6000,4656.0044,6.5000,1.0249,0.3050,0.5523,5329,4543,85.25
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,6.8000,8738.5107,6.6000,1.6398,0.3718,0.6098,5329,5329,100.00
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,6.5000,9124.0400,6.3000,1.7150,0.3335,0.5775,5329,5320,99.83
