date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.2000,8.9000,0.1000,0.1254,0.0019,0.0435,5329,71,1.33
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.3000,172.9010,1.2000,0.2186,0.0361,0.1901,5329,791,14.84
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.3000,514.0131,1.2000,0.1757,0.0249,0.1579,5329,2926,54.91
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.7000,1048.4950,1.6000,0.2747,0.0528,0.2299,5329,3817,71.63
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.5000,930.4931,1.4000,0.2421,0.0367,0.1916,5329,3843,72.11
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,3.9000,374.0093,3.8000,0.1651,0.0372,0.1928,5329,2266,42.52
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.7000,808.3072,2.6000,0.2541,0.0328,0.1811,5329,3181,59.69
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.9000,1254.2731,2.8000,0.3310,0.0765,0.2766,5329,3789,71.10
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.9000,417.6057,0.8000,0.2286,0.0312,0.1767,5329,1827,34.28
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.0000,612.3978,0.9000,0.2140,0.0271,0.1647,5329,2862,53.71
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.3000,642.6001,1.2000,0.2492,0.0604,0.2457,5329,2579,48.40
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.6000,123.0998,2.5000,0.1936,0.0309,0.1757,5329,636,11.93
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.7000,171.6001,1.6000,0.3446,0.0632,0.2515,5329,498,9.35
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.2000,647.1061,1.1000,0.2079,0.0341,0.1847,5329,3112,58.40
