date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.1000,0.3000,0.0000,0.1000,0.0000,0.0000,5329,3,0.06
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,101.4990,0.2000,0.1002,0.0000,0.0063,5329,1013,19.01
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.8000,272.9071,0.7000,0.1039,0.0009,0.0298,5329,2626,49.28
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.0000,620.9984,0.9000,0.1167,0.0025,0.0505,5329,5320,99.83
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.3000,632.5037,0.2000,0.1188,0.0018,0.0421,5329,5323,99.89
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.1000,0.2000,0.0000,0.1000,0.0000,0.0000,5329,2,0.04
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.3000,374.3129,0.2000,0.1063,0.0007,0.0262,5329,3521,66.07
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.4000,530.4160,1.3000,0.1083,0.0016,0.0396,5329,4896,91.87
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.4000,365.7090,1.3000,0.1223,0.0034,0.0585,5329,2991,56.13
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.1000,549.0110,1.0000,0.1252,0.0025,0.0504,5329,4384,82.27
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.7000,576.1086,1.6000,0.1326,0.0049,0.0702,5329,4344,81.52
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.3000,721.2001,1.2000,0.1420,0.0057,0.0757,5329,5079,95.31
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.5000,644.7995,0.4000,0.1213,0.0019,0.0438,5329,5315,99.74
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.3000,647.4958,0.2000,0.1217,0.0018,0.0423,5329,5320,99.83
