date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.4000,73.3995,0.3000,0.1018,0.0004,0.0200,5329,721,13.53
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.6000,330.5091,0.5000,0.1137,0.0019,0.0440,5329,2907,54.55
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.7000,612.4017,0.6000,0.1167,0.0021,0.0455,5329,5247,98.46
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.3000,666.6936,0.2000,0.1252,0.0021,0.0454,5329,5325,99.92
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.3000,0.5000,1.8000,0.2000,0.4500,0.0075,0.0866,5329,4,0.08
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.9000,469.3174,0.8000,0.1100,0.0012,0.0342,5329,4268,80.09
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.6000,560.0063,0.5000,0.1199,0.0026,0.0508,5329,4670,87.63
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.6000,256.3031,2.5000,0.1283,0.0063,0.0794,5329,1997,37.47
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.0000,580.8082,0.9000,0.1440,0.0041,0.0638,5329,4034,75.70
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.8000,679.5981,2.7000,0.1495,0.0063,0.0791,5329,4547,85.33
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.4000,741.1965,1.3000,0.1505,0.0044,0.0660,5329,4926,92.44
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.3000,693.0939,0.2000,0.1353,0.0025,0.0502,5329,5123,96.13
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.3000,781.1898,0.2000,0.1466,0.0026,0.0507,5329,5329,100.00
