date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.2000,3.1000,3313.0701,2.9000,0.6418,0.0386,0.1966,5329,5162,96.87
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.4000,3163.9895,2.3000,0.6129,0.0370,0.1923,5329,5162,96.87
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.1000,2254.1272,2.0000,0.4397,0.0234,0.1529,5329,5126,96.19
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.7000,3362.5684,2.6000,0.6514,0.0399,0.1996,5329,5162,96.87
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.0000,3306.8682,2.9000,0.6406,0.0380,0.1949,5329,5162,96.87
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,3.1000,2879.8884,3.0000,0.5579,0.0364,0.1907,5329,5162,96.87
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.8000,2505.4219,2.7000,0.4864,0.0311,0.1763,5329,5151,96.66
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,3.2000,3141.8896,3.1000,0.6087,0.0386,0.1965,5329,5162,96.87
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.7000,2888.9849,2.6000,0.5597,0.0294,0.1715,5329,5162,96.87
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.8000,3662.2688,2.7000,0.7095,0.0465,0.2155,5329,5162,96.87
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.7000,3274.4661,2.6000,0.6343,0.0385,0.1963,5329,5162,96.87
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,3.1000,2872.6233,3.0000,0.5604,0.0480,0.2191,5329,5126,96.19
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,4.5000,1697.3853,4.4000,0.4839,0.0562,0.2371,5329,3508,65.83
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,3.4000,1957.6208,3.3000,0.4570,0.0714,0.2673,5329,4284,80.39
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.6000,3188.6746,3.5000,0.6205,0.0373,0.1931,5329,5139,96.43
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.2000,3.8000,4422.5688,3.6000,0.8568,0.0600,0.2449,5329,5162,96.87
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.4000,2840.3928,2.3000,0.5534,0.0292,0.1708,5329,5133,96.32
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.2000,3.5000,4703.5176,3.3000,0.9112,0.0587,0.2424,5329,5162,96.87
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,4.2000,4506.2295,4.1000,0.8730,0.0684,0.2616,5329,5162,96.87
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.3000,4212.3901,4.2000,0.8486,0.1318,0.3630,5329,4964,93.15
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.3000,4.6000,5199.4287,4.3000,1.0073,0.0657,0.2564,5329,5162,96.87
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.3000,5.0000,6256.6992,4.7000,1.2121,0.1004,0.3169,5329,5162,96.87
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.3000,2.9000,4731.9058,2.6000,0.9167,0.0727,0.2697,5329,5162,96.87
