date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.2000,2.5000,3168.2715,2.3000,0.6248,0.0284,0.1686,5329,5071,95.16
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.4000,3003.4824,2.3000,0.5923,0.0318,0.1784,5329,5071,95.16
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.1000,2206.3276,2.0000,0.4389,0.0220,0.1482,5329,5027,94.33
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.7000,3208.5732,2.6000,0.6327,0.0323,0.1798,5329,5071,95.16
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.0000,3148.7700,2.9000,0.6209,0.0315,0.1775,5329,5071,95.16
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.2000,2728.2908,2.1000,0.5380,0.0287,0.1695,5329,5071,95.16
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.8000,2494.5256,2.7000,0.4920,0.0250,0.1582,5329,5070,95.14
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.6000,2989.5842,2.5000,0.5895,0.0296,0.1719,5329,5071,95.16
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.4000,2667.9944,2.3000,0.5261,0.0200,0.1413,5329,5071,95.16
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.6000,3516.6765,2.5000,0.6935,0.0397,0.1993,5329,5071,95.16
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.6000,3090.4683,2.5000,0.6094,0.0332,0.1823,5329,5071,95.16
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,3.1000,2810.7080,3.0000,0.5589,0.0460,0.2145,5329,5029,94.37
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.8000,1381.0034,1.7000,0.4185,0.0313,0.1770,5329,3300,61.93
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,3.4000,2022.0150,3.3000,0.4755,0.0791,0.2812,5329,4252,79.79
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.6000,3060.0508,3.5000,0.6088,0.0304,0.1744,5329,5026,94.31
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.3000,3.6000,4190.3643,3.3000,0.8263,0.0418,0.2045,5329,5071,95.16
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.2000,2715.4895,2.1000,0.5364,0.0241,0.1553,5329,5062,94.99
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.2000,3.5000,4484.7061,3.3000,0.8844,0.0497,0.2229,5329,5071,95.16
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,4.2000,4202.8008,4.1000,0.8288,0.0626,0.2503,5329,5071,95.16
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.3000,4121.4907,4.2000,0.8533,0.1192,0.3453,5329,4830,90.64
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.3000,4.6000,5007.3115,4.3000,0.9878,0.0568,0.2382,5329,5069,95.12
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.3000,5.0000,6029.2153,4.7000,1.1890,0.0878,0.2963,5329,5071,95.16
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.3000,2.9000,4632.6748,2.6000,0.9136,0.0697,0.2639,5329,5071,95.16
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,4.9000,4529.2935,4.8000,0.9553,0.1321,0.3634,5329,4741,88.97
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.4000,3.9000,6041.6025,3.5000,1.1914,0.1378,0.3712,5329,5071,95.16
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,5.4000,2753.9905,5.3000,1.0349,0.2629,0.5128,5329,2661,49.93
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,6.4000,7682.7173,6.2000,1.5304,0.2275,0.4770,5329,5020,94.20
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.4000,6.2000,8805.0244,5.8000,1.7367,0.3342,0.5781,5329,5070,95.14
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.6000,6.6000,9717.8281,6.0000,1.9164,0.4506,0.6712,5329,5071,95.16
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.5000,6.8000,10713.6289,6.3000,2.1182,0.8395,0.9162,5329,5058,94.91
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,6.8000,16064.9209,6.7000,3.2291,2.1490,1.4659,5329,4975,93.36
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.8000,11889.9189,6.7000,2.8671,2.8817,1.6975,5329,4147,77.82
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.6000,6.9000,19511.7910,6.3000,3.9618,2.2444,1.4981,5329,4925,92.42
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.2000,6.8000,14939.0771,6.6000,3.4839,2.7263,1.6511,5329,4288,80.47
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.6000,6.9000,16564.8320,6.3000,3.8712,2.5615,1.6005,5329,4279,80.30
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.2000,6.5000,3723.8096,6.3000,1.5542,1.0274,1.0136,5329,2396,44.96
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.8000,7568.1104,6.7000,2.4398,2.8525,1.6889,5329,3102,58.21
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,6.9000,9018.4189,6.8000,2.7537,2.9475,1.7168,5329,3275,61.46
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,6.9000,9793.0928,6.7000,2.8576,2.7117,1.6467,5329,3427,64.31
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.8000,9557.2012,6.7000,3.1741,3.9764,1.9941,5329,3011,56.50
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,6.8000,15681.2197,6.6000,3.6082,2.5383,1.5932,5329,4346,81.55
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.2000,6.9000,14565.9043,6.7000,3.4289,2.8516,1.6887,5329,4248,79.71
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,6.8000,14287.9346,6.6000,3.2944,2.3963,1.5480,5329,4337,81.38
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,6.8000,10657.3848,6.7000,3.0502,2.7227,1.6501,5329,3494,65.57
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,6.9000,8761.8887,6.7000,3.3277,3.1191,1.7661,5329,2633,49.41
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,6.8000,11607.9004,6.7000,3.0847,3.1766,1.7823,5329,3763,70.61
