date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.6000,3228.1780,2.5000,0.6732,0.0401,0.2002,5329,4795,89.98
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.6000,2705.5806,2.5000,0.5643,0.0384,0.1960,5329,4795,89.98
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.0000,2360.1118,1.9000,0.4927,0.0398,0.1995,5329,4790,89.89
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.9000,3218.5894,2.8000,0.6712,0.0434,0.2084,5329,4795,89.98
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.6000,3110.3782,2.5000,0.6487,0.0469,0.2165,5329,4795,89.98
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,4.6000,3118.5889,4.5000,0.6504,0.0459,0.2143,5329,4795,89.98
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.4000,3203.4810,2.3000,0.6681,0.0430,0.2074,5329,4795,89.98
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.3000,2571.2969,2.2000,0.5362,0.0364,0.1907,5329,4795,89.98
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.6000,2915.3071,2.5000,0.6080,0.0586,0.2421,5329,4795,89.98
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,3.0000,3210.2988,2.9000,0.6695,0.0533,0.2308,5329,4795,89.98
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.8000,3525.1018,2.7000,0.7352,0.0512,0.2262,5329,4795,89.98
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,2.9000,2839.4927,2.8000,0.6337,0.0578,0.2405,5329,4481,84.09
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.7000,1079.3029,1.6000,0.3798,0.0303,0.1742,5329,2842,53.33
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.6000,255.8993,0.5000,0.1496,0.0046,0.0681,5329,1711,32.11
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.1000,1913.4994,3.0000,0.4544,0.0306,0.1750,5329,4211,79.02
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,3.8000,4062.0508,3.7000,0.8471,0.0503,0.2242,5329,4795,89.98
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,3.1000,3612.6050,3.0000,0.7534,0.0504,0.2244,5329,4795,89.98
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.2000,3.6000,4403.3750,3.4000,0.9204,0.0550,0.2345,5329,4784,89.77
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,3.9000,4449.6772,3.8000,0.9280,0.0574,0.2396,5329,4795,89.98
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.1000,4527.3857,4.0000,0.9472,0.0493,0.2221,5329,4780,89.70
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,4.4000,4731.1470,4.2000,0.9867,0.0926,0.3043,5329,4795,89.98
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,4.1000,5575.6040,3.9000,1.1628,0.1128,0.3358,5329,4795,89.98
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.3000,4.5000,5941.6567,4.2000,1.2391,0.0997,0.3158,5329,4795,89.98
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,5.4000,5207.0854,5.3000,1.1244,0.2175,0.4664,5329,4631,86.90
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.3000,4.8000,7210.2114,4.5000,1.5037,0.1353,0.3679,5329,4795,89.98
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,4.5000,2466.4954,4.4000,0.8291,0.2034,0.4510,5329,2975,55.83
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.4000,6.8000,11402.0020,6.4000,2.3779,0.6266,0.7916,5329,4795,89.98
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.7000,6.6000,11893.9092,5.9000,2.4805,0.7765,0.8812,5329,4795,89.98
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.8000,11272.3457,6.7000,2.5291,1.8176,1.3482,5329,4457,83.64
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.7000,6.8000,16517.2910,6.1000,3.4942,2.0874,1.4448,5329,4727,88.70
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.6000,6.9000,17370.0195,6.3000,3.6385,1.7202,1.3115,5329,4774,89.59
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.8000,12529.0049,6.7000,3.1417,3.4019,1.8444,5329,3988,74.84
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.5000,6.8000,14933.2002,6.3000,3.3370,2.2599,1.5033,5329,4475,83.97
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.6000,6.8000,18518.1855,6.2000,3.9242,2.1362,1.4616,5329,4719,88.55
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.6000,6.8000,19732.9648,6.2000,4.1569,2.1780,1.4758,5329,4747,89.08
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.4000,6.8000,11068.4297,6.4000,2.7451,2.2007,1.4835,5329,4032,75.66
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.9000,15154.9111,6.8000,3.3573,2.3952,1.5477,5329,4514,84.71
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,5.3000,1156.3014,5.2000,0.8355,0.3305,0.5749,5329,1384,25.97
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.5000,6.9000,16999.9102,6.4000,3.6693,2.6017,1.6130,5329,4633,86.94
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,6.9000,19139.5605,6.7000,4.1063,2.6209,1.6189,5329,4661,87.46
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.6000,6.8000,18666.7422,6.2000,3.9241,2.0274,1.4239,5329,4757,89.27
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.7000,6.9000,19419.0996,6.2000,4.0668,2.0600,1.4353,5329,4775,89.60
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.6000,6.8000,17662.5059,6.2000,3.7692,2.2564,1.5021,5329,4686,87.93
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.4000,6.8000,19435.3809,6.4000,4.1626,2.3165,1.5220,5329,4669,87.61
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,6.9000,15663.4756,6.7000,3.6795,2.9182,1.7083,5329,4257,79.88
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.2000,6.8000,18311.3496,6.6000,4.0156,2.2910,1.5136,5329,4560,85.57
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.4000,6.8000,18712.4141,6.4000,3.9123,1.9156,1.3840,5329,4783,89.75
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.1000,6.9000,12756.3740,6.8000,3.0562,2.6504,1.6280,5329,4174,78.33
