date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,0.2000,0.0000,0.1000,0.0000,0.0000,5329,2,0.04
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.1000,0.5000,0.0000,0.1000,0.0000,0.0000,5329,5,0.09
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,103.3990,0.2000,0.1039,0.0004,0.0204,5329,995,18.67
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.2000,11.5000,0.1000,0.1018,0.0002,0.0132,5329,113,2.12
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.3000,141.8994,0.2000,0.1028,0.0003,0.0168,5329,1381,25.91
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.7000,248.9052,0.6000,0.1098,0.0015,0.0382,5329,2266,42.52
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.5000,27.7001,0.4000,0.1030,0.0012,0.0344,5329,269,5.05
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.1000,2.9000,0.0000,0.1000,0.0000,0.0000,5329,29,0.54
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.1000,0.2000,0.0000,0.1000,0.0000,0.0000,5329,2,0.04
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.1000,0.2000,0.0000,0.1000,0.0000,0.0000,5329,2,0.04
A2015049,2015-02-18,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.1000,1.1000,0.0000,0.1000,0.0000,0.0000,5329,11,0.21
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.1000,0.7000,0.0000,0.1000,0.0000,0.0000,5329,7,0.13
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.7000,12.3000,0.6000,0.1337,0.0096,0.0981,5329,92,1.73
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.3000,637.0054,0.2000,0.1388,0.0028,0.0532,5329,4591,86.15
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.8000,939.7805,0.7000,0.1802,0.0051,0.0716,5329,5216,97.88
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.5000,1081.4828,0.4000,0.2067,0.0051,0.0712,5329,5233,98.20
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.0000,1222.8895,0.9000,0.2354,0.0070,0.0836,5329,5196,97.50
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.8000,1276.6754,0.7000,0.2453,0.0063,0.0791,5329,5205,97.67
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,0.5000,1475.5994,0.4000,0.2818,0.0070,0.0836,5329,5237,98.27
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,0.5000,1440.6910,0.4000,0.2745,0.0055,0.0743,5329,5248,98.48
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,0.5000,1416.7831,0.4000,0.2703,0.0041,0.0637,5329,5242,98.37
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,0.5000,1478.9945,0.4000,0.2821,0.0051,0.0717,5329,5243,98.39
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,0.5000,1678.3267,0.4000,0.3198,0.0085,0.0921,5329,5248,98.48
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,0.7000,1780.3185,0.6000,0.3396,0.0111,0.1052,5329,5243,98.39
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,1.1000,1946.9005,1.0000,0.3710,0.0178,0.1333,5329,5248,98.48
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.4000,2122.3162,1.3000,0.4046,0.0192,0.1386,5329,5246,98.44
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,1.6000,2636.6953,1.5000,0.5023,0.0256,0.1601,5329,5249,98.50
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,2.4000,2786.4907,2.3000,0.5309,0.0392,0.1979,5329,5249,98.50
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,3.6000,2829.7942,3.5000,0.5410,0.0485,0.2202,5329,5231,98.16
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,2.0000,2420.1799,1.9000,0.4612,0.0466,0.2158,5329,5248,98.48
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,1.2000,385.8109,1.1000,0.1375,0.0094,0.0972,5329,2805,52.64
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,2.9000,3569.3982,2.8000,0.6803,0.0818,0.2859,5329,5247,98.46
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,3.0000,4013.5981,2.9000,0.7646,0.0863,0.2938,5329,5249,98.50
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,4.1000,4941.2793,4.0000,0.9414,0.1278,0.3575,5329,5249,98.50
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.2000,4.0000,4709.5928,3.8000,0.8974,0.1607,0.4009,5329,5248,98.48
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,4.3000,4111.6157,4.2000,0.8687,0.2215,0.4706,5329,4733,88.82
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,4.3000,7457.5332,4.2000,1.4208,0.2647,0.5145,5329,5249,98.50
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.3000,7584.5107,6.2000,1.5242,0.3640,0.6033,5329,4976,93.38
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,6.5000,8411.4131,6.4000,1.6052,0.4674,0.6837,5329,5240,98.33
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.3000,6.5000,9914.5146,6.2000,1.8903,0.6414,0.8009,5329,5245,98.42
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,6.7000,9926.2979,6.5000,1.9023,0.6804,0.8249,5329,5218,97.92
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.4000,6.8000,12242.8086,6.4000,2.3409,1.1076,1.0524,5329,5230,98.14
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,6.8000,9750.3145,6.7000,1.8819,0.5856,0.7652,5329,5181,97.22
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.5000,6.7000,12433.3936,6.2000,2.4012,0.7094,0.8422,5329,5178,97.17
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.4000,6.8000,13407.9941,6.4000,2.5612,0.8271,0.9095,5329,5235,98.24
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,6.8000,10553.4160,6.6000,2.0709,0.7594,0.8714,5329,5096,95.63
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.1000,6.7000,11040.3818,6.6000,2.1227,0.6206,0.7878,5329,5201,97.60
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.3000,6.8000,12036.5273,6.5000,2.3219,0.8843,0.9404,5329,5184,97.28
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.1000,6.8000,11883.5195,6.7000,2.2722,1.2187,1.1039,5329,5230,98.14
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.3000,6.8000,10539.2061,6.5000,2.0299,0.9624,0.9810,5329,5192,97.43
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.4000,6.6000,9713.5225,6.2000,1.8509,0.6507,0.8067,5329,5248,98.48
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.1000,6.7000,9787.5225,6.6000,1.8696,1.0416,1.0206,5329,5235,98.24
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.2000,6.8000,9138.8936,6.6000,1.7411,0.7373,0.8587,5329,5249,98.50
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.2000,6.7000,7879.0225,6.5000,1.5028,0.4444,0.6667,5329,5243,98.39
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,6.8000,6734.8188,6.7000,1.2885,0.4116,0.6415,5329,5227,98.09
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.2000,6.8000,8401.1260,6.6000,1.6024,0.9108,0.9544,5329,5243,98.39
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.3000,6.7000,8429.6973,6.4000,1.6063,0.5214,0.7221,5329,5248,98.48
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.3000,6.5000,6674.5122,6.2000,1.2716,0.2550,0.5050,5329,5249,98.50
