date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,0.6000,0.0000,0.1000,0.0000,0.0000,5329,6,0.11
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.1000,22.5000,0.0000,0.1000,0.0000,0.0000,5329,225,4.22
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,175.9015,0.2000,0.1002,0.0000,0.0058,5329,1755,32.93
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.5000,596.3030,1.4000,0.1308,0.0046,0.0678,5329,4560,85.57
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,1038.2114,0.4000,0.1951,0.0036,0.0599,5329,5322,99.87
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.4000,1091.1100,0.3000,0.2050,0.0021,0.0455,5329,5322,99.87
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.4000,17.3000,0.3000,0.1696,0.0094,0.0968,5329,102,1.91
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,1066.9061,0.4000,0.2005,0.0040,0.0632,5329,5322,99.87
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.4000,987.2245,0.3000,0.1855,0.0026,0.0508,5329,5322,99.87
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.5000,203.2011,0.4000,0.1272,0.0026,0.0510,5329,1598,29.99
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.4000,818.7986,1.3000,0.1640,0.0048,0.0691,5329,4993,93.69
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.3000,252.5018,1.2000,0.1484,0.0082,0.0905,5329,1702,31.94
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.7000,764.8981,0.6000,0.1516,0.0034,0.0582,5329,5046,94.69
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.5000,1019.7304,0.4000,0.1916,0.0018,0.0418,5329,5322,99.87
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.3000,1070.4229,0.2000,0.2011,0.0015,0.0385,5329,5322,99.87
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.5000,1157.0046,0.4000,0.2174,0.0017,0.0408,5329,5322,99.87
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.6000,580.6060,0.5000,0.1092,0.0011,0.0331,5329,5318,99.79
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.5000,1304.1899,0.4000,0.2451,0.0028,0.0526,5329,5322,99.87
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.4000,1228.6882,0.3000,0.2309,0.0022,0.0466,5329,5322,99.87
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.2000,1320.8943,1.1000,0.2482,0.0036,0.0597,5329,5322,99.87
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,0.5000,1419.0166,0.3000,0.2666,0.0033,0.0576,5329,5322,99.87
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,0.8000,1331.4900,0.7000,0.2502,0.0038,0.0619,5329,5322,99.87
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,1.8000,1487.3096,1.6000,0.2795,0.0069,0.0829,5329,5322,99.87
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,0.6000,1511.2065,0.4000,0.2840,0.0062,0.0788,5329,5322,99.87
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,0.7000,1763.9215,0.5000,0.3314,0.0083,0.0913,5329,5322,99.87
