date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015017,2015-01-17,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.1000,2.8000,0.0000,0.1000,0.0000,0.0000,5329,28,0.53
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.1000,66.3996,0.0000,0.1000,0.0000,0.0000,5329,664,12.46
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,39.3000,0.4000,0.1159,0.0027,0.0519,5329,339,6.36
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.7000,2.5000,0.6000,0.3571,0.0539,0.2321,5329,7,0.13
A2015037,2015-02-06,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.1000,0.2000,0.0000,0.1000,0.0000,0.0000,5329,2,0.04
A2015045,2015-02-14,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015053,2015-02-22,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015057,2015-02-26,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.1000,0.3000,0.0000,0.1000,0.0000,0.0000,5329,3,0.06
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.2000,173.1014,0.1000,0.1004,0.0000,0.0064,5329,1724,32.35
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.3000,860.9896,0.2000,0.1625,0.0037,0.0612,5329,5298,99.42
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.5000,1094.0016,0.4000,0.2061,0.0056,0.0746,5329,5308,99.61
