date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.6000,208.3034,0.5000,0.1115,0.0020,0.0442,5329,1869,35.07
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.5000,782.3793,0.4000,0.1474,0.0049,0.0702,5329,5307,99.59
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.5000,875.5809,0.4000,0.1650,0.0057,0.0752,5329,5307,99.59
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.6000,868.9774,0.5000,0.1637,0.0058,0.0759,5329,5307,99.59
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.5000,772.8709,0.4000,0.1456,0.0051,0.0713,5329,5307,99.59
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.6000,915.8790,0.5000,0.1726,0.0062,0.0789,5329,5307,99.59
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.3000,452.8182,0.2000,0.1006,0.0001,0.0098,5329,4499,84.42
A2015033,2015-02-02,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.1000,11.2000,0.0000,0.1000,0.0000,0.0000,5329,112,2.10
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.6000,538.8138,0.5000,0.1047,0.0007,0.0271,5329,5148,96.60
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.3000,572.0049,0.2000,0.1138,0.0014,0.0370,5329,5025,94.30
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.7000,316.0088,0.6000,0.1084,0.0015,0.0388,5329,2915,54.70
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.4000,721.7964,0.3000,0.1360,0.0029,0.0541,5329,5307,99.59
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.7000,861.9819,0.6000,0.1624,0.0047,0.0684,5329,5307,99.59
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.5000,1149.4036,1.4000,0.2166,0.0026,0.0507,5329,5307,99.59
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.5000,1232.5857,0.4000,0.2323,0.0025,0.0502,5329,5307,99.59
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.6000,1260.5792,0.5000,0.2375,0.0028,0.0525,5329,5307,99.59
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.7000,1298.0802,0.6000,0.2446,0.0035,0.0595,5329,5307,99.59
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.8000,1366.0887,0.7000,0.2574,0.0049,0.0699,5329,5307,99.59
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.7000,1366.4851,0.6000,0.2575,0.0055,0.0740,5329,5307,99.59
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,0.9000,1511.7203,0.8000,0.2849,0.0056,0.0746,5329,5307,99.59
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.0000,1648.9351,0.9000,0.3107,0.0095,0.0977,5329,5307,99.59
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.7000,1814.2637,1.6000,0.3419,0.0160,0.1264,5329,5307,99.59
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.4000,1883.0360,1.3000,0.3551,0.0229,0.1513,5329,5303,99.51
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,1.7000,2226.3462,1.5000,0.4195,0.0299,0.1729,5329,5307,99.59
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.4000,504.3105,2.3000,0.1766,0.0211,0.1451,5329,2855,53.57
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,1.9000,3026.6892,1.7000,0.5703,0.0553,0.2351,5329,5307,99.59
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,2.8000,3113.2910,2.7000,0.5866,0.0800,0.2828,5329,5307,99.59
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,2.7000,3372.1877,2.5000,0.6354,0.0798,0.2825,5329,5307,99.59
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,2.1000,2661.5076,2.0000,0.5054,0.0676,0.2600,5329,5266,98.82
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,3.9000,2813.4170,3.8000,0.5329,0.1305,0.3613,5329,5279,99.06
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,2.3000,3026.1865,2.1000,0.5702,0.0855,0.2924,5329,5307,99.59
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,4.0000,3372.1770,3.9000,0.6381,0.1157,0.3401,5329,5285,99.17
