date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.3000,3.8000,0.2000,0.2111,0.0099,0.0994,5329,18,0.34
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.3000,37.2000,0.2000,0.1016,0.0003,0.0180,5329,366,6.87
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.4000,207.2023,0.3000,0.1114,0.0011,0.0329,5329,1860,34.90
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,786.1185,0.2000,0.1593,0.0039,0.0626,5329,4934,92.59
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.3000,807.1293,0.2000,0.1568,0.0028,0.0529,5329,5147,96.58
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.3000,1001.0257,0.2000,0.1884,0.0032,0.0563,5329,5313,99.70
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.3000,1018.5289,0.2000,0.1917,0.0018,0.0430,5329,5313,99.70
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.1000,23.1001,0.0000,0.1000,0.0000,0.0000,5329,231,4.33
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.3000,1051.4305,0.2000,0.1979,0.0009,0.0308,5329,5313,99.70
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.3000,1024.2240,0.2000,0.1928,0.0023,0.0482,5329,5313,99.70
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.7000,459.0137,0.6000,0.1330,0.0025,0.0497,5329,3451,64.76
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.3000,800.9969,0.2000,0.1508,0.0027,0.0522,5329,5313,99.70
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.5000,1064.0304,0.4000,0.2004,0.0008,0.0283,5329,5310,99.64
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.7000,1104.9163,0.6000,0.2080,0.0017,0.0412,5329,5313,99.70
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.5000,1209.6011,0.4000,0.2277,0.0021,0.0459,5329,5313,99.70
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.4000,1175.5000,0.3000,0.2212,0.0017,0.0414,5329,5313,99.70
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.2000,0.5000,1196.8982,0.3000,0.2253,0.0019,0.0439,5329,5313,99.70
