date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,3.6000,1639.9885,3.5000,0.5144,0.0719,0.2682,5329,3188,59.82
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,4.2000,857.9988,4.1000,0.5829,0.1117,0.3342,5329,1472,27.62
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.9000,1164.1953,2.8000,0.5557,0.0766,0.2767,5329,2095,39.31
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,4.1000,2317.8904,4.0000,0.6380,0.0686,0.2619,5329,3633,68.17
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.2000,2517.6804,3.1000,0.6995,0.0628,0.2506,5329,3599,67.54
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,5.1000,876.2938,5.0000,0.4300,0.0811,0.2847,5329,2038,38.24
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,5.3000,634.2979,5.2000,0.4243,0.0737,0.2714,5329,1495,28.05
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.0000,152.1004,0.9000,0.3388,0.0263,0.1622,5329,449,8.43
A2015037,2015-02-06,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,4.7000,200.9002,4.6000,0.6144,0.2848,0.5336,5329,327,6.14
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.6000,180.4004,1.5000,0.5551,0.0756,0.2750,5329,325,6.10
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,3.1000,28.5000,3.0000,0.3750,0.2785,0.5277,5329,76,1.43
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,3.4000,227.9001,3.3000,0.3479,0.0848,0.2913,5329,655,12.29
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,4.5000,207.8002,4.4000,0.6474,0.1500,0.3873,5329,321,6.02
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.4000,103.4999,1.3000,0.2724,0.0277,0.1664,5329,380,7.13
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.5000,351.0020,1.4000,0.3382,0.0648,0.2545,5329,1038,19.48
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.3000,457.3012,2.2000,0.3843,0.0659,0.2568,5329,1190,22.33
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.8000,73.5999,1.7000,0.3423,0.1454,0.3813,5329,215,4.03
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,5.1000,386.3019,5.0000,0.4555,0.1112,0.3335,5329,848,15.91
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.5000,608.5992,2.4000,0.4614,0.0727,0.2696,5329,1319,24.75
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.8000,344.9012,1.7000,0.4655,0.0985,0.3139,5329,741,13.91
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,2.0000,882.1979,1.9000,0.4283,0.0446,0.2111,5329,2060,38.66
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,2.1000,2079.2893,2.0000,0.6098,0.0453,0.2128,5329,3410,63.99
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,0.2000,7.5000,0.1000,0.1119,0.0011,0.0324,5329,67,1.26
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,3.5000,4190.8730,3.4000,1.0443,0.0854,0.2923,5329,4013,75.30
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,5.2000,4559.3027,5.1000,1.1361,0.1060,0.3256,5329,4013,75.30
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,3.6000,3840.2915,3.5000,1.0186,0.1119,0.3345,5329,3770,70.74
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,5.2000,4103.5962,5.1000,1.0582,0.1525,0.3905,5329,3878,72.77
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,3.0000,4512.5093,2.9000,1.1250,0.0688,0.2622,5329,4011,75.27
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,4.7000,5390.8936,4.6000,1.3434,0.1039,0.3223,5329,4013,75.30
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,3.0000,5413.3867,2.9000,1.3490,0.0560,0.2367,5329,4013,75.30
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,5.5000,5024.2124,5.3000,1.3528,0.1876,0.4331,5329,3714,69.69
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.2000,6.6000,9930.0654,6.4000,2.4757,0.8908,0.9438,5329,4011,75.27
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.2000,6.8000,5931.2915,6.6000,2.3196,2.2168,1.4889,5329,2557,47.98
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.3000,6.8000,17026.3887,6.5000,4.2470,1.3157,1.1470,5329,4009,75.23
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.3000,6.8000,11290.1172,6.5000,3.2387,2.1797,1.4764,5329,3486,65.42
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.9000,15270.6826,6.8000,4.2091,2.0831,1.4433,5329,3628,68.08
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,6.8000,5501.0981,6.6000,2.9752,2.0608,1.4356,5329,1849,34.70
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,6.8000,6296.3989,6.6000,2.8803,2.6336,1.6228,5329,2186,41.02
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.5000,6.8000,18309.1211,6.3000,4.6399,1.3345,1.1552,5329,3946,74.05
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.3000,6.9000,17204.2793,6.6000,4.6310,1.5636,1.2504,5329,3715,69.71
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.1000,6.8000,13783.9209,6.7000,4.2609,1.6136,1.2703,5329,3235,60.71
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.1000,6.9000,18631.5352,6.8000,4.8069,1.4773,1.2155,5329,3876,72.73
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,6.9000,12721.4902,6.8000,4.3109,1.6348,1.2786,5329,2951,55.38
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.3000,6.8000,19824.8691,6.5000,5.1560,1.3843,1.1766,5329,3845,72.15
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.3000,6.8000,12744.1035,6.5000,4.1743,2.9113,1.7062,5329,3053,57.29
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.2000,6.9000,15196.9072,6.7000,4.4216,2.6745,1.6354,5329,3437,64.50
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,6.8000,18465.0156,6.6000,4.8199,1.4702,1.2125,5329,3831,71.89
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.3000,6.9000,18252.8008,6.6000,4.7201,1.5458,1.2433,5329,3867,72.57
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.3000,6.8000,14351.3496,6.5000,3.9943,2.4872,1.5771,5329,3593,67.42
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.1000,6.8000,2679.9990,6.7000,2.6300,3.7566,1.9382,5329,1019,19.12
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.1000,6.8000,17475.3047,6.7000,4.6700,2.2678,1.5059,5329,3742,70.22
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.3000,6.8000,20075.8945,6.5000,5.0505,1.4822,1.2174,5329,3975,74.59
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.3000,6.9000,12483.0029,6.6000,3.6151,3.5915,1.8951,5329,3453,64.80
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.1000,6.8000,8701.8027,6.7000,3.0879,3.7061,1.9251,5329,2818,52.88
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.2000,6.8000,18289.6816,6.6000,4.6503,2.0823,1.4430,5329,3933,73.80
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.3000,6.9000,18632.8008,6.6000,4.7076,1.3827,1.1759,5329,3958,74.27
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.2000,6.8000,4313.7012,6.6000,2.0839,2.5953,1.6110,5329,2070,38.84
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.3000,6.8000,15275.3965,6.5000,4.0615,1.7753,1.3324,5329,3761,70.58
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.4000,6.8000,18863.4434,6.4000,4.7111,1.2857,1.1339,5329,4004,75.14
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.6000,6.8000,18748.3750,6.2000,4.6754,0.9379,0.9684,5329,4010,75.25
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.2000,6.8000,18519.1387,6.6000,4.6229,1.7499,1.3228,5329,4006,75.17
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.1000,6.6000,12567.3086,6.5000,3.3273,1.5435,1.2424,5329,3777,70.88
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.1000,6.8000,17638.1562,6.7000,4.4018,1.2083,1.0992,5329,4007,75.19
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.3000,6.8000,18350.7969,6.5000,4.5763,1.2044,1.0974,5329,4010,75.25
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.1000,6.8000,16495.7812,6.7000,4.1250,1.3065,1.1430,5329,3999,75.04
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.3000,6.8000,17150.8438,6.5000,4.2760,1.4560,1.2067,5329,4011,75.27
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,4.7000,15.2000,4.6000,0.3707,0.5123,0.7158,5329,41,0.77
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.3000,6.5000,14750.3340,6.2000,3.6793,1.4496,1.2040,5329,4009,75.23
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.2000,6.7000,12276.2676,6.5000,3.0599,2.0573,1.4343,5329,4012,75.29
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.1000,6.4000,8116.5923,6.3000,2.0226,0.6899,0.8306,5329,4013,75.30
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.1000,4.8000,6907.6963,4.7000,1.7213,0.3450,0.5874,5329,4013,75.30
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.2000,5.5000,4795.7949,5.3000,1.2041,0.1572,0.3965,5329,3983,74.74
A2015297,2015-10-24,MCD15A3H,Lai_500m,0.1000,2.5000,4921.4043,2.4000,1.2264,0.0627,0.2503,5329,4013,75.30
A2015301,2015-10-28,MCD15A3H,Lai_500m,0.1000,3.3000,3781.4797,3.2000,0.9423,0.0471,0.2170,5329,4013,75.30
A2015305,2015-11-01,MCD15A3H,Lai_500m,0.1000,2.4000,4197.1074,2.3000,1.0459,0.0341,0.1847,5329,4013,75.30
A2015309,2015-11-05,MCD15A3H,Lai_500m,0.1000,4.4000,3754.4812,4.3000,0.9356,0.0558,0.2361,5329,4013,75.30
A2015313,2015-11-09,MCD15A3H,Lai_500m,0.1000,3.3000,3952.7905,3.2000,0.9857,0.0440,0.2098,5329,4010,75.25
A2015317,2015-11-13,MCD15A3H,Lai_500m,0.1000,2.3000,3593.0654,2.2000,0.8954,0.0399,0.1998,5329,4013,75.30
A2015321,2015-11-17,MCD15A3H,Lai_500m,0.1000,2.7000,3772.0781,2.6000,0.9400,0.0420,0.2049,5329,4013,75.30
A2015325,2015-11-21,MCD15A3H,Lai_500m,0.1000,2.6000,3712.7600,2.5000,0.9252,0.0360,0.1896,5329,4013,75.30
A2015329,2015-11-25,MCD15A3H,Lai_500m,0.1000,2.5000,3751.8706,2.4000,0.9349,0.0428,0.2069,5329,4013,75.30
A2015333,2015-11-29,MCD15A3H,Lai_500m,0.1000,2.0000,3541.0696,1.9000,0.8826,0.0379,0.1947,5329,4012,75.29
A2015337,2015-12-03,MCD15A3H,Lai_500m,0.1000,2.4000,3462.7576,2.3000,0.8629,0.0364,0.1909,5329,4013,75.30
A2015341,2015-12-07,MCD15A3H,Lai_500m,0.1000,2.4000,3309.2551,2.3000,0.8271,0.0365,0.1911,5329,4001,75.08
A2015345,2015-12-11,MCD15A3H,Lai_500m,0.1000,1.3000,2070.2937,1.2000,0.5165,0.0185,0.1360,5329,4008,75.21
A2015349,2015-12-15,MCD15A3H,Lai_500m,0.1000,2.3000,3394.7671,2.2000,0.8510,0.0447,0.2113,5329,3989,74.85
A2015353,2015-12-19,MCD15A3H,Lai_500m,0.1000,2.1000,3315.2688,2.0000,0.8263,0.0419,0.2048,5329,4012,75.29
A2015357,2015-12-23,MCD15A3H,Lai_500m,0.1000,2.7000,3001.2700,2.6000,0.7498,0.0374,0.1933,5329,4003,75.12
A2015361,2015-12-27,MCD15A3H,Lai_500m,0.1000,1.6000,2433.0779,1.5000,0.6065,0.0265,0.1629,5329,4012,75.29
A2015365,2015-12-31,MCD15A3H,Lai_500m,0.1000,1.9000,1662.4916,1.8000,0.5190,0.0761,0.2758,5329,3203,60.11
A2016001,2016-01-01,MCD15A3H,Lai_500m,0.1000,1.9000,1367.3945,1.8000,0.5009,0.0894,0.2990,5329,2730,51.23
A2016005,2016-01-05,MCD15A3H,Lai_500m,0.1000,2.2000,1905.2925,2.1000,0.5635,0.0567,0.2382,5329,3381,63.45
A2016009,2016-01-09,MCD15A3H,Lai_500m,0.1000,2.5000,2764.8840,2.4000,0.6977,0.0424,0.2059,5329,3963,74.37
