date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.3000,673.2087,0.2000,0.1264,0.0025,0.0497,5329,5324,99.91
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.5000,548.9174,0.4000,0.1135,0.0014,0.0380,5329,4835,90.73
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.3000,580.9127,0.2000,0.1092,0.0011,0.0329,5329,5321,99.85
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,660.8032,0.2000,0.1241,0.0021,0.0460,5329,5324,99.91
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.3000,497.4204,0.2000,0.1077,0.0008,0.0275,5329,4618,86.66
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.3000,730.1159,0.2000,0.1371,0.0025,0.0504,5329,5324,99.91
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.7000,626.2966,0.6000,0.1207,0.0021,0.0453,5329,5190,97.39
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.4000,1098.4150,0.3000,0.2063,0.0014,0.0381,5329,5324,99.91
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,1043.9224,0.4000,0.1961,0.0016,0.0396,5329,5324,99.91
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.3000,1045.7279,0.2000,0.1964,0.0009,0.0293,5329,5324,99.91
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.6000,1081.6200,0.5000,0.2032,0.0014,0.0371,5329,5324,99.91
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.4000,1055.4211,0.3000,0.1982,0.0016,0.0401,5329,5324,99.91
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.4000,1040.7275,0.3000,0.1955,0.0012,0.0350,5329,5324,99.91
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.2000,1103.2206,1.1000,0.2072,0.0013,0.0356,5329,5324,99.91
