date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.1000,2302.1230,2.0000,0.4601,0.1011,0.3180,5329,5003,93.88
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,3.1000,2273.6145,3.0000,0.4535,0.1059,0.3255,5329,5013,94.07
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.3000,1386.9629,2.2000,0.3322,0.0618,0.2486,5329,4175,78.34
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.2000,2298.4062,2.1000,0.4381,0.0961,0.3100,5329,5246,98.44
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.3000,1018.3795,3.2000,0.3941,0.1092,0.3304,5329,2584,48.49
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.0000,2275.8000,1.9000,0.4305,0.1016,0.3188,5329,5287,99.21
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.2000,303.0028,1.1000,0.2213,0.0237,0.1539,5329,1369,25.69
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.5000,1552.4485,1.4000,0.3288,0.0637,0.2523,5329,4722,88.61
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.1000,2322.3342,2.0000,0.4520,0.1027,0.3205,5329,5138,96.42
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.7000,2321.1855,2.6000,0.4410,0.0902,0.3004,5329,5263,98.76
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.5000,2445.8359,1.4000,0.4704,0.1015,0.3187,5329,5199,97.56
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.9000,2696.7029,1.8000,0.5069,0.1097,0.3312,5329,5320,99.83
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.4000,818.4026,2.3000,0.2822,0.0548,0.2341,5329,2900,54.42
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.4000,24.9000,1.3000,0.1376,0.0170,0.1305,5329,181,3.40
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.0000,921.1900,1.9000,0.2939,0.0474,0.2177,5329,3134,58.81
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.4000,1446.7915,1.3000,0.3405,0.0390,0.1974,5329,4249,79.73
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,5.7000,1629.0834,5.6000,0.3593,0.0678,0.2604,5329,4534,85.08
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.7000,2603.5847,1.6000,0.5132,0.0982,0.3134,5329,5073,95.20
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.4000,657.6940,1.3000,0.2061,0.0309,0.1759,5329,3191,59.88
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.7000,3248.7930,2.6000,0.6108,0.1313,0.3624,5329,5319,99.81
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.6000,3213.7881,1.5000,0.6047,0.1231,0.3509,5329,5315,99.74
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,2.6000,3327.1240,2.5000,0.6255,0.1602,0.4002,5329,5319,99.81
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.6000,3844.4927,1.5000,0.7214,0.1730,0.4159,5329,5329,100.00
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.6000,3719.0964,1.5000,0.6979,0.1387,0.3725,5329,5329,100.00
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,2.1000,3593.2847,2.0000,0.6749,0.1370,0.3701,5329,5324,99.91
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.7000,3406.8110,2.6000,0.6393,0.1225,0.3500,5329,5329,100.00
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,2.2000,3569.0854,2.1000,0.6813,0.1432,0.3784,5329,5239,98.31
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.6000,2586.8015,1.5000,0.5653,0.0953,0.3087,5329,4576,85.87
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,2.6000,3836.9927,2.5000,0.7226,0.1470,0.3833,5329,5310,99.64
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,2.3000,2610.4009,2.2000,0.5245,0.1050,0.3241,5329,4977,93.39
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,5.1000,3965.8826,5.0000,0.7453,0.1672,0.4089,5329,5321,99.85
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,2.6000,4384.2573,2.4000,0.8227,0.1512,0.3888,5329,5329,100.00
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,2.5000,2732.2815,2.4000,0.5729,0.1330,0.3647,5329,4769,89.49
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.2000,3.0000,4715.9209,2.8000,0.8850,0.1645,0.4056,5329,5329,100.00
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,2.9000,4174.3818,2.8000,0.8009,0.1521,0.3900,5329,5212,97.80
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,3.3000,4649.8774,3.2000,0.8933,0.1678,0.4097,5329,5205,97.67
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,4.0000,5063.7983,3.9000,0.9583,0.1863,0.4316,5329,5284,99.16
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,2.8000,5786.4683,2.6000,1.0858,0.2073,0.4553,5329,5329,100.00
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,4.6000,5176.4976,4.5000,1.0614,0.2343,0.4840,5329,4877,91.52
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,4.2000,6182.8516,4.0000,1.1604,0.3162,0.5623,5329,5328,99.98
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,5.6000,6323.8921,5.5000,1.2289,0.3894,0.6240,5329,5146,96.57
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.3000,5.1000,7811.9370,4.8000,1.4659,0.5041,0.7100,5329,5329,100.00
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,6.5000,7271.0620,6.3000,1.3644,0.3441,0.5866,5329,5329,100.00
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,5.5000,5583.8779,5.4000,1.1692,0.4724,0.6873,5329,4776,89.62
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,5.8000,6457.6436,5.6000,1.2366,0.4805,0.6932,5329,5222,97.99
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,6.4000,3591.3008,6.3000,0.9791,0.6762,0.8223,5329,3668,68.83
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.1000,6.6000,6114.9976,6.5000,1.2457,0.5084,0.7131,5329,4909,92.12
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.1000,6.0000,7747.9922,5.9000,1.5062,0.6306,0.7941,5329,5144,96.53
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.1000,6.2000,5243.9238,6.1000,1.1302,0.5581,0.7471,5329,4640,87.07
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.1000,6.5000,6670.6948,6.4000,1.3675,0.5741,0.7577,5329,4878,91.54
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.2000,6.9000,8560.8096,6.7000,1.6077,0.5930,0.7701,5329,5325,99.92
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.1000,6.1000,3916.0999,6.0000,1.0624,0.4795,0.6924,5329,3686,69.17
