date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.7000,363.1126,0.6000,0.1066,0.0011,0.0328,5329,3405,63.90
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.3000,571.7139,1.2000,0.1194,0.0037,0.0605,5329,4788,89.85
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.7000,591.0096,0.6000,0.1113,0.0015,0.0384,5329,5312,99.68
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.8000,622.0090,0.7000,0.1171,0.0023,0.0478,5329,5313,99.70
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.7000,611.4083,0.6000,0.1151,0.0018,0.0428,5329,5313,99.70
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.8000,604.2081,0.7000,0.1137,0.0018,0.0423,5329,5313,99.70
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.7000,556.0113,0.6000,0.1050,0.0008,0.0278,5329,5295,99.36
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.7000,625.2170,0.6000,0.1177,0.0020,0.0442,5329,5313,99.70
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.7000,753.6118,0.6000,0.1418,0.0032,0.0568,5329,5313,99.70
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.9000,890.8121,0.8000,0.1678,0.0039,0.0628,5329,5309,99.62
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.7000,683.5172,0.6000,0.1286,0.0027,0.0521,5329,5313,99.70
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.8000,922.3132,0.7000,0.1736,0.0035,0.0591,5329,5313,99.70
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.4000,883.2143,1.3000,0.1669,0.0039,0.0626,5329,5293,99.32
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.9000,778.8161,0.8000,0.1473,0.0035,0.0592,5329,5287,99.21
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.6000,759.7031,1.5000,0.1430,0.0039,0.0628,5329,5312,99.68
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.6000,980.6238,0.5000,0.1846,0.0028,0.0528,5329,5313,99.70
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.8000,837.7073,0.7000,0.1577,0.0044,0.0662,5329,5313,99.70
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.1000,962.6198,1.0000,0.1812,0.0044,0.0667,5329,5313,99.70
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.8000,700.4094,0.7000,0.1363,0.0037,0.0611,5329,5140,96.45
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.1000,1088.1227,1.0000,0.2048,0.0029,0.0537,5329,5313,99.70
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.4000,1120.3204,1.3000,0.2109,0.0045,0.0674,5329,5313,99.70
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.7000,1128.7219,1.6000,0.2124,0.0058,0.0760,5329,5313,99.70
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.6000,1144.7213,1.5000,0.2155,0.0053,0.0727,5329,5313,99.70
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,2.3000,1184.4153,2.2000,0.2229,0.0088,0.0940,5329,5313,99.70
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,2.5000,1173.6161,2.4000,0.2209,0.0100,0.0998,5329,5313,99.70
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.0000,1210.0181,1.9000,0.2277,0.0079,0.0890,5329,5313,99.70
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,1.8000,1207.0135,1.7000,0.2273,0.0106,0.1029,5329,5311,99.66
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.4000,1218.1099,1.3000,0.2294,0.0086,0.0927,5329,5310,99.64
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.1000,1266.2097,6.0000,0.2383,0.0343,0.1851,5329,5313,99.70
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,1.4000,1251.1132,1.3000,0.2355,0.0107,0.1036,5329,5313,99.70
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,2.0000,1257.5056,1.9000,0.2368,0.0104,0.1022,5329,5311,99.66
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,1.4000,1244.7125,1.3000,0.2343,0.0101,0.1004,5329,5313,99.70
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,1.5000,1269.2009,1.4000,0.2393,0.0134,0.1157,5329,5304,99.53
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,1.5000,1360.7994,1.4000,0.2561,0.0169,0.1301,5329,5313,99.70
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,1.9000,1380.7993,1.7000,0.2599,0.0175,0.1322,5329,5313,99.70
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.2000,1.4000,1338.9921,1.2000,0.2520,0.0165,0.1283,5329,5313,99.70
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,1.5000,1394.2014,1.4000,0.2624,0.0155,0.1244,5329,5313,99.70
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,2.1000,1358.2963,1.9000,0.2557,0.0215,0.1466,5329,5313,99.70
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,1.6000,1301.6998,1.5000,0.2467,0.0202,0.1422,5329,5276,99.01
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,2.2000,1461.2954,2.1000,0.2750,0.0346,0.1861,5329,5313,99.70
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,2.9000,1514.1985,2.8000,0.2850,0.0388,0.1970,5329,5313,99.70
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.2000,2.4000,1423.6940,2.2000,0.2680,0.0335,0.1831,5329,5313,99.70
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.1000,2.2000,1405.7887,2.1000,0.2646,0.0288,0.1696,5329,5313,99.70
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,1.7000,1438.9969,1.6000,0.2708,0.0357,0.1889,5329,5313,99.70
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,2.9000,1466.6987,2.7000,0.2761,0.0325,0.1802,5329,5313,99.70
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,2.3000,1413.4977,2.2000,0.2660,0.0309,0.1758,5329,5313,99.70
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.1000,2.1000,1477.4006,2.0000,0.2781,0.0346,0.1861,5329,5313,99.70
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.1000,2.2000,1534.4081,2.1000,0.2888,0.0369,0.1922,5329,5313,99.70
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.1000,2.1000,1577.2126,2.0000,0.2969,0.0389,0.1973,5329,5313,99.70
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.1000,3.1000,1643.9023,3.0000,0.3094,0.0489,0.2212,5329,5313,99.70
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.2000,2.4000,1532.5889,2.2000,0.2885,0.0345,0.1857,5329,5313,99.70
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.1000,2.0000,1494.7969,1.9000,0.2813,0.0390,0.1976,5329,5313,99.70
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.1000,2.0000,1608.6101,1.9000,0.3028,0.0349,0.1867,5329,5313,99.70
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.1000,1.9000,1580.1071,1.8000,0.2974,0.0332,0.1823,5329,5313,99.70
