date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.8000,634.6880,0.7000,0.1201,0.0028,0.0531,5329,5286,99.19
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.7000,601.4995,0.6000,0.1154,0.0023,0.0480,5329,5213,97.82
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.7000,619.4948,0.6000,0.1171,0.0026,0.0509,5329,5290,99.27
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.7000,569.8073,0.6000,0.1111,0.0016,0.0397,5329,5131,96.28
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.8000,651.0861,0.7000,0.1230,0.0029,0.0541,5329,5295,99.36
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.7000,663.8856,0.6000,0.1255,0.0030,0.0550,5329,5291,99.29
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.8000,596.2989,0.7000,0.1139,0.0022,0.0472,5329,5237,98.27
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.5000,547.3132,0.4000,0.1076,0.0011,0.0325,5329,5088,95.48
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.7000,526.5167,0.6000,0.1078,0.0013,0.0365,5329,4884,91.65
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.6000,665.8812,0.5000,0.1257,0.0030,0.0546,5329,5296,99.38
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.6000,738.5648,0.5000,0.1395,0.0050,0.0704,5329,5296,99.38
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.9000,761.3699,0.8000,0.1438,0.0050,0.0704,5329,5296,99.38
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.8000,767.5698,0.7000,0.1449,0.0052,0.0720,5329,5296,99.38
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.8000,749.1766,0.7000,0.1415,0.0050,0.0709,5329,5293,99.32
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.7000,1065.9950,0.6000,0.2013,0.0051,0.0713,5329,5296,99.38
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.0000,1214.6810,0.9000,0.2294,0.0061,0.0784,5329,5296,99.38
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.9000,1223.2620,0.8000,0.2311,0.0073,0.0853,5329,5294,99.34
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.9000,736.3807,0.8000,0.1517,0.0079,0.0887,5329,4855,91.11
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.9000,1492.0712,0.8000,0.2817,0.0072,0.0846,5329,5296,99.38
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.8000,1303.7644,1.7000,0.2462,0.0124,0.1115,5329,5295,99.36
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.0000,1625.0104,0.9000,0.3068,0.0093,0.0963,5329,5296,99.38
