date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.5000,536.0171,0.4000,0.1010,0.0002,0.0135,5329,5305,99.55
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.5000,535.1172,0.4000,0.1009,0.0002,0.0123,5329,5302,99.49
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.4000,538.0170,0.3000,0.1014,0.0002,0.0153,5329,5304,99.53
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,530.7178,0.2000,0.1002,0.0000,0.0057,5329,5294,99.34
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.4000,537.9176,0.3000,0.1014,0.0002,0.0141,5329,5305,99.55
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.9000,542.7157,0.8000,0.1023,0.0006,0.0235,5329,5305,99.55
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,534.6171,0.4000,0.1008,0.0001,0.0119,5329,5305,99.55
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.5000,537.0172,0.4000,0.1012,0.0002,0.0136,5329,5305,99.55
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.4000,543.4161,0.3000,0.1024,0.0004,0.0188,5329,5305,99.55
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.4000,542.4166,0.3000,0.1022,0.0004,0.0188,5329,5305,99.55
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.6000,627.9087,0.5000,0.1184,0.0018,0.0425,5329,5305,99.55
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.6000,688.3019,0.5000,0.1297,0.0024,0.0492,5329,5305,99.55
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.3000,697.8954,0.2000,0.1316,0.0022,0.0468,5329,5305,99.55
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.4000,706.6106,0.3000,0.1332,0.0025,0.0499,5329,5305,99.55
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.3000,686.2039,0.2000,0.1294,0.0022,0.0470,5329,5304,99.53
