date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.1000,387.3019,1.0000,0.2094,0.0308,0.1754,5329,1850,34.72
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,4.4000,382.9017,4.3000,0.3202,0.1260,0.3550,5329,1196,22.44
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.7000,419.9993,1.6000,0.3678,0.0534,0.2310,5329,1142,21.43
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,4.2000,246.0011,4.1000,0.2860,0.0985,0.3138,5329,860,16.14
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,4.4000,427.8011,4.3000,0.3568,0.1247,0.3532,5329,1199,22.50
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,4.6000,294.6006,4.5000,0.3912,0.1840,0.4289,5329,753,14.13
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.4000,118.8999,2.3000,0.4277,0.1967,0.4435,5329,278,5.22
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,3.1000,243.4007,3.0000,0.3477,0.1146,0.3385,5329,700,13.14
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,4.1000,28.0000,4.0000,0.3294,0.4329,0.6580,5329,85,1.60
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.5000,59.1999,1.4000,0.3747,0.1632,0.4039,5329,158,2.96
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,4.9000,142.1000,4.8000,0.4883,0.3382,0.5816,5329,291,5.46
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.2000,93.5998,4.1000,0.3039,0.1640,0.4050,5329,308,5.78
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,4.5000,167.9004,4.4000,0.4953,0.2334,0.4831,5329,339,6.36
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,5.3000,113.8000,5.2000,0.5606,0.2397,0.4896,5329,203,3.81
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.1000,1.1000,0.0000,0.1000,0.0000,0.0000,5329,11,0.21
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,4.9000,151.0000,4.8000,0.6345,0.6897,0.8305,5329,238,4.47
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.0000,113.1000,0.9000,0.2922,0.0323,0.1797,5329,387,7.26
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.3000,8.5000,1.2000,0.2297,0.1161,0.3408,5329,37,0.69
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.4000,126.2001,2.3000,0.3312,0.0968,0.3112,5329,381,7.15
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.5000,146.1002,2.4000,0.3089,0.1422,0.3771,5329,473,8.88
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,0.8000,179.6016,0.7000,0.1942,0.0172,0.1312,5329,925,17.36
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,0.8000,240.9016,0.7000,0.1926,0.0231,0.1521,5329,1251,23.48
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.3000,1507.2917,1.2000,0.3715,0.0360,0.1899,5329,4057,76.13
A2015097,2015-04-07,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.5000,3980.8862,1.4000,0.7657,0.0453,0.2129,5329,5199,97.56
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.6000,4043.4695,1.5000,0.7777,0.0350,0.1871,5329,5199,97.56
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,4.7000,3422.3162,4.6000,0.6583,0.0522,0.2286,5329,5199,97.56
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.2000,4.3000,4055.4678,4.1000,0.8018,0.0405,0.2013,5329,5058,94.91
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,4.3000,5170.4180,4.2000,1.0100,0.0710,0.2664,5329,5119,96.06
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.3000,4.5000,5651.5225,4.2000,1.0923,0.0744,0.2728,5329,5174,97.09
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.4000,5.9000,7666.1133,5.5000,1.4857,0.1542,0.3927,5329,5160,96.83
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.3000,6.8000,11140.9756,6.5000,2.1713,1.0391,1.0194,5329,5131,96.28
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.3000,6.8000,13735.9971,6.5000,2.6420,1.1818,1.0871,5329,5199,97.56
