date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.3000,463.2067,1.2000,0.1643,0.0140,0.1185,5329,2819,52.90
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.4000,16.3000,1.3000,0.2433,0.0923,0.3038,5329,67,1.26
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.3000,8.2000,0.2000,0.1281,0.0048,0.0695,5329,64,1.20
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.7000,168.8006,0.6000,0.1073,0.0014,0.0374,5329,1573,29.52
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.1000,1.6000,0.0000,0.1000,0.0000,0.0000,5329,16,0.30
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.1000,0.6000,0.0000,0.1000,0.0000,0.0000,5329,6,0.11
A2015029,2015-01-29,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.1000,0.2000,0.0000,0.1000,0.0000,0.0000,5329,2,0.04
A2015037,2015-02-06,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.6000,11.9000,1.5000,0.1417,0.0353,0.1879,5329,84,1.58
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.0000,3.4000,0.9000,0.5667,0.1189,0.3448,5329,6,0.11
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.7000,5.7000,0.6000,0.4385,0.0762,0.2761,5329,13,0.24
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.1000,0.1000,0.0000,0.1000,0.0000,0.0000,5329,1,0.02
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.1000,0.3000,0.0000,0.1000,0.0000,0.0000,5329,3,0.06
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.1000,0.1000,0.0000,0.1000,0.0000,0.0000,5329,1,0.02
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.1000,10.9000,0.0000,0.1000,0.0000,0.0000,5329,109,2.05
