date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.4000,875.8889,1.3000,0.1652,0.0151,0.1231,5329,5302,99.49
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.2000,953.4735,1.1000,0.1790,0.0171,0.1308,5329,5327,99.96
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.5000,1066.1860,1.4000,0.2001,0.0209,0.1445,5329,5327,99.96
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.9000,949.3817,0.8000,0.1782,0.0133,0.1155,5329,5327,99.96
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.1000,700.3874,1.0000,0.1375,0.0056,0.0750,5329,5095,95.61
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.6000,1056.9846,1.5000,0.1984,0.0169,0.1299,5329,5327,99.96
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.6000,818.0851,1.5000,0.1546,0.0142,0.1194,5329,5293,99.32
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.6000,882.2758,1.5000,0.1656,0.0170,0.1302,5329,5327,99.96
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.5000,1142.8854,1.4000,0.2145,0.0252,0.1587,5329,5327,99.96
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.2000,1241.5929,2.1000,0.2331,0.0307,0.1751,5329,5327,99.96
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.9000,1264.7935,1.8000,0.2374,0.0290,0.1703,5329,5327,99.96
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.7000,1377.1951,1.6000,0.2585,0.0248,0.1574,5329,5327,99.96
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.6000,1178.5991,1.5000,0.2230,0.0188,0.1370,5329,5285,99.17
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.3000,48.8998,0.2000,0.1012,0.0002,0.0128,5329,483,9.06
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.5000,1040.0908,2.4000,0.2025,0.0350,0.1870,5329,5136,96.38
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.4000,1522.3867,2.3000,0.2858,0.0358,0.1892,5329,5327,99.96
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.2000,2.1000,1772.1718,1.9000,0.3327,0.0565,0.2376,5329,5327,99.96
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.2000,2.3000,1689.6615,2.1000,0.3172,0.0509,0.2257,5329,5327,99.96
