date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.4000,893.4944,1.3000,0.1684,0.0163,0.1275,5329,5305,99.55
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.2000,963.7844,1.1000,0.1809,0.0172,0.1311,5329,5327,99.96
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.5000,1060.6886,1.4000,0.1991,0.0205,0.1433,5329,5327,99.96
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.9000,951.3930,0.8000,0.1786,0.0132,0.1149,5329,5326,99.94
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.7000,605.8002,0.6000,0.1250,0.0034,0.0583,5329,4846,90.94
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.6000,1058.6888,1.5000,0.1987,0.0168,0.1296,5329,5327,99.96
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.3000,820.4908,1.2000,0.1550,0.0141,0.1188,5329,5293,99.32
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.6000,882.9891,1.5000,0.1658,0.0163,0.1277,5329,5327,99.96
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.5000,1125.6849,1.4000,0.2113,0.0240,0.1551,5329,5327,99.96
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.2000,1231.3937,2.1000,0.2312,0.0298,0.1727,5329,5327,99.96
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.9000,1252.3920,1.8000,0.2351,0.0269,0.1640,5329,5327,99.96
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.4000,1375.1970,1.3000,0.2582,0.0232,0.1525,5329,5327,99.96
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.6000,1153.7098,1.5000,0.2186,0.0160,0.1265,5329,5278,99.04
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.7000,98.1995,0.6000,0.1246,0.0056,0.0747,5329,788,14.79
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.5000,1047.5927,2.4000,0.2020,0.0337,0.1837,5329,5186,97.32
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.4000,1523.3943,2.3000,0.2860,0.0345,0.1857,5329,5327,99.96
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.2000,2.1000,1781.6869,1.9000,0.3345,0.0546,0.2337,5329,5327,99.96
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.2000,2.3000,1703.8811,2.1000,0.3199,0.0491,0.2216,5329,5327,99.96
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,3.5000,1681.0850,3.4000,0.3156,0.0576,0.2400,5329,5327,99.96
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.8000,1922.9833,2.7000,0.3610,0.0717,0.2679,5329,5327,99.96
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,2.8000,2209.9978,2.7000,0.4149,0.1043,0.3229,5329,5327,99.96
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,5.6000,2432.9041,5.4000,0.4567,0.1536,0.3919,5329,5327,99.96
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,3.8000,2617.4436,3.6000,0.4914,0.1288,0.3589,5329,5327,99.96
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,4.1000,2835.1248,3.9000,0.5322,0.1429,0.3780,5329,5327,99.96
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.9000,2335.2573,1.8000,0.4385,0.0317,0.1779,5329,5325,99.92
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,5.6000,3117.7104,5.4000,0.5853,0.1965,0.4433,5329,5327,99.96
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,6.8000,3103.3228,6.6000,0.5826,0.1311,0.3621,5329,5327,99.96
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,4.5000,3013.3081,4.4000,0.5661,0.1293,0.3595,5329,5323,99.89
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,6.5000,3428.7825,6.3000,0.6437,0.1499,0.3872,5329,5327,99.96
