date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.4000,1633.1394,1.3000,0.3203,0.0125,0.1120,5329,5099,95.68
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.6000,1267.4978,1.5000,0.2491,0.0163,0.1276,5329,5088,95.48
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.4000,1510.4266,1.3000,0.2963,0.0100,0.1001,5329,5098,95.67
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.3000,1558.2358,1.2000,0.3055,0.0095,0.0976,5329,5100,95.70
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.3000,1588.3392,1.2000,0.3115,0.0093,0.0966,5329,5099,95.68
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.7000,1602.0371,1.6000,0.3141,0.0125,0.1118,5329,5100,95.70
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.1000,1116.7852,1.0000,0.2199,0.0116,0.1078,5329,5078,95.29
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.6000,1604.2302,1.5000,0.3149,0.0148,0.1215,5329,5095,95.61
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.3000,1687.3508,1.2000,0.3309,0.0111,0.1053,5329,5099,95.68
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.7000,1667.6409,1.6000,0.3271,0.0146,0.1208,5329,5099,95.68
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.5000,1783.6278,1.4000,0.3499,0.0248,0.1574,5329,5098,95.67
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.9000,1875.2397,1.8000,0.3678,0.0208,0.1441,5329,5099,95.68
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.3000,1985.2329,1.2000,0.3900,0.0169,0.1302,5329,5090,95.52
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.3000,1968.8365,1.2000,0.3873,0.0173,0.1316,5329,5084,95.40
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.7000,2037.4456,1.6000,0.3996,0.0163,0.1278,5329,5099,95.68
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.6000,1976.6379,1.5000,0.3877,0.0184,0.1355,5329,5098,95.67
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.4000,2358.1089,1.3000,0.4624,0.0207,0.1439,5329,5100,95.70
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.7000,2483.7026,1.6000,0.4870,0.0268,0.1636,5329,5100,95.70
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.1000,21.5000,0.0000,0.1000,0.0000,0.0000,5329,215,4.03
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.7000,2974.4893,2.6000,0.5832,0.0505,0.2248,5329,5100,95.70
