date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.4000,1633.7446,1.3000,0.3195,0.0129,0.1136,5329,5114,95.97
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.6000,1274.5024,1.5000,0.2497,0.0165,0.1283,5329,5104,95.78
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.4000,1511.6298,1.3000,0.2956,0.0103,0.1016,5329,5113,95.95
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.3000,1557.4387,1.2000,0.3045,0.0097,0.0985,5329,5115,95.98
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.3000,1588.7407,1.2000,0.3107,0.0095,0.0973,5329,5114,95.97
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.2000,1605.4374,1.1000,0.3139,0.0124,0.1114,5329,5115,95.98
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.1000,1128.7869,1.0000,0.2216,0.0119,0.1093,5329,5094,95.59
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.6000,1606.1299,1.5000,0.3143,0.0148,0.1216,5329,5110,95.89
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.3000,1690.4520,1.2000,0.3306,0.0111,0.1055,5329,5114,95.97
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.7000,1664.1445,1.6000,0.3254,0.0145,0.1202,5329,5114,95.97
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.8000,1809.6282,2.7000,0.3539,0.0264,0.1624,5329,5113,95.95
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.9000,1872.1394,1.8000,0.3661,0.0207,0.1440,5329,5114,95.97
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.3000,1986.0327,1.2000,0.3890,0.0170,0.1304,5329,5105,95.80
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.3000,1957.9364,1.2000,0.3840,0.0173,0.1317,5329,5099,95.68
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.7000,2038.6454,1.6000,0.3986,0.0166,0.1287,5329,5114,95.97
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.6000,1978.4404,1.5000,0.3869,0.0186,0.1364,5329,5113,95.95
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.4000,2350.0137,1.3000,0.4594,0.0210,0.1449,5329,5115,95.98
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.7000,2488.8049,1.6000,0.4866,0.0274,0.1655,5329,5115,95.98
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,0.1000,20.0000,0.0000,0.1000,0.0000,0.0000,5329,200,3.75
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,2.7000,2970.6941,2.6000,0.5808,0.0514,0.2268,5329,5115,95.98
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,3.3000,3221.4878,3.2000,0.6298,0.0564,0.2374,5329,5115,95.98
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,5.9000,4028.1680,5.8000,0.7875,0.1262,0.3553,5329,5115,95.98
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,4.2000,4318.9697,4.1000,0.8444,0.1058,0.3253,5329,5115,95.98
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,3.8000,4872.1865,3.7000,0.9525,0.1086,0.3295,5329,5115,95.98
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,2.5000,1049.6033,2.4000,0.3665,0.0822,0.2866,5329,2864,53.74
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,5.6000,5606.1021,5.4000,1.0973,0.1318,0.3631,5329,5109,95.87
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.4000,6.1000,7107.7021,5.7000,1.3896,0.1390,0.3728,5329,5115,95.98
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.2000,5.9000,7988.8115,5.7000,1.5637,0.1541,0.3926,5329,5109,95.87
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.3000,6.0000,8787.5957,5.7000,1.7180,0.2291,0.4787,5329,5115,95.98
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,6.3000,9267.4492,6.2000,1.8118,0.2123,0.4608,5329,5115,95.98
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,5.2000,2471.2019,5.1000,0.9545,0.4576,0.6765,5329,2589,48.58
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.3000,6.3000,9713.9951,6.0000,1.8999,0.2669,0.5166,5329,5113,95.95
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,4.5000,3354.7002,4.4000,0.7840,0.2089,0.4571,5329,4279,80.30
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.3000,6.6000,10853.0967,6.3000,2.1218,0.3144,0.5607,5329,5115,95.98
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,6.7000,6490.7188,6.6000,1.3717,0.4274,0.6538,5329,4732,88.80
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.3000,5.8000,10528.7891,5.5000,2.0592,0.2934,0.5416,5329,5113,95.95
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.2000,6.5000,9649.9980,6.3000,1.8870,0.5001,0.7072,5329,5114,95.97
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.4000,6.8000,10808.2100,6.4000,2.1130,0.4300,0.6557,5329,5115,95.98
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.7000,6.7000,10386.9473,6.0000,2.0307,0.3352,0.5790,5329,5115,95.98
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.5000,6.8000,10273.2158,6.3000,2.0084,0.4658,0.6825,5329,5115,95.98
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,6.3000,5351.0117,6.2000,1.2267,0.4683,0.6843,5329,4362,81.85
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.6000,6.5000,11200.2188,5.9000,2.1897,0.4486,0.6698,5329,5115,95.98
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.6000,6.5000,11082.0439,5.9000,2.1666,0.3295,0.5740,5329,5115,95.98
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.7000,6.8000,11969.0869,6.1000,2.3400,0.5513,0.7425,5329,5115,95.98
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.4000,6.4000,10852.9814,6.0000,2.1218,0.4235,0.6508,5329,5115,95.98
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.3000,5.8000,10712.8320,5.5000,2.0948,0.3716,0.6096,5329,5114,95.97
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.1000,5.3000,5895.5049,5.2000,1.3704,0.4061,0.6372,5329,4302,80.73
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.5000,6.2000,11885.7920,5.7000,2.3237,0.4446,0.6668,5329,5115,95.98
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.7000,5.7000,11206.8164,5.0000,2.1910,0.3315,0.5758,5329,5115,95.98
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.2000,5.9000,8930.4443,5.7000,1.8225,0.3155,0.5617,5329,4900,91.95
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.7000,6.5000,11171.7168,5.8000,2.1841,0.3287,0.5733,5329,5115,95.98
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.2000,6.2000,10640.9736,6.0000,2.0803,0.3515,0.5928,5329,5115,95.98
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.1000,6.9000,8424.6367,6.8000,1.7388,0.3003,0.5480,5329,4845,90.92
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.5000,4.8000,9353.7168,4.3000,1.8287,0.2357,0.4855,5329,5115,95.98
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.2000,3.0000,6950.9180,2.8000,1.3589,0.0948,0.3079,5329,5115,95.98
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.3000,4.6000,8086.0054,4.3000,1.5808,0.2088,0.4570,5329,5115,95.98
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,4.6000,7420.0854,4.5000,1.4507,0.1707,0.4132,5329,5115,95.98
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.2000,6.1000,8620.0020,5.9000,1.6856,0.2455,0.4955,5329,5114,95.97
