date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,6.9000,6852.0903,6.8000,2.2901,1.5816,1.2576,5329,2992,56.15
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,6.6000,4154.3052,6.5000,2.1003,1.5772,1.2559,5329,1978,37.12
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,6.8000,5499.2935,6.7000,1.9316,0.9583,0.9789,5329,2847,53.42
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,6.9000,7859.3032,6.8000,2.5930,1.5004,1.2249,5329,3031,56.88
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,6.9000,6483.6001,6.8000,2.3222,1.5585,1.2484,5329,2792,52.39
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,6.9000,7537.3145,6.8000,2.4843,1.5525,1.2460,5329,3034,56.93
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,6.7000,8346.8955,6.6000,2.7412,1.6250,1.2747,5329,3045,57.14
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.6000,63.4000,0.5000,0.2577,0.0120,0.1097,5329,246,4.62
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.7000,2.3000,0.6000,0.2300,0.0401,0.2002,5329,10,0.19
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,3.2000,1453.3945,3.1000,0.7860,0.1661,0.4076,5329,1849,34.70
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,6.9000,8666.7012,6.8000,2.8490,1.7526,1.3239,5329,3042,57.08
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,6.9000,7603.0186,6.8000,2.5276,1.5711,1.2534,5329,3008,56.45
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,6.9000,9770.2070,6.8000,3.2266,1.8550,1.3620,5329,3028,56.82
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,6.9000,8632.0869,6.8000,2.8414,1.4753,1.2146,5329,3038,57.01
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.2000,6.8000,9596.8057,6.6000,3.1038,1.7497,1.3228,5329,3092,58.02
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,6.8000,7537.3872,6.7000,2.4267,1.0700,1.0344,5329,3106,58.28
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,6.8000,3982.1023,6.7000,1.8539,1.0032,1.0016,5329,2148,40.31
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,6.2000,5817.2104,6.1000,2.2220,0.9110,0.9544,5329,2618,49.13
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,6.8000,9313.6113,6.7000,3.1222,1.4777,1.2156,5329,2983,55.98
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,5.6000,2813.0007,5.5000,1.4971,0.7716,0.8784,5329,1879,35.26
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,6.9000,6077.4941,6.7000,2.6309,2.8692,1.6939,5329,2310,43.35
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,6.7000,7057.2930,6.5000,2.4929,1.8937,1.3761,5329,2831,53.12
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,6.6000,1944.7021,6.5000,1.3734,1.6635,1.2898,5329,1416,26.57
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,6.8000,2617.8962,6.7000,2.7044,2.4465,1.5641,5329,968,18.16
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,6.9000,10046.7100,6.7000,3.4383,1.7332,1.3165,5329,2922,54.83
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.2000,6.8000,10735.2080,6.6000,3.8560,1.7830,1.3353,5329,2784,52.24
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,6.9000,11839.7881,6.7000,4.0506,1.5193,1.2326,5329,2923,54.85
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,6.6000,2762.4004,6.5000,2.3793,2.0795,1.4421,5329,1161,21.79
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.3000,6.7000,8537.5137,6.4000,2.9128,0.9770,0.9884,5329,2931,55.00
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.2000,6.9000,11656.8975,6.7000,3.9880,1.7636,1.3280,5329,2923,54.85
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.3000,6.9000,8437.1045,6.6000,3.5125,2.1834,1.4777,5329,2402,45.07
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,6.8000,3535.3013,6.6000,2.0447,1.3380,1.1567,5329,1729,32.45
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.2000,6.8000,2302.2981,6.6000,2.2116,1.7173,1.3105,5329,1041,19.53
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.8000,2543.3018,6.7000,2.7979,2.2120,1.4873,5329,909,17.06
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,6.8000,4791.0977,6.6000,2.8451,1.6571,1.2873,5329,1684,31.60
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.2000,6.8000,6485.4087,6.6000,3.9739,2.3117,1.5204,5329,1632,30.62
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.2000,6.8000,2676.2000,6.6000,3.0655,2.2885,1.5128,5329,873,16.38
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,6.9000,3983.8982,6.7000,3.7762,2.4958,1.5798,5329,1055,19.80
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,6.9000,6479.3989,6.7000,4.2740,2.3169,1.5221,5329,1516,28.45
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,6.9000,7525.7031,6.7000,4.4036,1.9690,1.4032,5329,1709,32.07
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,6.8000,5225.7065,6.7000,3.9830,2.2550,1.5017,5329,1312,24.62
