date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,6.8000,2613.6477,6.7000,0.8715,1.2788,1.1308,5329,2999,56.28
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,5.1000,2014.6937,5.0000,0.5360,0.2145,0.4632,5329,3759,70.54
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,6.6000,4096.5161,6.5000,0.9569,0.5664,0.7526,5329,4281,80.33
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,6.6000,6358.2207,6.5000,1.3013,0.7611,0.8724,5329,4886,91.69
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,6.7000,3195.1162,6.6000,0.8245,0.6691,0.8180,5329,3875,72.72
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,6.0000,4437.6489,5.9000,1.1266,1.0535,1.0264,5329,3939,73.92
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,6.4000,6463.8047,6.3000,1.6172,1.3314,1.1539,5329,3997,75.00
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.8000,713.2980,1.7000,0.2841,0.0492,0.2218,5329,2511,47.12
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.2000,4.0000,0.1000,0.1379,0.0024,0.0485,5329,29,0.54
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,5.7000,3596.3945,5.6000,0.7584,0.3521,0.5933,5329,4742,88.98
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,6.8000,11148.6826,6.7000,2.1000,1.4336,1.1973,5329,5309,99.62
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,6.7000,6913.6055,6.6000,1.4421,0.7810,0.8838,5329,4794,89.96
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.3000,6.7000,12784.9756,6.4000,2.4182,1.7165,1.3101,5329,5287,99.21
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.3000,6.8000,10426.9893,6.5000,1.9797,1.0702,1.0345,5329,5267,98.84
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.3000,6.8000,11254.4795,6.5000,2.1179,1.1457,1.0704,5329,5314,99.72
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.3000,6.8000,13621.0889,6.5000,2.5681,1.8581,1.3631,5329,5304,99.53
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,6.9000,8989.3896,6.8000,1.9981,1.3102,1.1446,5329,4499,84.42
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,6.8000,8791.1797,6.7000,2.0897,1.0798,1.0392,5329,4207,78.95
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,6.8000,12301.5762,6.7000,2.3928,1.2767,1.1299,5329,5141,96.47
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,6.5000,1606.7000,6.4000,1.0740,0.5502,0.7417,5329,1496,28.07
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,6.9000,16427.4453,6.7000,3.2452,2.1689,1.4727,5329,5062,94.99
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,6.8000,9998.0381,6.6000,2.0834,1.1562,1.0753,5329,4799,90.05
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,6.8000,3821.2021,6.7000,1.6035,1.4972,1.2236,5329,2383,44.72
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,6.8000,5577.8999,6.7000,1.8927,1.6906,1.3002,5329,2947,55.30
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,6.9000,12089.7051,6.8000,2.7571,2.0310,1.4251,5329,4385,82.29
