date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.4000,1429.4695,2.3000,0.2859,0.0739,0.2718,5329,5000,93.83
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,3.0000,1177.4470,2.9000,0.2380,0.0702,0.2650,5329,4947,92.83
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,3.4000,1641.9070,3.3000,0.3150,0.0779,0.2791,5329,5213,97.82
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.5000,1999.1140,2.4000,0.3755,0.0953,0.3088,5329,5324,99.91
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.4000,2150.1460,2.3000,0.4037,0.0995,0.3155,5329,5326,99.94
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.0000,1955.7230,1.9000,0.3670,0.0832,0.2884,5329,5329,100.00
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,3.0000,1855.3829,2.9000,0.3483,0.1016,0.3187,5329,5327,99.96
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.0000,424.9166,0.9000,0.1060,0.0016,0.0394,5329,4008,75.21
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.1000,575.8055,2.0000,0.1753,0.0254,0.1595,5329,3284,61.63
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.1000,1781.3013,2.0000,0.3345,0.0598,0.2445,5329,5325,99.92
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,3.1000,2453.1809,3.0000,0.4603,0.0959,0.3096,5329,5329,100.00
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,2.0000,2079.6917,1.9000,0.3903,0.0933,0.3055,5329,5329,100.00
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.4000,2342.6780,2.3000,0.4396,0.0785,0.2801,5329,5329,100.00
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.4000,1184.2942,1.3000,0.3089,0.0302,0.1737,5329,3834,71.95
